dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
ring.csv,0,2,base,None,acc,0.8770270270270271,"[array([[311,  56],
       [ 35, 338]])]"
ring.csv,0,2,base,None,f1,0.8768995277160823,"[array([[311,  56],
       [ 35, 338]])]"
ring.csv,0,2,base,None,auc,0.8767888319904158,"[array([[311,  56],
       [ 35, 338]])]"
ring.csv,0,2,wagging,None,acc,0.8756756756756757,"[array([[352,  15],
       [ 77, 296]])]"
ring.csv,0,2,wagging,None,f1,0.874882870175121,"[array([[352,  15],
       [ 77, 296]])]"
ring.csv,0,2,wagging,None,auc,0.876346874520604,"[array([[352,  15],
       [ 77, 296]])]"
ring.csv,0,2,AdaBoost,None,acc,0.8770270270270271,"[array([[310,  57],
       [ 34, 339]])]"
ring.csv,0,2,AdaBoost,None,f1,0.8768770103414801,"[array([[310,  57],
       [ 34, 339]])]"
ring.csv,0,2,AdaBoost,None,auc,0.8767669167439789,"[array([[310,  57],
       [ 34, 339]])]"
ring.csv,0,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.8810810810810811,"[array([[349,  18],
       [ 70, 303]])]"
ring.csv,0,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.8765097324791226,"[array([[347,  20],
       [ 71, 302]])]"
ring.csv,0,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",auc,0.8761277220562346,"[array([[342,  25],
       [ 67, 306]])]"
ring.csv,0,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.8864864864864865,"[array([[346,  21],
       [ 63, 310]])]"
ring.csv,0,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.8816038055665784,"[array([[356,  11],
       [ 76, 297]])]"
ring.csv,0,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",auc,0.8857083372902529,"[array([[351,  16],
       [ 69, 304]])]"
ring.csv,1,2,base,None,acc,0.8635135135135135,"[array([[308,  59],
       [ 42, 331]])]"
ring.csv,1,2,base,None,f1,0.8634159645368429,"[array([[308,  59],
       [ 42, 331]])]"
ring.csv,1,2,base,None,auc,0.8633182605138394,"[array([[308,  59],
       [ 42, 331]])]"
ring.csv,1,2,wagging,None,acc,0.8797297297297297,"[array([[349,  18],
       [ 71, 302]])]"
ring.csv,1,2,wagging,None,f1,0.8791804114548714,"[array([[349,  18],
       [ 71, 302]])]"
ring.csv,1,2,wagging,None,auc,0.8803025765024728,"[array([[349,  18],
       [ 71, 302]])]"
ring.csv,1,2,AdaBoost,None,acc,0.8662162162162163,"[array([[312,  55],
       [ 44, 329]])]"
ring.csv,1,2,AdaBoost,None,f1,0.8661705062495473,"[array([[312,  55],
       [ 44, 329]])]"
ring.csv,1,2,AdaBoost,None,auc,0.8660868866470404,"[array([[312,  55],
       [ 44, 329]])]"
ring.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",acc,0.8932432432432432,"[array([[344,  23],
       [ 56, 317]])]"
ring.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",f1,0.8805596101414127,"[array([[349,  18],
       [ 70, 303]])]"
ring.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",auc,0.8694472244340388,"[array([[343,  24],
       [ 73, 300]])]"
ring.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.8864864864864865,"[array([[347,  20],
       [ 64, 309]])]"
ring.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.9051158138561738,"[array([[354,  13],
       [ 57, 316]])]"
ring.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",auc,0.8950698000599017,"[array([[350,  17],
       [ 61, 312]])]"
ring.csv,2,2,base,None,acc,0.8702702702702703,"[array([[317,  50],
       [ 46, 327]])]"
ring.csv,2,2,base,None,f1,0.8702607922991485,"[array([[317,  50],
       [ 46, 327]])]"
ring.csv,2,2,base,None,auc,0.8702179106004047,"[array([[317,  50],
       [ 46, 327]])]"
ring.csv,2,2,wagging,None,acc,0.8716216216216216,"[array([[354,  13],
       [ 82, 291]])]"
ring.csv,2,2,wagging,None,f1,0.8705950782294846,"[array([[354,  13],
       [ 82, 291]])]"
ring.csv,2,2,wagging,None,auc,0.8723692572922982,"[array([[354,  13],
       [ 82, 291]])]"
