Dataset,n_trees,model,accuracy_mean,accuracy_std
WineQualityRed_5vs6,155,Incremental_Mixed_Bagging,0.7862421929215822,0.0459647801408127
WineQualityRed_5vs6,160,Grouped_Mixed_Bagging,0.7907876474670368,0.0416710356975145
WineQualityRed_5vs6,160,Incremental_Mixed_Bagging,0.7870171177423086,0.0472526922909435
WineQualityRed_5vs6,165,Grouped_Mixed_Bagging,0.7915452232246125,0.0357516507814831
WineQualityRed_5vs6,165,Incremental_Mixed_Bagging,0.7938295165394402,0.0458206570742247
WineQualityRed_5vs6,170,Grouped_Mixed_Bagging,0.791527874161462,0.0384010930517282
WineQualityRed_5vs6,170,Incremental_Mixed_Bagging,0.7960848947490169,0.0426520744419035
WineQualityRed_5vs6,175,Grouped_Mixed_Bagging,0.7877515614156836,0.0410312830895414
WineQualityRed_5vs6,175,Incremental_Mixed_Bagging,0.7938121674762896,0.0387837041901609
WineQualityRed_5vs6,180,Grouped_Mixed_Bagging,0.7915394402035624,0.0345025701547782
WineQualityRed_5vs6,180,Incremental_Mixed_Bagging,0.7869939856581077,0.0383702567823037
WineQualityRed_5vs6,185,Grouped_Mixed_Bagging,0.7885149201943096,0.0467486185644541
WineQualityRed_5vs6,185,Incremental_Mixed_Bagging,0.7938063844552394,0.0400993032912063
WineQualityRed_5vs6,190,Grouped_Mixed_Bagging,0.7960791117279667,0.0340261522530778
WineQualityRed_5vs6,190,Incremental_Mixed_Bagging,0.78470390932223,0.0400182869927976
WineQualityRed_5vs6,195,Grouped_Mixed_Bagging,0.7915510062456628,0.0399461827298125
WineQualityRed_5vs6,195,Incremental_Mixed_Bagging,0.7907702984038861,0.0320529184003437
WineQualityRed_5vs6,200,Grouped_Mixed_Bagging,0.7938121674762896,0.035522577309237
WineQualityRed_5vs6,200,Incremental_Mixed_Bagging,0.7892782789729355,0.041589253032688
WineQualityRed_5vs6,205,Grouped_Mixed_Bagging,0.7854904001850567,0.0422243537302595
WineQualityRed_5vs6,205,Incremental_Mixed_Bagging,0.7915510062456628,0.0415118720489627
WineQualityRed_5vs6,210,Grouped_Mixed_Bagging,0.79382373351839,0.033636373543623
WineQualityRed_5vs6,210,Incremental_Mixed_Bagging,0.7923143650242886,0.0434447875657959
WineQualityRed_5vs6,215,Grouped_Mixed_Bagging,0.7900242886884108,0.0346439318764747
WineQualityRed_5vs6,215,Incremental_Mixed_Bagging,0.7975942632431182,0.0381996933948391
WineQualityRed_5vs6,220,Grouped_Mixed_Bagging,0.7953388850335414,0.0432904868419118
WineQualityRed_5vs6,220,Incremental_Mixed_Bagging,0.7877515614156836,0.0411864054343988
WineQualityRed_5vs6,225,Grouped_Mixed_Bagging,0.7915510062456627,0.0383165696319188
WineQualityRed_5vs6,225,Incremental_Mixed_Bagging,0.7892724959518852,0.0385829312436602
WineQualityRed_5vs6,230,Grouped_Mixed_Bagging,0.7908107795512376,0.0462654940598362
