weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Uniform,0.9571596174701765,0.9585300207039336,0.007026893821385705,breast-w
Uniform,0.9956190476190476,0.996,0.0017457431218879714,bodyfat
Uniform,0.7972582972582972,0.7991341991341991,0.014592394454817526,glass1
Uniform,0.752047619047619,0.758,0.01910621938133284,credit-g
Uniform,0.7138495398159264,0.7163865546218487,0.018500618247419973,bupa
Uniform,0.8309753853232115,0.8407729468599033,0.02906598577550125,arrhythmia_cfs
Uniform,0.9721294578437435,0.9735930735930736,0.005826454176460051,segment
Uniform,0.7104283697750122,0.7132183908045977,0.009681634002483135,ilpd
Uniform,0.7410884353741496,0.7461904761904762,0.02928635030557627,liver-disorders
Uniform,0.9151776266061982,0.9145238095238096,0.005151515392111553,ionosphere
Uniform,0.7887868480725624,0.802142857142857,0.027946732693908405,sonar
Uniform,0.8310291858678956,0.832258064516129,0.00920775306013528,vertebral_column
Uniform,1.0,1.0,0.0,breastcancer
Uniform,0.679644068543236,0.6774745605920444,0.01070047694392342,saheart
Uniform,1.0,1.0,0.0,steel-plates-fault
Uniform,0.737904761904762,0.744,0.022578540169605223,fri_c0_250_50
Uniform,0.7290469040469041,0.7343093093093093,0.02602014705927868,bands
Uniform,0.7324435444280805,0.7369523195876289,0.014031800662511718,contraceptive_NL
Uniform,0.5569329237071172,0.5606451612903226,0.014687897282007142,cleveland
Uniform,0.6512169312169312,0.6555555555555556,0.008343732488526545,teaching_assistant_LM
Uniform,0.8666328942924688,0.8717641843971631,0.02616440595759891,musk1
Uniform,0.6726497465552937,0.6802548725637181,0.020574073873888998,diabetic_retinopathy
Uniform,0.7830392254056375,0.7869708535739071,0.019354865820475388,WineQualityRed_5vs6
Uniform,0.9714712551687341,0.9728151260504202,0.004951778619780461,vehicle2
Uniform,0.6425647451963241,0.643859649122807,0.007441259906840886,contraceptive_NS
Uniform,0.800291683625017,0.8052706552706553,0.023771231790663285,spectfheart
Uniform,0.9005513784461152,0.9034210526315788,0.017836186093507303,parkinsons
Uniform,0.9434901690144657,0.9449606895898456,0.007404212355791701,spambase
Uniform,0.782730923694779,0.7831325301204819,0.003797251936890897,mammographic
Uniform,0.7501546072974644,0.7551093643198906,0.014898324625021997,diabetes
Uniform,0.9435882276582659,0.9463298001949316,0.00878316767437361,sylvine
Uniform,0.7647471776666408,0.7688962452385271,0.018192776971904835,yeast1
Uniform,0.8673160173160172,0.8740259740259739,0.02386534189112979,glass0
Uniform,0.6397449048715815,0.6459287359436391,0.017297250931675247,hill_valley_without_noise_traintest
Uniform,0.9886795826973549,0.9890616735427906,0.00165611487871048,banknote_authentication
Uniform,0.9070904523923624,0.9108088587663448,0.013911248681768074,phoneme
Uniform,0.6726406926406926,0.6736363636363636,0.013714638261243216,teaching_assistant_LH
Uniform,0.8965752242926156,0.8976449275362318,0.010948371440495973,chatfield_4
Uniform,0.9655822328931573,0.9678991596638656,0.01159758549314373,analcatdata_authorship
Uniform,0.956547619047619,0.9595551378446115,0.010601237132038812,wdbc
Uniform,0.6862457642232923,0.690474406991261,0.016309277334568772,Yeast_CYTvsNUC
Uniform,0.9394079794079795,0.943918918918919,0.017876058366685262,ring
Uniform,0.7864424125492827,0.7891250733998826,0.011202446537624642,titanic
Uniform,0.7187445887445888,0.72,0.015999680240803258,teaching_assistant_MH
Uniform,0.7561452332129024,0.7604237867395762,0.015523117187998495,pima
Uniform,0.6164125650260104,0.6171708683473389,0.005077712280574595,contraceptive_LS
Uniform,0.6523151051465362,0.6577041264266901,0.022718117219788392,profb
