,CDB_Host_when,CDB_Host_max,Dataset,StandardBag_when,StandardBag_max,GroupedBag_when,GroupedBag_max,IncrementalBag_when,IncrementalBag_max
0,169,0.8104904001850567,WineQualityRed_5vs6,149,0.7930430256766134,190,0.7960791117279667,150,0.7998785565579458
1,129,0.7040449438202248,Yeast_CYTvsNUC,149,0.6972284644194756,170,0.689538077403246,120,0.6950936329588016
2,89,0.8696135265700484,arrhythmia_cfs,109,0.8452173913043477,190,0.858647342995169,100,0.8585990338164251
3,129,0.7697447447447447,bands,119,0.7452702702702703,190,0.7614114114114114,200,0.764039039039039
4,109,0.991976092245848,banknote_authentication,19,0.9905215275573892,80,0.9927165979054268,30,0.9927165979054268
5,19,0.996,bodyfat,19,0.996,20,0.9961538461538462,20,0.9961538461538462
6,79,0.9656521739130436,breast-w,89,0.9613871635610768,70,0.9585300207039336,140,0.9599378881987578
7,19,1.0,breastcancer,19,1.0,20,1.0,20,1.0
8,49,0.7568067226890756,bupa,109,0.7336974789915967,200,0.7361344537815127,120,0.7246218487394958
9,69,0.9148550724637682,chatfield_4,29,0.9065217391304348,150,0.9103260869565216,80,0.9061594202898552
10,39,0.6421288515406163,contraceptive_LS,129,0.624313725490196,40,0.6268067226890757,50,0.6338515406162465
11,89,0.7567547250859106,contraceptive_NL,139,0.7432667525773196,70,0.744286941580756,140,0.7453608247422681
12,39,0.6807017543859649,contraceptive_NS,139,0.6508771929824562,110,0.6614035087719298,80,0.6789473684210526
13,139,0.777,credit-g,109,0.764,180,0.776,180,0.773
14,109,0.7707792207792208,diabetes,89,0.7629357484620642,130,0.7708133971291866,70,0.7721975393028024
15,99,0.7141529235382309,diabetic_retinopathy,169,0.6855022488755622,40,0.7011319340329835,140,0.6958995502248875
16,69,0.808,fri_c0_250_50,69,0.76,50,0.8160000000000001,110,0.8160000000000001
17,59,0.8787878787878787,glass0,39,0.8785714285714284,150,0.8733766233766234,80,0.8783549783549784
18,159,0.8361471861471861,glass1,159,0.8177489177489177,110,0.8222943722943723,30,0.8316017316017316
19,79,0.6484148489364585,hill_valley_without_noise_traintest,179,0.6508467687305244,30,0.6352933206882536,70,0.6303685137515241
20,79,0.7357531760435572,ilpd,179,0.7218390804597701,40,0.6993647912885662,40,0.7046279491833032
21,89,0.9344444444444444,ionosphere,19,0.9202380952380952,40,0.9288095238095238,60,0.9288095238095238
22,169,0.7814285714285714,liver-disorders,39,0.76,110,0.7661904761904762,190,0.7661904761904761
23,79,0.8072289156626506,mammographic,179,0.7879518072289157,40,0.8060240963855423,130,0.8132530120481928
24,49,0.901241134751773,musk1,169,0.8822695035460993,200,0.8927748226950355,110,0.899113475177305
25,69,0.8984210526315788,parkinsons,29,0.9131578947368422,100,0.9234210526315788,120,0.923157894736842
26,69,0.9128445265968372,phoneme,99,0.912103101252824,70,0.9191326076538646,170,0.9206151160402548
27,49,0.7773410799726589,pima,179,0.7656356801093643,180,0.7695146958304854,160,0.7708304853041695
28,39,0.6934152765583845,profb,199,0.6696005267778753,50,0.6754609306409132,100,0.6754828797190517
29,199,0.9486486486486486,ring,49,0.9454054054054056,100,0.948108108108108,190,0.9495945945945946
30,169,0.7295559666975023,saheart,39,0.699213691026827,170,0.7032839962997225,170,0.7139685476410731
31,179,0.8414285714285714,sonar,179,0.8123809523809523,110,0.8223809523809523,120,0.8371428571428572
32,79,0.9503978402955384,spambase,49,0.9473548356540684,110,0.9504035237283318,100,0.9499696883584352
33,109,0.8165242165242166,spectfheart,149,0.8163817663817664,140,0.8240740740740741,100,0.8276353276353277
34,19,1.0,steel-plates-fault,19,1.0,20,1.0,20,1.0
35,179,0.9459391751949318,sylvine,159,0.9471099080165692,80,0.947498248659844,170,0.9474986293859649
36,109,0.6927272727272726,teaching_assistant_LH,109,0.6836363636363636,110,0.7327272727272727,200,0.7227272727272728
37,19,0.6955555555555556,teaching_assistant_LM,99,0.6666666666666667,50,0.5755555555555556,150,0.6066666666666667
38,29,0.7663636363636364,teaching_assistant_MH,29,0.7290909090909091,40,0.7336363636363636,30,0.7354545454545455
39,169,0.8044039929536113,titanic,169,0.7906576629477393,120,0.8082618907809748,70,0.8105460951262478
40,139,0.9763865546218486,vehicle2,49,0.9751820728291316,180,0.9799159663865546,80,0.9799159663865546
41,129,0.8612903225806452,vertebral_column,99,0.8419354838709678,140,0.8451612903225806,180,0.8483870967741935
42,39,0.9648182957393484,wdbc,129,0.9613095238095236,110,0.9701441102756893,50,0.9701441102756893
43,89,0.7843959731543624,yeast1,169,0.7736078360239433,50,0.7749591873752948,140,0.777643751133684
