,acc_svmlinear,acc_svmrbf,acc_mlp,acc_knn,acc_dt,dataset,Bagging (mean200),Bagging 200
0,0.775350516875471,0.900626069692613,0.823477442322174,0.904515643184774,0.706514000136921,phoneme,0.909308415485726,0.912103785856096
0,0.926893530359004,0.936901108269395,0.931680401629251,0.901005020365634,0.768299232736573,spambase,0.944026418490101,0.944742351046699
0,0.877460317460317,0.951428571428571,0.923174603174603,0.843095238095238,0.846190476190476,ionosphere,0.921177380952381,0.925952380952381
0,0.978884711779449,0.978884711779448,0.984179197994987,0.968389724310777,0.892888471177945,wdbc,0.963419016290727,0.963063909774436
0,0.959307359307359,0.972294372294372,0.968831168831169,0.967532467532468,0.687445887445887,segment,0.974619047619048,0.976190476190476
0,0.959979296066253,0.961407867494824,0.965693581780538,0.961407867494824,0.909937888198758,breast-w,0.957517598343685,0.957080745341615
0,0.988337035861631,1,1,0.999270072992701,0.852755738918862,banknote_authentication,0.988719242568497,0.989061673542791
