,acc_svmlinear,acc_svmrbf,acc_mlp,acc_knn,acc_dt,dataset,Bagging(avg 200),Bagging 200
0,0.699,0.705,0.708,0.691,0.518,Data3,0.659545,0.662
0,0.754833333333333,0.7555,0.755833333333333,0.743,0.5,Data1,0.706429166666667,0.709166666666667
0,0.8415,0.86525,0.85275,0.864,0.6385,Data11,0.84504375,0.84575
0,0.901,0.903666666666667,0.901,0.899,0.870333333333333,Data5,0.88275,0.884666666666667
0,0.845333333333334,0.897333333333333,0.896666666666667,0.893666666666667,0.808,Data13,0.884323333333333,0.885666666666667
0,0.849,0.901,0.899,0.8875,0.848,Data9,0.8878025,0.8865
0,0.83,0.897666666666667,0.899333333333333,0.896,0.809,Data2,0.885261666666667,0.886666666666667
0,0.904333333333333,0.913333333333333,0.909666666666667,0.909,0.886666666666667,Data10,0.890738333333333,0.892
0,0.8896,0.9296,0.9072,0.9128,0.8492,Data8,0.908514,0.9096
0,0.879333333333333,0.932666666666667,0.931333333333333,0.927333333333333,0.852,Data6,0.913583333333333,0.915333333333333
0,0.823,0.97,0.951666666666667,0.959666666666667,0.807,Data7,0.954586666666667,0.955666666666667
0,0.752,0.978333333333333,0.856,0.963,0.542333333333333,Data12,0.977168333333333,0.978666666666667
0,0.957333333333333,0.962,0.96,0.96,0.92,Data4,0.94958,0.950666666666666
