,150,500,1000,1500,1590,151,501,1001,1501,1591,152,502,1002,1502,1592,153,503,1003,1503,1593,154,504,1004,1504,1594,155,505,1005,1505,1595,156,506,1006,1506,1596,157,507,1007,1507,1597,158,508,1008,1508,1598,159,509,1009,1509,1599
n_ensemble,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159
weights,CLD,CLD,CLD,CLD,CLD,DCP,DCP,DCP,DCP,DCP,F1,F1,F1,F1,F1,Hostility,Hostility,Hostility,Hostility,Hostility,LSC,LSC,LSC,LSC,LSC,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,TD_U,TD_U,TD_U,TD_U,TD_U,Uniform,Uniform,Uniform,Uniform,Uniform,kDN,kDN,kDN,kDN,kDN
accuracy_mean,0.693,0.696,0.696,0.697,0.696,0.693,0.692,0.6990000000000001,0.695,0.695,0.666,0.663,0.6679999999999999,0.666,0.671,0.696,0.6859999999999999,0.687,0.6910000000000001,0.694,0.673,0.678,0.675,0.672,0.6759999999999999,0.681,0.683,0.6839999999999999,0.683,0.6859999999999999,0.689,0.6859999999999999,0.6900000000000001,0.689,0.692,0.661,0.665,0.665,0.661,0.661,0.6639999999999999,0.6719999999999999,0.665,0.665,0.663,0.689,0.6910000000000001,0.6900000000000001,0.694,0.693
accuracy_std,0.0115108644332213,0.0065192024052025,0.0082158383625774,0.0097467943448089,0.0096176920308356,0.0182345825288104,0.0192353840616713,0.0216217483104396,0.0217944947177033,0.0203100960115898,0.0277037903543901,0.0213892496362074,0.0313448560373149,0.0400624512480202,0.0366401419211225,0.0210356839679626,0.0114017542509913,0.0171755640373176,0.0114017542509913,0.0147478812037526,0.0343874977280987,0.0443846820423442,0.0322102468168127,0.0349284983931459,0.0279284800875378,0.0240831891575845,0.0305368629692048,0.0216217483104395,0.0288530760925069,0.0258360213655275,0.0298747384925792,0.0207364413533276,0.0257390753524674,0.0267861904719577,0.0261247009552262,0.0238222584991431,0.0308220700148448,0.0349999999999999,0.0379802580296658,0.0412916456441251,0.032672618505409,0.040865633483405,0.0396862696659688,0.0382426463519458,0.0375166629646081,0.0147478812037525,0.0178185296812054,0.0176776695296637,0.0194935886896178,0.0207966343430853
