sex,GMAT,y
0,590.0,1
0,550.0,0
1,680.0,0
0,520.0,1
0,560.0,1
0,540.0,0
1,500.0,1
1,600.0,1
0,440.0,1
0,680.0,0
0,520.0,0
0,610.0,0
0,490.0,1
0,620.0,1
0,580.0,1
0,600.0,1
1,420.0,1
0,590.0,0
0,570.0,0
0,640.0,0
0,540.0,0
0,530.0,0
0,660.0,0
0,540.0,0
0,570.0,0
0,710.0,0
0,450.0,1
1,480.0,1
0,650.0,1
0,580.0,0
1,630.0,1
0,590.0,0
1,550.0,1
1,590.0,1
1,610.0,1
0,490.0,1
0,600.0,0
0,570.0,1
0,580.0,1
0,520.0,0
0,610.0,0
0,620.0,0
0,530.0,1
0,670.0,0
0,550.0,0
0,530.0,1
1,500.0,1
0,570.0,0
0,570.0,1
1,640.0,0
0,600.0,0
0,550.0,0
0,720.0,0
1,570.0,1
0,570.0,1
1,610.0,0
0,530.0,1
0,720.0,0
0,580.0,0
0,610.0,1
0,470.0,0
