dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total
hill_valley_without_noise_traintest,1,classic,none,1.5101142446012958,0.48597415047217013,0.49672808562525406,0.008939627278686323,0.003803445455568461,0.019715816290643205,"[[8, 592], [10, 602]]"
hill_valley_without_noise_traintest,2,classic,none,1.50020420703803,0.48175783516511234,0.5058189947161631,0.023019786232886724,0.009793976706878656,0.024613706675832084,"[[27, 573], [40, 572]]"
hill_valley_without_noise_traintest,3,classic,none,1.5008505138356343,0.4820328122503553,0.5025132095921963,0.025972478792464344,0.011050226519909648,0.024925116931334704,"[[15, 585], [24, 588]]"
hill_valley_without_noise_traintest,4,classic,none,1.4838311014987213,0.4747917490056257,0.5066454409971548,0.042622821935201574,0.018134265930689807,0.02438009010446341,"[[56, 544], [70, 542]]"
hill_valley_without_noise_traintest,5,classic,none,1.483184794701117,0.4745167719203828,0.5066454409971548,0.04299677615920181,0.018293368144856575,0.02438009010446341,"[[56, 544], [70, 542]]"
hill_valley_without_noise_traintest,6,classic,none,1.478660647117887,0.4725919323236825,0.5066454409971548,0.042272289370609575,0.01798512867381508,0.02438009010446341,"[[77, 523], [91, 521]]"
hill_valley_without_noise_traintest,7,classic,none,1.4855545862923327,0.47552502123294005,0.5008603170302127,0.04114304533933612,0.017504681565106737,0.02316006551167719,"[[67, 533], [74, 538]]"
hill_valley_without_noise_traintest,8,classic,none,1.4687456683711533,0.46837351474533084,0.5016935374610486,0.04309912570130018,0.018336913685250755,0.03132344229240911,"[[112, 488], [120, 492]]"
hill_valley_without_noise_traintest,9,classic,none,1.4592623514121772,0.4643387515872148,0.49922774691776184,0.04585521083864597,0.019509515088420068,0.03228640642117277,"[[165, 435], [170, 442]]"
hill_valley_without_noise_traintest,10,classic,none,1.4558084641680993,0.46286926395277456,0.4984148489364585,0.044064331074182075,0.018747569059880433,0.03514779612904797,"[[171, 429], [175, 437]]"
hill_valley_without_noise_traintest,11,classic,none,1.4476181560990093,0.4593846231468478,0.4959490583931717,0.049851776617660125,0.0212098902244521,0.03698969507761891,"[[208, 392], [209, 403]]"
hill_valley_without_noise_traintest,12,classic,none,1.4517114324838365,0.46112614468671953,0.4967755046741634,0.04646657623040559,0.019769626035833272,0.03788971748474626,"[[190, 410], [192, 420]]"
hill_valley_without_noise_traintest,13,classic,none,1.4476181560990093,0.4593846231468478,0.4959490583931717,0.049851776617660125,0.0212098902244521,0.03698969507761891,"[[208, 392], [209, 403]]"
hill_valley_without_noise_traintest,14,classic,none,1.4517114324838365,0.46112614468671953,0.4967755046741634,0.04646657623040559,0.019769626035833272,0.03788971748474626,"[[190, 410], [192, 420]]"
hill_valley_without_noise_traintest,15,classic,none,1.4476181560990093,0.4593846231468478,0.4959490583931717,0.049851776617660125,0.0212098902244521,0.03698969507761891,"[[208, 392], [209, 403]]"
hill_valley_without_noise_traintest,16,classic,none,1.4517114324838365,0.46112614468671953,0.4967755046741634,0.04646657623040559,0.019769626035833272,0.03788971748474626,"[[190, 410], [192, 420]]"
hill_valley_without_noise_traintest,17,classic,none,1.4476181560990093,0.4593846231468478,0.4959490583931717,0.049851776617660125,0.0212098902244521,0.03698969507761891,"[[208, 392], [209, 403]]"
hill_valley_without_noise_traintest,18,classic,none,1.4517114324838365,0.46112614468671953,0.4967755046741634,0.04646657623040559,0.019769626035833272,0.03788971748474626,"[[190, 410], [192, 420]]"
hill_valley_without_noise_traintest,19,classic,none,1.4441711865117866,0.45791807869221907,0.4942961658311882,0.05024556927095868,0.02137743287818171,0.03440005218403686,"[[222, 378], [221, 391]]"
hill_valley_without_noise_traintest,20,classic,none,1.4517114324838365,0.46112614468671953,0.4967755046741634,0.04646657623040559,0.019769626035833272,0.03788971748474626,"[[190, 410], [192, 420]]"
hill_valley_without_noise_traintest,21,classic,none,1.4420168305197723,0.4570014884080761,0.49099038070722123,0.05167132400328305,0.021984033152260583,0.031265618756240024,"[[249, 351], [244, 368]]"
hill_valley_without_noise_traintest,22,classic,none,1.4495570764918222,0.4602095544025765,0.4934697195501965,0.046642551340676415,0.019844496241557468,0.03356478951037709,"[[217, 383], [215, 397]]"
hill_valley_without_noise_traintest,23,classic,none,1.4420168305197723,0.4570014884080761,0.49099038070722123,0.05167132400328305,0.021984033152260583,0.031265618756240024,"[[249, 351], [244, 368]]"
hill_valley_without_noise_traintest,24,classic,none,1.4495570764918222,0.4602095544025765,0.4934697195501965,0.046642551340676415,0.019844496241557468,0.03356478951037709,"[[217, 383], [215, 397]]"
hill_valley_without_noise_traintest,25,classic,none,1.4443866221109878,0.4580097377206334,0.4852052567402791,0.05258125002255688,0.022371169424838966,0.032202788074110526,"[[262, 338], [250, 362]]"
hill_valley_without_noise_traintest,26,classic,none,1.4495570764918222,0.4602095544025765,0.4934697195501965,0.046642551340676415,0.019844496241557468,0.03356478951037709,"[[217, 383], [215, 397]]"
hill_valley_without_noise_traintest,27,classic,none,1.4374926829365422,0.4550766488113758,0.4835523641782956,0.05292180342173381,0.02251606095533554,0.03430679890770001,"[[282, 318], [268, 344]]"
hill_valley_without_noise_traintest,28,classic,none,1.448479898495815,0.45975125926050503,0.4901639344262295,0.04677165539277338,0.0198994247307367,0.03311851614336515,"[[229, 371], [223, 389]]"
hill_valley_without_noise_traintest,29,classic,none,1.4374926829365422,0.4550766488113758,0.4835523641782956,0.05292180342173381,0.02251606095533554,0.03430679890770001,"[[282, 318], [268, 344]]"
