Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
breastcancer,4,6,CLD,1,1,0,1.0 (0.0)
breastcancer,4,6,DCP,1,1,0,1.0 (0.0)
breastcancer,4,6,F1,1,1,0,1.0 (0.0)
breastcancer,4,6,Hostility,1,1,0,1.0 (0.0)
breastcancer,4,6,LSC,1,1,0,1.0 (0.0)
breastcancer,4,6,N1,1,1,0,1.0 (0.0)
breastcancer,4,6,N2,1,1,0,1.0 (0.0)
breastcancer,4,6,TD_U,1,1,0,1.0 (0.0)
breastcancer,4,6,kDN,1,1,0,1.0 (0.0)
bupa,10,8,CLD,0.751866430782839,0.754117647058824,0.0104045913418377,0.752 (0.01)
bupa,6,2,DCP,0.728151260504202,0.727899159663866,0.0066207253522488,0.728 (0.007)
bupa,4,6,F1,0.732733303847855,0.736638655462185,0.0065908148938247,0.733 (0.007)
bupa,8,8,Hostility,0.739951348960637,0.739411764705882,0.0084768178719909,0.74 (0.008)
bupa,8,4,LSC,0.748916408668731,0.748319327731092,0.0064312953674914,0.749 (0.006)
bupa,2,2,N1,0.737372843874392,0.739495798319328,0.0051669733916609,0.737 (0.005)
bupa,4,1,N2,0.739570986289253,0.739831932773109,0.0090127283269005,0.74 (0.009)
bupa,2,6,TD_U,0.729628482972136,0.727983193277311,0.0083063643726307,0.73 (0.008)
bupa,2,4,kDN,0.751972578505086,0.75109243697479,0.0088551905578397,0.752 (0.009)
chatfield_4,10,8,CLD,0.899418382913806,0.902173913043478,0.0070426212186848,0.899 (0.007)
chatfield_4,8,2,DCP,0.906302440884821,0.906159420289855,0.0043677327710491,0.906 (0.004)
chatfield_4,2,4,F1,0.904118993135011,0.906340579710145,0.0038533204915257,0.904 (0.004)
chatfield_4,8,1,Hostility,0.909515636918383,0.910688405797101,0.00508623634237,0.91 (0.005)
chatfield_4,2,8,LSC,0.902021357742182,0.901992753623188,0.0039824241285754,0.902 (0.004)
chatfield_4,10,4,N1,0.906502669717773,0.906340579710145,0.0033085476764594,0.907 (0.003)
chatfield_4,2,8,N2,0.903565980167811,0.906521739130435,0.0045132789772535,0.904 (0.005)
chatfield_4,10,6,TD_U,0.907246376811594,0.906340579710145,0.0048278976065958,0.907 (0.005)
chatfield_4,10,2,kDN,0.910621662852784,0.910869565217391,0.0060005472354567,0.911 (0.006)
cleveland,6,4,CLD,0.584267119411432,0.587311827956989,0.0077695191467333,0.584 (0.008)
cleveland,4,6,DCP,0.567492925863045,0.56741935483871,0.0065687350377269,0.567 (0.007)
cleveland,10,4,F1,0.581861912846633,0.580430107526882,0.0089245910247648,0.582 (0.009)
cleveland,6,1,Hostility,0.585529145444256,0.583870967741935,0.0070289576606522,0.586 (0.007)
cleveland,8,1,LSC,0.591850594227504,0.590860215053763,0.0039781037212089,0.592 (0.004)
cleveland,8,1,N1,0.581607243916242,0.580645161290323,0.0075942939301181,0.582 (0.008)
cleveland,8,2,N2,0.594883984153933,0.593870967741935,0.0069200986854829,0.595 (0.007)
cleveland,4,8,TD_U,0.579620826259196,0.580645161290323,0.0061301187933192,0.58 (0.006)
cleveland,6,2,kDN,0.587736276174307,0.587204301075269,0.0079026750419043,0.588 (0.008)
contraceptive_LS,2,6,CLD,0.62765885301489,0.629019607843137,0.0035349382402465,0.628 (0.004)
contraceptive_LS,10,1,DCP,0.63327509951349,0.632647058823529,0.0060997506697697,0.633 (0.006)
contraceptive_LS,4,1,F1,0.624719150818222,0.624327731092437,0.0057265797856686,0.625 (0.006)
contraceptive_LS,2,1,Hostility,0.630451864956509,0.631526610644258,0.0054839555967395,0.63 (0.005)
contraceptive_LS,6,1,LSC,0.632126640129736,0.632605042016807,0.0046831918894135,0.632 (0.005)
contraceptive_LS,6,4,N1,0.635841073271414,0.637408963585434,0.0058464670822841,0.636 (0.006)
contraceptive_LS,6,1,N2,0.630522630104673,0.630224089635854,0.0052165182298371,0.631 (0.005)
contraceptive_LS,8,8,TD_U,0.625223352498894,0.624313725490196,0.0042710082788063,0.625 (0.004)
contraceptive_LS,4,1,kDN,0.628642193719593,0.630280112044818,0.0074140105810979,0.629 (0.007)
contraceptive_NL,8,2,CLD,0.744666757098933,0.746348797250859,0.0053476125318523,0.745 (0.005)
contraceptive_NL,4,2,DCP,0.748109965635739,0.748453608247423,0.0031696435629484,0.748 (0.003)
contraceptive_NL,4,1,F1,0.737136010128414,0.739057130584192,0.0037832485237605,0.737 (0.004)
contraceptive_NL,2,1,Hostility,0.746251582564659,0.746359536082474,0.0062501275952931,0.746 (0.006)
contraceptive_NL,2,2,LSC,0.73962289744981,0.739100085910653,0.0030067664264655,0.74 (0.003)
contraceptive_NL,6,8,N1,0.738024507144149,0.739143041237113,0.0051238999174567,0.738 (0.005)
contraceptive_NL,10,1,N2,0.743004499005245,0.743223797250859,0.0032136975406623,0.743 (0.003)
contraceptive_NL,8,8,TD_U,0.738265283052993,0.738047680412371,0.0043525338760513,0.738 (0.004)
contraceptive_NL,4,6,kDN,0.741225244167119,0.740173969072165,0.0033058452274451,0.741 (0.003)
