Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
ring,8,1,N2,0.950981507823613,0.951621621621622,0.0021691151835381,0.951 (0.002)
ring,6,1,TD_U,0.950327169274538,0.950810810810811,0.0015297524042728,0.95 (0.002)
ring,4,1,kDN,0.952951635846372,0.953648648648649,0.0019207701375285,0.953 (0.002)
saheart,6,8,CLD,0.696901017576318,0.69481961147086,0.0102957585392015,0.697 (0.01)
saheart,6,2,DCP,0.711709430838892,0.712072155411656,0.004264840263613,0.712 (0.004)
saheart,8,2,F1,0.690778518915234,0.690425531914894,0.0101259445711268,0.691 (0.01)
saheart,6,2,Hostility,0.710601781975753,0.710083256244218,0.0122372610152042,0.711 (0.012)
saheart,10,6,LSC,0.694853692974341,0.692645698427382,0.0085769509020381,0.695 (0.009)
saheart,2,2,N1,0.702463605823068,0.703469010175763,0.0030255034107398,0.702 (0.003)
saheart,8,1,N2,0.696771994741711,0.69486586493987,0.0040255454294809,0.697 (0.004)
saheart,4,2,TD_U,0.698003797653245,0.697039777983349,0.0037106143251241,0.698 (0.004)
saheart,6,2,kDN,0.707054871220605,0.70781683626272,0.0075292724886894,0.707 (0.008)
segment,6,2,CLD,0.977625882889041,0.977489177489177,0.0006620944700448,0.978 (0.001)
segment,10,8,DCP,0.977876509455457,0.977922077922078,0.0011713646926284,0.978 (0.001)
segment,10,4,F1,0.979539758487127,0.97965367965368,0.0002828468815908,0.98 (0.0)
segment,6,4,Hostility,0.975985418090681,0.975757575757576,0.00065124656769,0.976 (0.001)
segment,4,2,LSC,0.976646160856687,0.976623376623377,0.0007563541887764,0.977 (0.001)
segment,10,8,N1,0.974504442925495,0.974458874458874,0.0007342982890724,0.975 (0.001)
segment,2,6,N2,0.975985418090681,0.975757575757576,0.0008821026753693,0.976 (0.001)
segment,2,2,TD_U,0.977010708589656,0.977056277056277,0.0007483425077996,0.977 (0.001)
segment,10,8,kDN,0.97593984962406,0.976190476190476,0.0011299336116146,0.976 (0.001)
sonar,2,4,CLD,0.800989974937343,0.802619047619048,0.0108826464005825,0.801 (0.011)
sonar,2,4,DCP,0.790263157894737,0.788333333333333,0.0109942536173646,0.79 (0.011)
sonar,10,2,F1,0.811654135338346,0.808095238095238,0.0079959967639592,0.812 (0.008)
sonar,10,6,Hostility,0.822932330827068,0.826666666666667,0.0116593899754884,0.823 (0.012)
sonar,10,6,LSC,0.799461152882206,0.797857142857143,0.0107118874756458,0.799 (0.011)
sonar,6,6,N1,0.805075187969925,0.808095238095238,0.0081838646224505,0.805 (0.008)
sonar,6,8,N2,0.822142857142857,0.822380952380952,0.0147962137571403,0.822 (0.015)
sonar,8,8,TD_U,0.814285714285714,0.812619047619048,0.0096701716480471,0.814 (0.01)
sonar,2,4,kDN,0.791040100250627,0.788809523809524,0.0085199107745576,0.791 (0.009)
spambase,2,1,CLD,0.948728431621822,0.948659657099555,0.0008171478536437,0.949 (0.001)
spambase,4,8,DCP,0.949633393657488,0.949748034479492,0.001210253631339,0.95 (0.001)
spambase,8,1,F1,0.950329788666039,0.950615705219286,0.0010550715945734,0.95 (0.001)
spambase,6,2,Hostility,0.948761086433048,0.948658709860756,0.0009601053296258,0.949 (0.001)
spambase,4,8,LSC,0.946254194024419,0.946918158567775,0.0016875089250928,0.946 (0.002)
spambase,2,8,N1,0.946391244522218,0.946700293644028,0.0012952687943534,0.946 (0.001)
spambase,10,2,N2,0.948501418365465,0.948443213034006,0.0007560601030146,0.949 (0.001)
spambase,8,1,TD_U,0.952483535494035,0.952358150989865,0.0008214581175275,0.952 (0.001)
spambase,4,4,kDN,0.947021980925602,0.947135549872123,0.0006966267265281,0.947 (0.001)
spectfheart,6,8,CLD,0.820520317888739,0.824074074074074,0.0052193877521121,0.821 (0.005)
spectfheart,2,6,DCP,0.814147548358075,0.812820512820513,0.0061037947024178,0.814 (0.006)
spectfheart,8,1,F1,0.814709851551957,0.812820512820513,0.0076004329690269,0.815 (0.008)
spectfheart,2,6,Hostility,0.8138326585695,0.812820512820513,0.0043438586605563,0.814 (0.004)
spectfheart,4,8,LSC,0.812940470835208,0.812962962962963,0.0078483095492307,0.813 (0.008)
spectfheart,10,1,N1,0.814672364672365,0.812535612535613,0.0082223064611911,0.815 (0.008)
spectfheart,6,6,N2,0.825423601739391,0.827777777777778,0.0084654183686062,0.825 (0.008)
spectfheart,2,8,TD_U,0.814972259709102,0.813105413105413,0.0069607939351775,0.815 (0.007)
spectfheart,2,1,kDN,0.814095066726646,0.816239316239316,0.0053940104228589,0.814 (0.005)
steel-plates-fault,8,2,CLD,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,DCP,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,F1,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,Hostility,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,LSC,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,N1,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,N2,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,TD_U,1,1,0,1.0 (0.0)
steel-plates-fault,8,2,kDN,1,1,0,1.0 (0.0)
sylvine,4,6,CLD,0.945496891671796,0.94574310124269,0.0011616555548985,0.945 (0.001)
sylvine,10,8,DCP,0.945692284324664,0.946134106968811,0.0008305164616117,0.946 (0.001)
sylvine,4,6,F1,0.945703986643326,0.945940317373294,0.0011592508040748,0.946 (0.001)
sylvine,2,6,Hostility,0.944346537716733,0.944572749147173,0.0011715001804818,0.944 (0.001)
sylvine,2,8,LSC,0.94541459471504,0.945937652290448,0.0015592461238321,0.945 (0.002)
sylvine,6,4,N1,0.945548389889197,0.945744243421053,0.0011726298548643,0.946 (0.001)
sylvine,2,2,N2,0.944552610739202,0.944768061647173,0.0007032540950897,0.945 (0.001)
sylvine,8,2,TD_U,0.945775963918385,0.945744624147173,0.000631510108616,0.946 (0.001)
sylvine,2,6,kDN,0.946217045148507,0.946135249147173,0.0006421373685098,0.946 (0.001)
teaching_assistant_LH,6,8,CLD,0.686411483253588,0.692727272727273,0.0095513386588183,0.686 (0.01)
teaching_assistant_LH,4,4,DCP,0.681531100478469,0.683636363636364,0.0103166248617468,0.682 (0.01)
teaching_assistant_LH,10,1,F1,0.684688995215311,0.683636363636364,0.0058467037474341,0.685 (0.006)
teaching_assistant_LH,2,2,Hostility,0.68311004784689,0.692727272727273,0.014291712874412,0.683 (0.014)
teaching_assistant_LH,8,1,LSC,0.693253588516746,0.702727272727273,0.0219781922749009,0.693 (0.022)
teaching_assistant_LH,2,2,N1,0.691722488038277,0.692727272727273,0.0071767322283039,0.692 (0.007)
teaching_assistant_LH,6,1,N2,0.69377990430622,0.692727272727273,0.0132894013083548,0.694 (0.013)
teaching_assistant_LH,2,2,TD_U,0.679186602870813,0.682727272727273,0.0085650684901395,0.679 (0.009)
teaching_assistant_LH,8,4,kDN,0.687799043062201,0.692727272727273,0.0075168362571113,0.688 (0.008)
teaching_assistant_LM,8,4,CLD,0.682573099415205,0.685555555555555,0.0149303487224442,0.683 (0.015)
teaching_assistant_LM,10,4,DCP,0.676491228070175,0.676666666666667,0.0192209846097508,0.676 (0.019)
teaching_assistant_LM,6,6,F1,0.65187134502924,0.646666666666667,0.0138730904299177,0.652 (0.014)
teaching_assistant_LM,10,8,Hostility,0.650292397660819,0.645555555555556,0.0206474160483506,0.65 (0.021)
teaching_assistant_LM,4,1,LSC,0.656140350877193,0.656666666666667,0.0120320127465958,0.656 (0.012)
teaching_assistant_LM,10,8,N1,0.665029239766082,0.666666666666667,0.0121341858621298,0.665 (0.012)
teaching_assistant_LM,4,2,N2,0.652923976608187,0.655555555555556,0.007334928056269,0.653 (0.007)
teaching_assistant_LM,8,6,TD_U,0.650233918128655,0.645555555555556,0.0101739260823844,0.65 (0.01)
teaching_assistant_LM,10,2,kDN,0.668654970760234,0.666666666666667,0.0064531544733446,0.669 (0.006)
teaching_assistant_MH,2,6,CLD,0.726076555023923,0.72,0.0109680755187846,0.726 (0.011)
teaching_assistant_MH,6,2,DCP,0.736937799043062,0.739090909090909,0.0051533911585516,0.737 (0.005)
teaching_assistant_MH,6,8,F1,0.738516746411483,0.739090909090909,0.0022920497063464,0.739 (0.002)
teaching_assistant_MH,10,4,Hostility,0.741196172248804,0.738181818181818,0.0077675872400368,0.741 (0.008)
teaching_assistant_MH,6,6,LSC,0.719904306220096,0.720909090909091,0.0102578990900301,0.72 (0.01)
teaching_assistant_MH,10,2,N1,0.729090909090909,0.729090909090909,0.0033333333333332,0.729 (0.003)
teaching_assistant_MH,2,6,N2,0.726937799043062,0.73,0.0158047386459049,0.727 (0.016)
teaching_assistant_MH,6,6,TD_U,0.739760765550239,0.738181818181818,0.0081696998092745,0.74 (0.008)
teaching_assistant_MH,8,2,kDN,0.727081339712919,0.729090909090909,0.0052098210866282,0.727 (0.005)
titanic,6,2,CLD,0.799390549185648,0.799835584263065,0.0023247559262884,0.799 (0.002)
titanic,8,2,DCP,0.803654232469018,0.8036582501468,0.0029357741501047,0.804 (0.003)
titanic,10,6,F1,0.79826559940662,0.799072225484439,0.0026939137470189,0.798 (0.003)
titanic,6,1,Hostility,0.799092004821213,0.800569583088667,0.0052049867821902,0.799 (0.005)
titanic,4,1,LSC,0.79549154742405,0.795249559600705,0.0022800532632035,0.795 (0.002)
titanic,4,1,N1,0.798387056896498,0.798302994715209,0.0012488043602926,0.798 (0.001)
titanic,8,1,N2,0.803858515931638,0.803664122137405,0.0028327734077657,0.804 (0.003)
titanic,6,1,TD_U,0.798145069073153,0.798308866705813,0.0028060237538259,0.798 (0.003)
titanic,10,2,kDN,0.80018295886516,0.800581327069877,0.0027404400182536,0.8 (0.003)
vehicle2,2,4,CLD,0.981029043196226,0.98109243697479,0.0009193974532498,0.981 (0.001)
vehicle2,6,1,DCP,0.979029927760578,0.978725490196078,0.0013609625009825,0.979 (0.001)
vehicle2,8,1,F1,0.98297139908595,0.983473389355742,0.0008216787510745,0.983 (0.001)
vehicle2,2,2,Hostility,0.976829573934837,0.97640056022409,0.001369180130756,0.977 (0.001)
vehicle2,4,8,LSC,0.982084623323014,0.982268907563025,0.0015352754039165,0.982 (0.002)
vehicle2,4,6,N1,0.977127377266696,0.977549019607843,0.0011260548209771,0.977 (0.001)
vehicle2,2,2,N2,0.982384638065753,0.982254901960784,0.001174420223822,0.982 (0.001)
vehicle2,10,8,TD_U,0.978789621111602,0.978739495798319,0.0010779595229433,0.979 (0.001)
vehicle2,8,1,kDN,0.979480318443167,0.979915966386554,0.0012567022124713,0.979 (0.001)
vertebral_column,10,4,CLD,0.845161290322581,0.845161290322581,0.0092498121150995,0.845 (0.009)
vertebral_column,2,8,DCP,0.846689303904924,0.845161290322581,0.0046084296743714,0.847 (0.005)
vertebral_column,10,1,F1,0.848726655348047,0.848387096774193,0.0072046811681233,0.849 (0.007)
vertebral_column,10,2,Hostility,0.847707979626486,0.848387096774193,0.0064137732049834,0.848 (0.006)
vertebral_column,4,2,LSC,0.84634974533107,0.845161290322581,0.0028873573330671,0.846 (0.003)
vertebral_column,8,6,N1,0.841426146010187,0.841935483870968,0.0044676297353685,0.841 (0.004)
vertebral_column,2,8,N2,0.847368421052632,0.848387096774193,0.007136791021047,0.847 (0.007)
vertebral_column,2,4,TD_U,0.844312393887946,0.845161290322581,0.0067014446030528,0.844 (0.007)
vertebral_column,8,4,kDN,0.841765704584041,0.841935483870968,0.0047450534954735,0.842 (0.005)
wdbc,8,2,CLD,0.965093655190608,0.964818295739348,0.0030556237031257,0.965 (0.003)
wdbc,4,6,DCP,0.963619575253924,0.963063909774436,0.0014380666937327,0.964 (0.001)
wdbc,10,6,F1,0.961398562194961,0.961309523809524,0.0018992147822175,0.961 (0.002)
wdbc,4,2,Hostility,0.962325220947105,0.963063909774436,0.0023621525213111,0.962 (0.002)
wdbc,8,6,LSC,0.966018665083762,0.966572681704261,0.0021127734443497,0.966 (0.002)
wdbc,8,1,N1,0.962786901464187,0.963063909774436,0.0021297437847961,0.963 (0.002)
wdbc,10,6,N2,0.961767906608627,0.961309523809524,0.0021863390073791,0.962 (0.002)
wdbc,2,8,TD_U,0.965954359583168,0.966604010025062,0.0034782407137539,0.966 (0.003)
wdbc,10,6,kDN,0.962328518665084,0.963063909774436,0.0017812313475712,0.962 (0.002)
yeast1,10,2,CLD,0.782811202230135,0.783058226011246,0.0038646728955687,0.783 (0.004)
yeast1,4,1,DCP,0.783001183804787,0.785058044621803,0.0055527510113552,0.783 (0.006)
yeast1,2,4,F1,0.77599692592628,0.775657536731362,0.0027643175950674,0.776 (0.003)
yeast1,4,1,Hostility,0.781439563901591,0.782359876655179,0.0020409304351916,0.781 (0.002)
yeast1,4,1,LSC,0.779360984085463,0.780341919100308,0.0027306433970024,0.779 (0.003)
yeast1,6,6,N1,0.77671556225954,0.776296934518411,0.0034306190238751,0.777 (0.003)
yeast1,10,2,N2,0.777310806037404,0.777666424814076,0.0027866178956709,0.777 (0.003)
yeast1,6,4,TD_U,0.772283215748422,0.772247415200435,0.0037138242330452,0.772 (0.004)
yeast1,10,2,kDN,0.782435296476271,0.783040087066933,0.0047040404718252,0.782 (0.005)
