weights,n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
CLD,1,24,18,12,0.806975313750491,0.790758732361786,0.126463781952659
CLD,1,24,2,12,0.807747062886536,0.785320023487962,0.125819932628201
CLD,1,24,20,12,0.806780019369151,0.792279666897987,0.125079357528954
CLD,1,24,4,12,0.808277194255927,0.783810921902525,0.122874223470889
CLD,1,24,6,12,0.808498777792675,0.791456253669994,0.126646343731556
CLD,1,24,8,12,0.807503489773823,0.782905982905983,0.124503046572386
CLD,1,28,10,14,0.809735557218359,0.78433734939759,0.123431913016534
CLD,1,28,12,14,0.811475769833822,0.793095238095238,0.124092864327071
CLD,1,28,14,14,0.806582122885385,0.789177489177489,0.126221972301216
CLD,1,28,16,14,0.810842578275235,0.798351839000694,0.121755433087275
CLD,1,28,18,14,0.806803234701692,0.780733998825602,0.126566740275482
CLD,1,28,2,14,0.810104719100594,0.789393939393939,0.123093138349332
CLD,1,28,20,14,0.809222248894179,0.793095238095238,0.12584914440963
CLD,1,28,4,14,0.809794083571102,0.796836687485542,0.124636970878177
CLD,1,28,6,14,0.810375507556105,0.789142689371697,0.125213653886359
CLD,1,28,8,14,0.808653916546851,0.785320023487962,0.124980897977702
CLD,1,32,10,16,0.809672573314423,0.795267175572519,0.125769839750671
CLD,1,32,12,16,0.811467096643005,0.789906048150323,0.123959632366627
CLD,1,32,14,16,0.810234466467073,0.790663534938344,0.12289073261191
CLD,1,32,16,16,0.809774428333064,0.78433734939759,0.124502003093904
CLD,1,32,18,16,0.81051772496543,0.796,0.125381952627711
CLD,1,32,2,16,0.810844109707966,0.793722842043453,0.122269919317261
CLD,1,32,20,16,0.810195495931621,0.78433734939759,0.123769693696598
CLD,1,32,4,16,0.812300524412668,0.800607217210271,0.124727459509843
CLD,1,32,6,16,0.812026856578038,0.790675278919554,0.123450433614926
CLD,1,32,8,16,0.809851219258268,0.789148561362302,0.122880858470767
CLD,1,36,10,18,0.809161841195503,0.792196124486201,0.125538418379366
CLD,1,36,12,18,0.809404390938408,0.79142689371697,0.124964073370372
CLD,1,36,14,18,0.809743042065162,0.789911920140928,0.124138740314959
CLD,1,36,16,18,0.810615167063303,0.794480328831474,0.122882915570806
CLD,1,36,18,18,0.810143213948223,0.790681150910159,0.124479619004576
CLD,1,36,2,18,0.811689701573254,0.79220786846741,0.125524285646395
CLD,1,36,20,18,0.812157819276793,0.798346055979644,0.123465135050494
CLD,1,36,4,18,0.810920790683214,0.788333333333333,0.124034113121497
CLD,1,36,6,18,0.811300392805134,0.792380952380952,0.123674101681941
CLD,1,36,8,18,0.808771580778536,0.789260929909785,0.125991364529729
CLD,1,40,10,20,0.813001903326434,0.789923664122137,0.122039176363547
CLD,1,40,12,20,0.809542051136408,0.798005698005698,0.126747935640026
CLD,1,40,14,20,0.810376073195931,0.7952436876101,0.124257209382018
CLD,1,40,16,20,0.810085391230248,0.789911920140928,0.124343513867489
CLD,1,40,18,20,0.811336269271937,0.801709401709402,0.12363700727501
CLD,1,40,2,20,0.810019520584652,0.778917378917379,0.124446138220474
CLD,1,40,20,20,0.81065119746059,0.790663534938344,0.126177555521213
CLD,1,40,4,20,0.809168125572495,0.794546611149664,0.124752869842192
CLD,1,40,6,20,0.810001786802417,0.792201996476806,0.12453700767736
CLD,1,40,8,20,0.810400559176221,0.789900176159718,0.125023771671959
CLD,1,44,10,22,0.812676841942085,0.793031459634513,0.122720733724807
CLD,1,44,12,22,0.810346720274257,0.786077510275984,0.124791713811439
CLD,1,44,14,22,0.81414755757429,0.802110802683322,0.121071477838455
CLD,1,44,16,22,0.810993233993749,0.793809523809524,0.124686729884092
CLD,1,44,18,22,0.80987274418299,0.792178508514386,0.124974260052428
CLD,1,44,2,22,0.81373872044086,0.802151283830673,0.123175995154767
CLD,1,44,20,22,0.811130294459234,0.793728714034058,0.124690262671857
CLD,1,44,4,22,0.811215716550363,0.793711098062243,0.125686709121598
CLD,1,44,6,22,0.811874487776956,0.796776277157957,0.12493542806701
CLD,1,44,8,22,0.811580579354943,0.794563960212815,0.122901419232034
CLD,1,48,10,24,0.81041939207612,0.796030534351145,0.125273041423116
CLD,1,48,12,24,0.813210228788016,0.797863247863248,0.123968685324987
CLD,1,48,14,24,0.810355211905435,0.805916030534351,0.124996431120094
CLD,1,48,16,24,0.812586648447192,0.797588480222068,0.124574437899083
CLD,1,48,18,24,0.812725075872918,0.791566265060241,0.123795831368657
CLD,1,48,2,24,0.81318155478247,0.796796206338191,0.122887319692349
CLD,1,48,20,24,0.812363158863045,0.80059565116817,0.122718472744514
CLD,1,48,4,24,0.811155713408515,0.798308866705813,0.123568528941905
CLD,1,48,6,24,0.811983731115005,0.805927596576452,0.123403279903015
CLD,1,48,8,24,0.811902269676824,0.789906048150323,0.122560051801212
CLD,1,52,10,26,0.81092239933738,0.793095238095238,0.123738534287203
CLD,1,52,12,26,0.811426534672059,0.793095238095238,0.12329611250992
CLD,1,52,14,26,0.812668407188477,0.789148561362302,0.123381987635776
CLD,1,52,16,26,0.811892226894562,0.790669406928949,0.123646275611544
CLD,1,52,18,26,0.811152561940977,0.797857142857143,0.124018405519603
CLD,1,52,2,26,0.81169403155208,0.796012918379331,0.123307544494917
CLD,1,52,20,26,0.810676818512514,0.79017094017094,0.123668182213532
CLD,1,52,4,26,0.811361417119042,0.79143863769818,0.12418014070235
CLD,1,52,6,26,0.813753476565045,0.79910941475827,0.121628002798424
CLD,1,52,8,26,0.813415961102015,0.794480328831474,0.121209090557217
CLD,1,56,10,28,0.812807037903669,0.794486200822079,0.124368483094078
CLD,1,56,12,28,0.810771399828668,0.801282051282051,0.124877581206155
CLD,1,56,14,28,0.813048514712097,0.798333333333333,0.123833900320765
CLD,1,56,16,28,0.812752022425916,0.80440666204025,0.123724473539026
CLD,1,56,18,28,0.811865154318888,0.789917792131533,0.123504050132936
CLD,1,56,2,28,0.813164866359504,0.796770405167352,0.122703789660853
CLD,1,56,20,28,0.812651767526373,0.800624566273421,0.123609774271876
CLD,1,56,4,28,0.813510635286969,0.790681150910159,0.123721733420021
CLD,1,56,6,28,0.811312637049149,0.792273883876937,0.124746751213361
CLD,1,56,8,28,0.813265830039401,0.796776277157957,0.123531911131439
CLD,1,60,10,30,0.812142584690185,0.787951807228916,0.124998612932658
CLD,1,60,12,30,0.81438666059855,0.789911920140928,0.121354193235167
CLD,1,60,14,30,0.81015697255016,0.797551379917792,0.124059047375393
CLD,1,60,16,30,0.812496018913348,0.796776277157957,0.124588600753381
CLD,1,60,18,30,0.813599740370318,0.796030534351145,0.121612605036144
CLD,1,60,2,30,0.812835194122443,0.796096460791117,0.123233758543908
CLD,1,60,20,30,0.81268033558226,0.782260716382854,0.122146996262862
CLD,1,60,4,30,0.815036644760235,0.801393708073097,0.123376202171512
CLD,1,60,6,30,0.813432134821096,0.800630349294471,0.123650873947859
CLD,1,60,8,30,0.811807228991757,0.796050196622716,0.124107341084086
CLD,2,5,10,1,0.77771121067038,0.761256038647343,0.13808499844616
CLD,2,5,12,1,0.777287104230898,0.743285024154589,0.138177459070989
CLD,2,5,14,1,0.776974013067212,0.755428079085797,0.135715656406571
CLD,2,5,16,1,0.777169794753317,0.764721080446271,0.138012310141304
CLD,2,5,18,1,0.778548899000255,0.737053140096618,0.134188225373626
CLD,2,5,2,1,0.787578240473902,0.754063123526211,0.130979356781783
CLD,2,5,20,1,0.769928323311889,0.75024154589372,0.143373808012102
CLD,2,5,4,1,0.78303332999926,0.762407516147974,0.134345713818162
CLD,2,5,6,1,0.781187050541643,0.768674698795181,0.136413689292066
CLD,2,5,8,1,0.78173231008878,0.755100624566273,0.133699753478007
CLD,2,9,10,2,0.794181019971205,0.78433734939759,0.13169610807141
CLD,2,9,12,2,0.792242260005113,0.774047619047619,0.131118079872689
CLD,2,9,14,2,0.790946170165859,0.774523809523809,0.13366557654651
CLD,2,9,16,2,0.791242733919771,0.76144578313253,0.133111453418273
CLD,2,9,18,2,0.790303025882807,0.773340272958593,0.132329639752687
CLD,2,9,2,2,0.797129770575158,0.779437229437229,0.130195500672633
CLD,2,9,20,2,0.791303275386639,0.772289156626506,0.13355041475398
CLD,2,9,4,2,0.799055993950216,0.783188757807078,0.128734017157309
CLD,2,9,6,2,0.794768719429932,0.77710843373494,0.131244314279952
CLD,2,9,8,2,0.794962934719101,0.77710843373494,0.131734714135668
CLD,2,17,10,4,0.803983990174131,0.783047563123899,0.125694927548751
CLD,2,17,12,4,0.804330199260194,0.785542168674699,0.125304971899528
CLD,2,17,14,4,0.805853315382903,0.793765903307888,0.12639076152671
CLD,2,17,16,4,0.803352802024617,0.78089289845015,0.12814047353436
CLD,2,17,18,4,0.802265476181977,0.784285714285714,0.128491898409011
CLD,2,17,2,4,0.805152189979501,0.781667823270877,0.127386720579632
CLD,2,17,20,4,0.805537875129651,0.77987012987013,0.126557316342239
CLD,2,17,4,4,0.804495857236476,0.79143863769818,0.126581873034367
CLD,2,17,6,4,0.805471181221273,0.783182974786028,0.126493134870936
CLD,2,17,8,4,0.803626162200957,0.779371963913949,0.12766550626254
CLD,2,25,10,6,0.806471319920158,0.785308279506753,0.126728557353324
CLD,2,25,12,6,0.809181812561221,0.785331767469172,0.121817315935688
CLD,2,25,14,6,0.806396051325155,0.782905982905983,0.125257677219068
CLD,2,25,16,6,0.808046976653501,0.791444509688785,0.123873150470609
CLD,2,25,18,6,0.808650330310784,0.794159544159544,0.124594510515399
CLD,2,25,2,6,0.810375849626692,0.803333333333333,0.123629045731021
CLD,2,25,20,6,0.808648750727233,0.787627715795655,0.123671354449014
CLD,2,25,4,6,0.807622488582842,0.790741383298635,0.12515605771142
CLD,2,25,6,6,0.810311134971071,0.790651790957134,0.123489478181418
CLD,2,25,8,6,0.807784894284625,0.779285714285714,0.125440872513929
CLD,2,33,10,8,0.81112930214975,0.792959483264827,0.123051185886725
CLD,2,33,12,8,0.810672754250782,0.789142689371697,0.12403186981758
CLD,2,33,14,8,0.809220856753091,0.789226231783484,0.124839773929551
CLD,2,33,16,8,0.812040747628883,0.794540828128614,0.123322097603931
CLD,2,33,18,8,0.808207914630652,0.789900176159718,0.125879331177033
CLD,2,33,2,8,0.810357982174055,0.788333333333333,0.124763299248327
CLD,2,33,20,8,0.80565662017623,0.789125073399883,0.127187339386531
CLD,2,33,4,8,0.810173601502043,0.793716970052848,0.124890479221414
CLD,2,33,6,8,0.81032134723423,0.779982384028186,0.122368423170126
CLD,2,33,8,8,0.806717970424611,0.786095126247798,0.126847587872617
CLD,2,41,10,10,0.811332261663289,0.789911920140928,0.123636487440599
CLD,2,41,12,10,0.810864934090449,0.785314151497358,0.124999596617798
CLD,2,41,14,10,0.808838200095802,0.789393939393939,0.124603620937027
CLD,2,41,16,10,0.807858114005845,0.783095238095238,0.125258662552286
CLD,2,41,18,10,0.810010255548669,0.782905982905983,0.123000050373995
CLD,2,41,2,10,0.811042259891409,0.79142689371697,0.123577430135383
CLD,2,41,20,10,0.809350577934895,0.789900176159718,0.126265114879702
CLD,2,41,4,10,0.814296513144246,0.796012918379331,0.121260212079912
CLD,2,41,6,10,0.811489996531181,0.794486200822079,0.125105510740369
CLD,2,41,8,10,0.811584455310455,0.796819338422392,0.122302366843844
CLD,2,49,10,12,0.813384722225136,0.793809523809524,0.122702243186062
CLD,2,49,12,12,0.815579843572117,0.801566951566951,0.120267641487752
CLD,2,49,14,12,0.812388009764466,0.788379330593071,0.12265354799579
CLD,2,49,16,12,0.810597092433641,0.789148561362302,0.122253424171399
CLD,2,49,18,12,0.809360951131225,0.788468656025908,0.12595595592463
CLD,2,49,2,12,0.813353435790721,0.792196124486201,0.122401823801738
CLD,2,49,20,12,0.812067083091797,0.797588480222068,0.12263490621349
CLD,2,49,4,12,0.812504584662558,0.793771686328938,0.122182065686201
CLD,2,49,6,12,0.81321159721381,0.793333333333333,0.124261731888547
CLD,2,49,8,12,0.811837735067178,0.803095238095238,0.123121748951684
CLD,2,57,10,14,0.811899129380585,0.786852613035819,0.122902031338252
CLD,2,57,12,14,0.81345041515712,0.793071940781864,0.122961726851113
CLD,2,57,14,14,0.809802633631758,0.792965355255432,0.124110980410933
CLD,2,57,16,14,0.812546557943855,0.795249559600705,0.123128134537826
CLD,2,57,18,14,0.811804926053802,0.786083382266588,0.123268793547283
CLD,2,57,2,14,0.812140239308342,0.78961038961039,0.123056184683919
CLD,2,57,20,14,0.813001710502194,0.801282051282051,0.123870021085138
CLD,2,57,4,14,0.812206462120675,0.789900176159718,0.123845329278194
CLD,2,57,6,14,0.812052533631153,0.793728714034058,0.124097612777048
CLD,2,57,8,14,0.813112450290516,0.801566951566951,0.12216999658249
CLD,2,65,10,16,0.81504636420182,0.805158454776775,0.122656104247573
CLD,2,65,12,16,0.812117410853526,0.801709401709402,0.122972510633268
CLD,2,65,14,16,0.813954261521621,0.793874643874644,0.12127122109061
CLD,2,65,16,16,0.811864380126629,0.789911920140928,0.123716589442261
CLD,2,65,18,16,0.812561630633833,0.793095238095238,0.122673168869598
CLD,2,65,2,16,0.812958022527205,0.796782149148561,0.122069655031445
CLD,2,65,20,16,0.812485274906124,0.797578347578348,0.123249575940705
CLD,2,65,4,16,0.811871151614396,0.8,0.124576074447308
CLD,2,65,6,16,0.81290293085773,0.799078097475044,0.124013021762441
CLD,2,65,8,16,0.812520303657626,0.803095238095238,0.123173038500932
CLD,2,73,10,18,0.811741525334828,0.790598290598291,0.124427338087269
CLD,2,73,12,18,0.811975278324354,0.794486200822079,0.124657173734683
CLD,2,73,14,18,0.812027531015778,0.792857142857143,0.123492893246988
CLD,2,73,16,18,0.814167073240188,0.791421021726365,0.121198296953092
CLD,2,73,18,18,0.813603888123205,0.794486200822079,0.123438276242102
CLD,2,73,2,18,0.813735004502566,0.795255431591309,0.123436270901638
CLD,2,73,20,18,0.812303185633146,0.803246753246753,0.123661610608518
CLD,2,73,4,18,0.813075004068541,0.798095238095238,0.122887981725467
CLD,2,73,6,18,0.81602849390466,0.802619047619048,0.121755783279834
CLD,2,73,8,18,0.813561308512583,0.796007046388726,0.122518200705408
CLD,2,81,10,20,0.813988085626527,0.789154433352907,0.121466953845305
CLD,2,81,12,20,0.812972072106861,0.790657662947739,0.123831004858668
CLD,2,81,14,20,0.813083909608557,0.796770405167352,0.122654945765799
CLD,2,81,16,20,0.813369035104566,0.796,0.123382086467724
CLD,2,81,18,20,0.813000715722837,0.805916030534351,0.122866715378284
CLD,2,81,2,20,0.81279757092283,0.787951807228916,0.123313844962364
CLD,2,81,20,20,0.811627490142486,0.793716970052848,0.125035597170526
CLD,2,81,4,20,0.812875007182023,0.797545507927187,0.122851959150917
CLD,2,81,6,20,0.814380600251413,0.796012918379331,0.122198433312752
CLD,2,81,8,20,0.813460967303346,0.79523194362889,0.123233139890989
CLD,2,89,10,22,0.8143198761847,0.797857142857143,0.121936897705413
CLD,2,89,12,22,0.813883109672978,0.792947739283617,0.123696598900924
CLD,2,89,14,22,0.815597050891756,0.806667823270877,0.122171672197041
CLD,2,89,16,22,0.813261876326624,0.801362301820317,0.12286695020569
CLD,2,89,18,22,0.813161845124334,0.788571428571428,0.122614418908352
CLD,2,89,2,22,0.815552487851339,0.794017094017094,0.121432592114505
CLD,2,89,20,22,0.81205862451027,0.797720797720798,0.124050291983432
CLD,2,89,4,22,0.814893208174956,0.794486200822079,0.121779584986571
CLD,2,89,6,22,0.813024397997891,0.795249559600705,0.123492618461359
CLD,2,89,8,22,0.813783291833246,0.798333333333333,0.12252096577941
CLD,2,97,10,24,0.813799812838587,0.794486200822079,0.121881842307136
CLD,2,97,12,24,0.815660892158845,0.793571428571429,0.121164785694582
CLD,2,97,14,24,0.81195279923595,0.801382142030997,0.124749416115066
CLD,2,97,16,24,0.813905710159952,0.793333333333333,0.123151876306358
CLD,2,97,18,24,0.814797633954055,0.792619047619048,0.122474621211835
CLD,2,97,2,24,0.813667561570591,0.797720797720798,0.122720375720723
CLD,2,97,20,24,0.813027225272978,0.79142689371697,0.123259243972845
CLD,2,97,4,24,0.813736028055151,0.797863247863248,0.12248979997348
CLD,2,97,6,24,0.814596274589151,0.798095238095238,0.121574326802305
CLD,2,97,8,24,0.813472097938934,0.786467236467237,0.121999197161972
CLD,2,105,10,26,0.814083562508784,0.793333333333333,0.122936060872028
CLD,2,105,12,26,0.813503076903925,0.794540828128614,0.122717025869963
CLD,2,105,14,26,0.813639780933875,0.8,0.124123785653231
CLD,2,105,16,26,0.814719823222171,0.793722842043453,0.123119784220085
CLD,2,105,18,26,0.813888478103845,0.797863247863248,0.122472323899516
CLD,2,105,2,26,0.813122066543582,0.796012918379331,0.123284739746443
CLD,2,105,20,26,0.81439116490269,0.79143863769818,0.121217221598102
CLD,2,105,4,26,0.813110481556939,0.791444509688785,0.123052786095949
CLD,2,105,6,26,0.817314232260919,0.802619047619048,0.120870617697732
CLD,2,105,8,26,0.816280811250683,0.796007046388726,0.121963789791505
CLD,2,113,10,28,0.814068647430189,0.798095238095238,0.12215779555924
CLD,2,113,12,28,0.814538448067367,0.802619047619048,0.122944583868171
CLD,2,113,14,28,0.815234842995129,0.799823840281856,0.122355706712486
CLD,2,113,16,28,0.814151853604342,0.797857142857143,0.122717822929231
CLD,2,113,18,28,0.81436270356134,0.796782149148561,0.122381763198238
CLD,2,113,2,28,0.814403523068408,0.799072225484439,0.122585416607269
CLD,2,113,20,28,0.814597296808161,0.797857142857143,0.122949647951078
CLD,2,113,4,28,0.81449098726595,0.79142689371697,0.12213627867997
CLD,2,113,6,28,0.815917049680983,0.797545507927187,0.122067745483376
CLD,2,113,8,28,0.815359185364318,0.798095238095238,0.121798439557835
CLD,2,121,10,30,0.813782813028486,0.794486200822079,0.122979436790925
CLD,2,121,12,30,0.814972549666507,0.792196124486201,0.122521335900745
CLD,2,121,14,30,0.815117203090003,0.807431182049502,0.122234284866156
CLD,2,121,16,30,0.814788720992154,0.797863247863248,0.123050952796966
CLD,2,121,18,30,0.815070013725856,0.798314738696418,0.121191699988865
CLD,2,121,2,30,0.815394349619113,0.799861207494795,0.122122284040991
CLD,2,121,20,30,0.813607854496735,0.786746987951807,0.122542260825148
CLD,2,121,4,30,0.815967565524079,0.802139717788573,0.123388148289165
CLD,2,121,6,30,0.814754926804606,0.809116809116809,0.1230453694364
CLD,2,121,8,30,0.814904181399367,0.796018790369935,0.121943242374277
CLD,3,8,10,1,0.792211282678388,0.772553782095767,0.131879655561483
CLD,3,8,12,1,0.791945827998027,0.771579565472695,0.129006512393815
CLD,3,8,14,1,0.793210130298363,0.769494563960213,0.128578856717615
CLD,3,8,16,1,0.790103159470921,0.775384615384615,0.132382179772746
CLD,3,8,18,1,0.790082273926598,0.781062801932367,0.133137094807099
CLD,3,8,2,1,0.799335530061722,0.781168831168831,0.126026904010669
CLD,3,8,20,1,0.78547995862227,0.768019323671498,0.139674644792953
CLD,3,8,4,1,0.795446490294784,0.780966183574879,0.130665689291271
CLD,3,8,6,1,0.79433285358451,0.773334489937543,0.130544991832348
CLD,3,8,8,1,0.794129493739538,0.77231884057971,0.130123587312277
CLD,3,14,10,2,0.803147018683606,0.785296535525543,0.127408109452987
CLD,3,14,12,2,0.798569681942305,0.783571428571429,0.129839893830545
CLD,3,14,14,2,0.803539162418929,0.785337639459777,0.128606227633809
CLD,3,14,16,2,0.7992681163816,0.780769230769231,0.130160211887827
CLD,3,14,18,2,0.800103403272214,0.781503229594833,0.12874751446023
CLD,3,14,2,2,0.803132720246938,0.791456253669994,0.127545522854948
CLD,3,14,20,2,0.800175319127375,0.784632034632035,0.129234888554126
CLD,3,14,4,2,0.807506196118468,0.788095238095238,0.124853752694056
CLD,3,14,6,2,0.803796427430713,0.786746987951807,0.127209771263019
CLD,3,14,8,2,0.80382959477643,0.786077510275984,0.127446333217285
CLD,3,26,10,4,0.809743614270908,0.788385202583676,0.124844810130257
CLD,3,26,12,4,0.807271280368505,0.788367586611861,0.125327487464307
CLD,3,26,14,4,0.808210452847341,0.797578347578348,0.123588932060591
CLD,3,26,16,4,0.80695773378909,0.789255146888735,0.125983617767896
CLD,3,26,18,4,0.808159258762284,0.789949109414758,0.124431572941913
CLD,3,26,2,4,0.808207887951817,0.779518072289157,0.126996909318254
CLD,3,26,20,4,0.809587966112153,0.790669406928949,0.123783433539913
CLD,3,26,4,4,0.807689406545751,0.794575526254916,0.125559758490387
CLD,3,26,6,4,0.808928506454759,0.79045584045584,0.125446981631954
CLD,3,26,8,4,0.807113737555005,0.786324786324786,0.126686170825401
CLD,3,38,10,6,0.810633008449894,0.795321535970391,0.124824650728989
CLD,3,38,12,6,0.811100608035086,0.789917792131533,0.122287031327639
CLD,3,38,14,6,0.808135973143487,0.786852613035819,0.125303034914048
CLD,3,38,16,6,0.811775910146218,0.796018790369935,0.122790378165407
CLD,3,38,18,6,0.811076192862158,0.782763532763533,0.124796359016241
CLD,3,38,2,6,0.811211759424584,0.791421021726365,0.123626869861863
CLD,3,38,20,6,0.811869973460249,0.787615971814445,0.122795795164157
CLD,3,38,4,6,0.808450802245507,0.790663534938344,0.126469989305374
CLD,3,38,6,6,0.814285698780057,0.793722842043453,0.12236514372716
CLD,3,38,8,6,0.810072090017554,0.794017094017094,0.125527059336016
CLD,3,50,10,8,0.812925350771059,0.79143863769818,0.122984900294932
CLD,3,50,12,8,0.811678024805915,0.789888432178508,0.12357994761997
CLD,3,50,14,8,0.811685999894449,0.794486200822079,0.124429392291304
CLD,3,50,16,8,0.813539093219255,0.786852613035819,0.122392804759818
CLD,3,50,18,8,0.812259707554509,0.793783252371039,0.122734895237688
CLD,3,50,2,8,0.812455257347518,0.802110802683322,0.124742610134998
CLD,3,50,20,8,0.812085801426569,0.793571428571428,0.124111438678409
CLD,3,50,4,8,0.810568105181221,0.792196124486201,0.124659548607338
CLD,3,50,6,8,0.813654454530559,0.786095126247798,0.121583684597836
CLD,3,50,8,8,0.811970806485415,0.790758732361786,0.122292619581479
CLD,3,62,10,10,0.812318304753846,0.796782149148561,0.124239267956295
CLD,3,62,12,10,0.813336875831302,0.786083382266588,0.123429169880453
CLD,3,62,14,10,0.810596486701243,0.792196124486201,0.125061423637553
CLD,3,62,16,10,0.811263729938939,0.789136817381092,0.122799617240301
CLD,3,62,18,10,0.811468468876059,0.786846741045214,0.123496031735261
CLD,3,62,2,10,0.813908769603974,0.790764515382836,0.121589795687697
CLD,3,62,20,10,0.812043636825983,0.790361445783133,0.124415141961449
CLD,3,62,4,10,0.813992152698682,0.7952436876101,0.121240381323547
CLD,3,62,6,10,0.812294038125487,0.790675278919554,0.124754121850999
CLD,3,62,8,10,0.814467166540856,0.799066353493834,0.12344737679631
CLD,3,74,10,12,0.815093249834816,0.789136817381092,0.12228139415891
CLD,3,74,12,12,0.81466517142088,0.793794818413139,0.121663754415601
CLD,3,74,14,12,0.814422946433492,0.787604227833235,0.121978373663835
CLD,3,74,16,12,0.812657533376616,0.789894304169113,0.122101964312484
CLD,3,74,18,12,0.810340128554236,0.794480328831474,0.12460745130344
CLD,3,74,2,12,0.813942416795963,0.794301994301994,0.122506505223919
