weights,n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
CLD,1,2,10,1,0.771751976056908,0.731428571428571,0.135448246330348
CLD,1,2,12,1,0.766671415572867,0.745845410628019,0.141207874651195
CLD,1,2,14,1,0.770868898924728,0.747695035460993,0.134824491483977
CLD,1,2,16,1,0.766568104471141,0.750289855072464,0.139357712114505
CLD,1,2,18,1,0.766139036369745,0.734432672590567,0.139195792259919
CLD,1,2,2,1,0.774423074508278,0.743290043290043,0.136993222024185
CLD,1,2,20,1,0.765354588239229,0.743311802701116,0.139019486839007
CLD,1,2,4,1,0.775689327280761,0.756859903381643,0.138875189493275
CLD,1,2,6,1,0.771933666628258,0.750096618357488,0.13907409129883
CLD,1,2,8,1,0.771453588702778,0.753418803418803,0.138773077469141
CLD,1,4,10,2,0.784386311732654,0.759130434782609,0.134010642917795
CLD,1,4,12,2,0.781461785073605,0.753276353276353,0.134736265302583
CLD,1,4,14,2,0.784639753781033,0.763333333333333,0.135605684850583
CLD,1,4,16,2,0.780423983223684,0.756837606837607,0.136446744910792
CLD,1,4,18,2,0.778357907309779,0.760444136016655,0.135965106629452
CLD,1,4,2,2,0.790411418047297,0.785064935064935,0.131909576942309
CLD,1,4,20,2,0.782504895447685,0.753133903133903,0.136081592964573
CLD,1,4,4,2,0.790279760973297,0.775498575498575,0.129961755986737
CLD,1,4,6,2,0.785958186920343,0.769285714285714,0.134472629822972
CLD,1,4,8,2,0.784087623688207,0.765367965367965,0.133806373316293
CLD,1,8,10,4,0.796821593312006,0.780722891566265,0.130275461868943
CLD,1,8,12,4,0.796247940739066,0.771084337349398,0.127985234619218
CLD,1,8,14,4,0.794224380258741,0.776359009946796,0.132906669414618
CLD,1,8,16,4,0.798291270611893,0.771937321937322,0.130425560595403
CLD,1,8,18,4,0.79836368060575,0.769517696044414,0.128951569201785
CLD,1,8,2,4,0.796810243831052,0.765060240963855,0.128502030660653
CLD,1,8,20,4,0.794462866025578,0.774698795180723,0.131676757934973
CLD,1,8,4,4,0.796216789907069,0.780722891566265,0.130212014257897
CLD,1,8,6,4,0.799037884077417,0.77965367965368,0.12614987662328
CLD,1,8,8,4,0.796310712361925,0.773493975903614,0.129767187240295
CLD,1,12,10,6,0.798974893061513,0.781256038647343,0.132641083845639
CLD,1,12,12,6,0.800680794266792,0.77710843373494,0.126823954761504
CLD,1,12,14,6,0.799316491972013,0.771084337349398,0.128623871581132
CLD,1,12,16,6,0.800750060743999,0.783333333333333,0.128326561383949
CLD,1,12,18,6,0.801497455142594,0.783190883190883,0.128909560156097
CLD,1,12,2,6,0.804116640363293,0.785542168674699,0.126311057125422
CLD,1,12,20,6,0.798400340996784,0.783132530120482,0.130338293110872
CLD,1,12,4,6,0.802813664838276,0.779518072289157,0.128238722345879
CLD,1,12,6,6,0.804162660608627,0.786077510275984,0.127215044061415
CLD,1,12,8,6,0.802589875011737,0.77710843373494,0.127598233459111
CLD,1,16,10,8,0.805025124535038,0.78761009982384,0.127776075121957
CLD,1,16,12,8,0.805587090799686,0.786846741045214,0.126207203982188
CLD,1,16,14,8,0.806154339891011,0.787633587786259,0.126024250274485
CLD,1,16,16,8,0.804394443603373,0.77920728126835,0.128752027665118
CLD,1,16,18,8,0.804044496308649,0.777856812398797,0.125325664809791
CLD,1,16,2,8,0.807993377826605,0.787619047619048,0.12511085563851
CLD,1,16,20,8,0.801648352510735,0.789136817381092,0.128518411866208
CLD,1,16,4,8,0.804658689961024,0.78982683982684,0.126527658332117
CLD,1,16,6,8,0.806370719904219,0.786858485026424,0.126790678550446
CLD,1,16,8,8,0.802997029157645,0.783333333333333,0.126995620543103
CLD,1,20,10,10,0.807181986206908,0.788451306962757,0.126665592186412
CLD,1,20,12,10,0.805669924128123,0.77948717948718,0.126158053642024
CLD,1,20,14,10,0.805722082840492,0.784047619047619,0.125963047203959
CLD,1,20,16,10,0.805561564278125,0.778095238095238,0.125716364815561
CLD,1,20,18,10,0.806667026772514,0.786752136752137,0.124398515658831
CLD,1,20,2,10,0.805094346445482,0.78469812630118,0.126005037477805
CLD,1,20,20,10,0.805114756534893,0.786083382266588,0.126638582807413
CLD,1,20,4,10,0.80812488772076,0.785542168674699,0.124306500138935
CLD,1,20,6,10,0.807507985354741,0.792201996476806,0.125168125962522
CLD,1,20,8,10,0.804402038088401,0.797578347578348,0.125955747435852
CLD,1,24,10,12,0.809604602412394,0.789272495951885,0.124241036756261
CLD,1,24,12,12,0.809882061646704,0.793794818413139,0.124562303005411
CLD,1,24,14,12,0.809786312203149,0.79045584045584,0.122929865145392
CLD,1,24,16,12,0.808010377846739,0.786970853573907,0.123619734991789
