"","valores_combo","niveles"
"65","alpha18-split1","25, 26, 27, 29, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 28, 30, 33, 100"
"66","alpha18-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"67","alpha18-split12","6, 9, 11, 7, 8, 10, 12"
"68","alpha18-split14","4, 5, 6, 7, 8, 9, 10, 11"
"69","alpha18-split16","5, 6, 7, 8, 9, 10"
"70","alpha18-split18","5, 6, 7, 8, 9"
"71","alpha18-split2","19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 22, 60"
"72","alpha18-split20","3, 4, 5, 6, 7, 8"
"73","alpha18-split22","3, 4, 5, 6, 7"
"74","alpha18-split24","4, 5, 6, 7"
"75","alpha18-split26","3, 4, 5, 6"
"76","alpha18-split28","3, 4, 5, 6"
"77","alpha18-split30","3, 4, 5"
"78","alpha18-split4","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"79","alpha18-split6","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"80","alpha18-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"81","alpha2-split1","34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 41, 47, 48, 100"
"82","alpha2-split10","7, 8, 9, 10, 11, 12, 13, 14, 15"
"83","alpha2-split12","5, 7, 8, 9, 10, 11, 6, 12"
"84","alpha2-split14","4, 5, 6, 7, 8, 9, 10, 11"
"85","alpha2-split16","4, 5, 6, 7, 8, 9, 10"
"86","alpha2-split18","4, 5, 6, 7, 8, 9"
"87","alpha2-split2","11, 12, 14, 15, 19, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 16, 17, 18, 20, 21, 22, 29, 60"
"88","alpha2-split20","5, 6, 7, 8"
"89","alpha2-split22","4, 5, 6, 7"
"90","alpha2-split24","3, 5, 6, 4, 7"
"91","alpha2-split26","4, 5, 6"
"92","alpha2-split28","3, 4, 5, 6"
"93","alpha2-split30","3, 4, 5"
"94","alpha2-split4","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"95","alpha2-split6","9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 13, 24"
"96","alpha2-split8","6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 7, 18"
"97","alpha20-split1","26, 28, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 27, 29, 30, 31, 32, 33, 34, 37, 38, 50, 100"
"98","alpha20-split10","7, 8, 9, 10, 11, 12, 13, 14, 15"
"99","alpha20-split12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
"100","alpha20-split14","6, 7, 8, 9, 10, 11"
"101","alpha20-split16","5, 6, 7, 8, 9, 10"
"102","alpha20-split18","4, 5, 6, 7, 8, 9"
"103","alpha20-split2","13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 14, 60"
"104","alpha20-split20","3, 4, 5, 6, 7, 8"
"105","alpha20-split22","4, 6, 5, 7"
"106","alpha20-split24","4, 5, 6, 7"
"107","alpha20-split26","3, 4, 5, 6"
"108","alpha20-split28","5, 6"
"109","alpha20-split30","2, 3, 4, 5"
"110","alpha20-split4","13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 14, 34"
"111","alpha20-split6","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"112","alpha20-split8","6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 9, 13, 18"
"113","alpha4-split1","27, 29, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 28, 30, 31, 32, 33, 36, 100"
"114","alpha4-split10","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"115","alpha4-split12","3, 5, 6, 7, 8, 9, 10, 11, 4, 12"
"116","alpha4-split14","6, 7, 8, 9, 10, 11"
"117","alpha4-split16","4, 6, 7, 8, 9, 5, 10"
"118","alpha4-split18","4, 5, 6, 7, 8, 9"
"119","alpha4-split2","17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"120","alpha4-split20","5, 6, 7, 8"
"121","alpha4-split22","4, 5, 6, 7"
"122","alpha4-split24","3, 4, 5, 6, 7"
"123","alpha4-split26","3, 4, 5, 6"
"124","alpha4-split28","3, 4, 5, 6"
"125","alpha4-split30","2, 3, 4, 5"
"126","alpha4-split4","15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"127","alpha4-split6","10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 11, 24"
"128","alpha4-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"129","alpha6-split1","19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 20, 21, 100"
"130","alpha6-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"131","alpha6-split12","8, 9, 10, 11, 12"
"132","alpha6-split14","5, 6, 7, 8, 9, 10, 11"
"133","alpha6-split16","3, 4, 5, 6, 7, 8, 9, 10"
"134","alpha6-split18","4, 5, 7, 8, 6, 9"
"135","alpha6-split2","21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 22, 28, 60"
"136","alpha6-split20","2, 3, 4, 5, 6, 7, 8"
"137","alpha6-split22","3, 4, 6, 5, 7"
"138","alpha6-split24","3, 4, 5, 6, 7"
"139","alpha6-split26","3, 4, 5, 6"
"140","alpha6-split28","3, 4, 5, 6"
"141","alpha6-split30","4, 5"
"142","alpha6-split4","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"143","alpha6-split6","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"144","alpha6-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"145","alpha8-split1","29, 32, 33, 34, 38, 40, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 30, 31, 35, 36, 37, 39, 41, 42, 43, 44, 100"
"146","alpha8-split10","9, 10, 11, 12, 13, 14, 15"
"147","alpha8-split12","5, 6, 7, 8, 9, 10, 11, 12"
"148","alpha8-split14","4, 5, 6, 7, 8, 9, 10, 11"
"149","alpha8-split16","4, 5, 6, 7, 8, 9, 10"
"150","alpha8-split18","4, 6, 7, 8, 5, 9"
"151","alpha8-split2","12, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 14, 15, 16, 17, 24, 60"
"152","alpha8-split20","6, 7, 8"
"153","alpha8-split22","4, 5, 6, 7"
"154","alpha8-split24","3, 4, 5, 6, 7"
"155","alpha8-split26","3, 4, 5, 6"
"156","alpha8-split28","2, 4, 5, 3, 6"
"157","alpha8-split30","3, 4, 5"
"158","alpha8-split4","10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 13, 16, 17, 34"
"159","alpha8-split6","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"160","alpha8-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
