"","valores_combo","niveles"
"1","alpha10-split1","18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 19, 20, 100"
"2","alpha10-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"3","alpha10-split12","5, 6, 7, 8, 9, 10, 11, 12"
"4","alpha10-split14","3, 4, 5, 6, 7, 8, 9, 10, 11"
"5","alpha10-split16","4, 5, 6, 7, 8, 9, 10"
"6","alpha10-split18","5, 6, 7, 8, 9"
"7","alpha10-split2","18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"8","alpha10-split20","3, 4, 5, 6, 7, 8"
"9","alpha10-split22","3, 5, 6, 4, 7"
"10","alpha10-split24","3, 4, 5, 6, 7"
"11","alpha10-split26","3, 4, 5, 6"
"12","alpha10-split28","3, 4, 5, 6"
"13","alpha10-split30","3, 4, 5"
"14","alpha10-split4","12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 17, 18, 19, 34"
"15","alpha10-split6","9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 10, 12, 24"
"16","alpha10-split8","5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 6, 18"
"17","alpha12-split1","19, 20, 32, 33, 34, 35, 36, 37, 38, 39, 41, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 40, 42, 43, 100"
"18","alpha12-split10","7, 9, 10, 11, 12, 13, 14, 8, 15"
"19","alpha12-split12","6, 7, 8, 9, 10, 11, 12"
"20","alpha12-split14","6, 7, 8, 9, 10, 11"
"21","alpha12-split16","6, 7, 8, 9, 10"
"22","alpha12-split18","5, 6, 7, 8, 9"
"23","alpha12-split2","21, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 23, 24, 25, 60"
"24","alpha12-split20","3, 4, 5, 6, 7, 8"
"25","alpha12-split22","3, 4, 5, 6, 7"
"26","alpha12-split24","3, 5, 6, 4, 7"
"27","alpha12-split26","4, 5, 6"
"28","alpha12-split28","4, 5, 6"
"29","alpha12-split30","3, 4, 5"
"30","alpha12-split4","16, 17, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 18, 19, 20, 21, 22, 34"
"31","alpha12-split6","7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 8, 9, 10, 11, 24"
"32","alpha12-split8","9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"33","alpha14-split1","27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 28, 100"
"34","alpha14-split10","9, 10, 11, 12, 13, 14, 15"
"35","alpha14-split12","5, 6, 7, 9, 10, 11, 8, 12"
"36","alpha14-split14","5, 6, 7, 8, 9, 10, 11"
"37","alpha14-split16","4, 5, 6, 7, 8, 9, 10"
"38","alpha14-split18","4, 5, 6, 7, 8, 9"
"39","alpha14-split2","21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 22, 60"
"40","alpha14-split20","4, 5, 6, 7, 8"
"41","alpha14-split22","4, 5, 6, 7"
"42","alpha14-split24","3, 4, 5, 6, 7"
"43","alpha14-split26","4, 5, 6"
"44","alpha14-split28","2, 3, 4, 5, 6"
"45","alpha14-split30","2, 4, 3, 5"
"46","alpha14-split4","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"47","alpha14-split6","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"48","alpha14-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"49","alpha16-split1","26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 35, 100"
"50","alpha16-split10","6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"51","alpha16-split12","5, 6, 7, 8, 9, 10, 11, 12"
"52","alpha16-split14","3, 4, 5, 6, 7, 8, 9, 10, 11"
"53","alpha16-split16","5, 6, 8, 9, 7, 10"
"54","alpha16-split18","3, 5, 6, 7, 8, 4, 9"
"55","alpha16-split2","17, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 19, 20, 21, 23, 60"
"56","alpha16-split20","4, 5, 6, 7, 8"
"57","alpha16-split22","4, 5, 6, 7"
"58","alpha16-split24","6, 7"
"59","alpha16-split26","2, 3, 4, 5, 6"
"60","alpha16-split28","4, 5, 6"
"61","alpha16-split30","3, 4, 5"
"62","alpha16-split4","11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 12, 34"
"63","alpha16-split6","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"64","alpha16-split8","9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
