n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
9,332,18,18,0.815001,0.797863,0.120833
8,327,18,20,0.815023,0.796019,0.120971
4,179,18,22,0.814601,0.794547,0.120865
7,342,18,24,0.814988,0.796808,0.120877
6,317,18,26,0.814688,0.796782,0.120714
4,227,18,28,0.814409,0.797583,0.121264
5,304,18,30,0.815007,0.796782,0.120778
99,296,20,1,0.81253,0.800593,0.120866
44,219,20,2,0.814463,0.797546,0.120787
34,305,20,4,0.814964,0.79759,0.120723
19,246,20,6,0.815031,0.798309,0.120827
18,305,20,8,0.81475,0.79754,0.121224
15,314,20,10,0.814961,0.797546,0.120935
8,199,20,12,0.814718,0.796386,0.120926
10,289,20,14,0.814827,0.796386,0.120918
10,329,20,16,0.814897,0.794486,0.120345
9,332,20,18,0.814642,0.796776,0.120967
8,327,20,20,0.81474,0.798006,0.12119
7,314,20,22,0.815039,0.79759,0.120891
7,342,20,24,0.814823,0.796782,0.121205
6,317,20,26,0.8147,0.79756,0.121088
6,341,20,28,0.815064,0.797863,0.120773
4,243,20,30,0.814128,0.793976,0.12158
