,n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
0,1,2,2,1,0.778491376108162,0.7528490028490028,0.13380906797180808
1,1,2,4,1,0.7769878299051116,0.7596865602590793,0.1347421512741024
2,1,2,6,1,0.7775642018676326,0.7589855072463768,0.13438004441833873
3,1,2,8,1,0.7753070694328745,0.7454415954415954,0.1348282725029277
4,1,2,10,1,0.7753350225348355,0.7527525847995646,0.1344692626063232
5,1,2,12,1,0.7756747661605397,0.7575498575498576,0.1342512302730238
6,1,2,14,1,0.7745216619121192,0.7480519480519481,0.135045171259258
7,1,2,16,1,0.7739087036106086,0.7525641025641026,0.1347543460530379
8,1,2,18,1,0.7743326112095998,0.7480519480519481,0.1342420284214891
9,1,2,20,1,0.7746665566291315,0.7436231884057971,0.1349045139711721
10,1,4,2,2,0.7892463413979375,0.77,0.1301879390720961
11,1,4,4,2,0.7883091393976314,0.7690476190476191,0.130799515662224
12,1,4,6,2,0.7881734403147017,0.7698795180722892,0.13106981394932185
13,1,4,8,2,0.7885490530647555,0.7695238095238095,0.1311721744885146
14,1,4,10,2,0.7884316580410496,0.7701449275362319,0.13046273761811433
15,1,4,12,2,0.7868899366496283,0.7692857142857144,0.13202508279976247
16,1,4,14,2,0.7873483224147804,0.766017316017316,0.13186441607788307
17,1,4,16,2,0.7871896641035496,0.7674698795180723,0.1308759389555625
18,1,4,18,2,0.7865464520939831,0.7678062678062678,0.1310727969603142
19,1,4,20,2,0.7877389879980459,0.7666666666666667,0.13045896309443597
20,1,8,2,4,0.7982284129573113,0.7803030303030303,0.12743896419112016
21,1,8,4,4,0.798814569593595,0.7809044644922507,0.12795773113033085
22,1,8,6,4,0.7989864475655563,0.7793447293447293,0.12603748824632025
23,1,8,8,4,0.7983428122526,0.7790598290598291,0.12764470969311484
24,1,8,10,4,0.7984525418793125,0.7776746917204933,0.12737744612308718
25,1,8,12,4,0.7984975665734265,0.7786548693037243,0.12694671191063311
26,1,8,14,4,0.7990634646718763,0.7815032295948326,0.1270302554724653
27,1,8,16,4,0.7995532990428431,0.7795180722891566,0.126980015849758
28,1,8,18,4,0.7982107357089193,0.7793447293447293,0.12722354181264728
29,1,8,20,4,0.7978424857942754,0.7786143881563728,0.12867475765957168
30,1,12,2,6,0.8024933062977005,0.7835714285714286,0.1265482596830354
31,1,12,4,6,0.8036320089155832,0.7867521367521367,0.12586253232173367
32,1,12,6,6,0.8033326250298892,0.7844155844155843,0.12521616082222564
33,1,12,8,6,0.802256530991092,0.7831325301204819,0.12621745905458698
34,1,12,10,6,0.8027722941122074,0.7819277108433735,0.12609705000474464
35,1,12,12,6,0.8028687829619983,0.7831656257228776,0.1254021019323095
36,1,12,14,6,0.8024701960450358,0.7831714087439278,0.12597636226556738
37,1,12,16,6,0.8033843316241344,0.7853200234879625,0.1261305931428547
38,1,12,18,6,0.8025774216153528,0.7867469879518072,0.12637370574462967
39,1,12,20,6,0.8031257223142653,0.7838167938931297,0.12650829246465023
40,1,16,2,8,0.8061658343210614,0.786095126247798,0.12471772997930063
41,1,16,4,8,0.806017533091169,0.7898268398268398,0.12476744122988656
42,1,16,6,8,0.8054615180406145,0.7855421686746988,0.12481214138545554
43,1,16,8,8,0.8061915836599455,0.7884086905460952,0.12423988392379116
44,1,16,10,8,0.8060231065272859,0.7876100998238403,0.12458930215815238
45,1,16,12,8,0.805224075845448,0.7862074947952811,0.124877985962354
46,1,16,14,8,0.805656576683032,0.7842857142857143,0.1251145848639846
47,1,16,16,8,0.8052307580518737,0.7855421686746988,0.1250154655123374
48,1,16,18,8,0.8059195765296776,0.7879518072289157,0.12408904622390927
49,1,16,20,8,0.8053154057533598,0.7891566265060241,0.1256710529362017
50,1,20,2,10,0.8066665425547002,0.7860833822665884,0.12458688286303397
51,1,20,4,10,0.8072924223826047,0.7868526130358191,0.12418699615674647
52,1,20,6,10,0.8073822718302832,0.7885714285714285,0.12423985043625939
53,1,20,8,10,0.8069131332498245,0.7876159718144451,0.12459885635575002
54,1,20,10,10,0.8074964613203452,0.7880952380952381,0.12444731916411306
55,1,20,12,10,0.8070962732630309,0.7891566265060241,0.12439564266633693
56,1,20,14,10,0.8070961409185218,0.787734212352533,0.12350005646815343
57,1,20,16,10,0.8072391065387858,0.7868526130358191,0.12403734892958239
58,1,20,18,10,0.80776841932696,0.7867469879518072,0.12322276369005657
59,1,20,20,10,0.8069077008886204,0.788961038961039,0.12455347555776984
