,n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
60,1,24,2,12,0.8082318358799903,0.7868945868945868,0.12376716096086131
61,1,24,4,12,0.8080604769088467,0.788961038961039,0.12395113203060712
62,1,24,6,12,0.8088486843541075,0.788961038961039,0.12338661279217476
63,1,24,8,12,0.808349699029827,0.7904558404558404,0.12343887930736368
64,1,24,10,12,0.8083706686871689,0.7883675866118615,0.1231237741435485
65,1,24,12,12,0.8091030374152897,0.7930952380952381,0.12359310735089206
66,1,24,14,12,0.8086622879802708,0.7901709401709403,0.12289289160464828
67,1,24,16,12,0.8077898806696672,0.7869708535739071,0.12398025509317832
68,1,24,18,12,0.8084904657172137,0.7879518072289157,0.12343827105146844
69,1,24,20,12,0.8095838432912696,0.7927710843373494,0.12295578938467809
70,1,28,2,14,0.8100383132631811,0.7905982905982907,0.12238695773975725
71,1,28,4,14,0.8084740835234331,0.7892146657413833,0.12414222432049639
72,1,28,6,14,0.8096449231930427,0.7914503816793893,0.12391874350504252
73,1,28,8,14,0.8089803794560689,0.7891566265060241,0.12386700256618069
74,1,28,10,14,0.8107419853422673,0.7903614457831325,0.1223780370461074
75,1,28,12,14,0.8092959959019225,0.7903614457831325,0.123597985032171
76,1,28,14,14,0.8090031264403095,0.7900127226463104,0.12284729971831221
77,1,28,16,14,0.8098359678123752,0.7915336571825121,0.12296321284493943
78,1,28,18,14,0.8096986294661169,0.788,0.12284146787882418
79,1,28,20,14,0.8087407463181099,0.7900185056673605,0.12353692915228834
80,1,32,2,16,0.8113069555018277,0.791566265060241,0.12168069812168594
81,1,32,4,16,0.8100175161673431,0.7906694069289489,0.12345739515175157
82,1,32,6,16,0.8108248870037181,0.789906048150323,0.12257791448100913
83,1,32,8,16,0.8101609186570027,0.7891485613623018,0.12257911481849922
84,1,32,10,16,0.8101460626708619,0.7926190476190476,0.12348890227875065
85,1,32,12,16,0.8104381915790989,0.7904558404558404,0.12297280663300753
86,1,32,14,16,0.8102735216395841,0.7906752789195537,0.12300497722604264
87,1,32,16,16,0.8091808534533019,0.788,0.12323722954577496
88,1,32,18,16,0.8093512408812654,0.7927710843373494,0.12383801228545809
89,1,32,20,16,0.8097468386495901,0.7901709401709403,0.12342703424337313
90,1,36,2,18,0.8114249052625637,0.7927710843373494,0.12227521268869299
91,1,36,4,18,0.8108724228887138,0.7914210217263652,0.12291680430656314
92,1,36,6,18,0.810417690707828,0.7923809523809524,0.12262427036115092
93,1,36,8,18,0.8101202131693647,0.7899838075410595,0.12289904613930241
94,1,36,10,18,0.8101154086455307,0.791527874161462,0.12319789145824814
95,1,36,12,18,0.8101235588962132,0.792,0.12298608318861341
96,1,36,14,18,0.8099258696354105,0.792190252495596,0.1230818825504894
97,1,36,16,18,0.810938222192909,0.7915662650602411,0.1223981060042042
98,1,36,18,18,0.8106535349810035,0.7906811509101586,0.12262443062659048
99,1,36,20,18,0.8104940657105528,0.791566265060241,0.12335055257324458
100,1,40,2,20,0.8100301750228457,0.7914151497357604,0.12289201216383971
101,1,40,4,20,0.8104550301025222,0.7929594832648268,0.12270801195085813
102,1,40,6,20,0.8107408691781263,0.7922681008558871,0.12270575932411187
103,1,40,8,20,0.8105639485795703,0.7898268398268398,0.12319817219584159
104,1,40,10,20,0.8115332132992013,0.7937832523710386,0.1220170645172823
105,1,40,12,20,0.8108704169515374,0.7927710843373494,0.12249279489864894
106,1,40,14,20,0.810724572044349,0.7892262317834836,0.12346681893239239
107,1,40,16,20,0.8099931917272841,0.7899119201409277,0.1227643042747938
108,1,40,18,20,0.8118448891955791,0.7944862008220788,0.12218181549654825
109,1,40,20,20,0.8117806779210972,0.7937832523710386,0.12280345444377753
110,1,44,2,22,0.8120114312276402,0.7939759036144578,0.12218078944818314
111,1,44,4,22,0.811160163803713,0.7938095238095239,0.1225898177759616
112,1,44,6,22,0.8115634562409622,0.7927710843373494,0.12282817508918338
113,1,44,8,22,0.811388136926254,0.7914151497357604,0.12219426363908582
114,1,44,10,22,0.8113452262349019,0.7929477392836171,0.12251318901800713
115,1,44,12,22,0.8108696286484796,0.7903133903133903,0.12295057471205123
116,1,44,14,22,0.8110893473059577,0.7939759036144578,0.12225721518441346
117,1,44,16,22,0.8102966914354782,0.7927710843373494,0.1232775590751471
118,1,44,18,22,0.8109030895143666,0.7921785085143863,0.12268435152158651
119,1,44,20,22,0.8112387322531314,0.7930952380952381,0.12299910824992935
120,1,48,2,24,0.8111203337299847,0.7906752789195537,0.1219619400735405
121,1,48,4,24,0.811533528886802,0.7915163081193615,0.12261180177804762
122,1,48,6,24,0.8111709438915712,0.7929770992366413,0.12247659724610083
123,1,48,8,24,0.8117946671249513,0.7906811509101586,0.12238080494144316
124,1,48,10,24,0.8118959061903777,0.7929536112742219,0.12228822239731031
125,1,48,12,24,0.8113976589072533,0.7922738838769373,0.12260617566580995
126,1,48,14,24,0.8119893536135047,0.7944444444444445,0.12228811971752757
127,1,48,16,24,0.8119073444702735,0.7937287140340575,0.12224795617414362
128,1,48,18,24,0.8117249322383252,0.7927710843373494,0.12243612714993636
129,1,48,20,24,0.8116684912448285,0.7929653552554317,0.12207218759286431
130,1,52,2,26,0.8112814999593313,0.7929712272460364,0.12250303462758491
131,1,52,4,26,0.8119468068322147,0.796,0.12249694126863159
132,1,52,6,26,0.8125094128410345,0.7943019943019942,0.12181105008567443
133,1,52,8,26,0.8121878820774466,0.7930198935924127,0.12207227945046555
134,1,52,10,26,0.8122164707609565,0.7930430256766134,0.122307470809326
135,1,52,12,26,0.8112914195548564,0.7937890353920889,0.12239816916267916
136,1,52,14,26,0.8119669332178192,0.7941595441595442,0.1220645001493035
137,1,52,16,26,0.8117781147094706,0.7921843805049912,0.1224283562354075
138,1,52,18,26,0.8117946124073534,0.7941595441595442,0.1223136958422671
139,1,52,20,26,0.8120335655319315,0.7930372426555633,0.12198789142330069
140,1,56,2,28,0.8125418895631118,0.7940170940170941,0.12159212843360422
141,1,56,4,28,0.8119704703300337,0.7906811509101586,0.12212209147815492
142,1,56,6,28,0.8120532886136518,0.7944685848502642,0.12235569242658752
143,1,56,8,28,0.8124515978157985,0.7940170940170941,0.1216537998060383
144,1,56,10,28,0.8122530703107588,0.7951807228915663,0.12223178410334604
145,1,56,12,28,0.8112909626757892,0.7943019943019942,0.12269618492044757
146,1,56,14,28,0.8115763277668282,0.7930952380952381,0.12238581675375577
147,1,56,16,28,0.8116144606714586,0.7930952380952381,0.12194213371481728
148,1,56,18,28,0.8119453370777919,0.7939759036144578,0.12266315255694918
149,1,56,20,28,0.8117848506930433,0.7927710843373494,0.12231261066374657
150,1,60,2,30,0.8115588907719657,0.7928571428571429,0.12291632636634456
151,1,60,4,30,0.8124234447911696,0.7937345860246624,0.12205689613291594
152,1,60,6,30,0.8123924173686592,0.7940170940170941,0.12198576397908235
153,1,60,8,30,0.811864197623646,0.7933333333333333,0.12233122074649916
154,1,60,10,30,0.8127233570945575,0.7939759036144578,0.12187368502593868
155,1,60,12,30,0.8119692304394901,0.7941558441558441,0.12229298597524811
156,1,60,14,30,0.8122966372741519,0.7939759036144578,0.12237495426388206
157,1,60,16,30,0.8120153342058133,0.7930952380952381,0.12230532274823692
158,1,60,18,30,0.8121146170861827,0.7930952380952381,0.12177139920692742
159,1,60,20,30,0.8127073861537747,0.791566265060241,0.1217681461711522
160,2,5,2,1,0.7883582589789483,0.7677745155607751,0.1303403787995297
161,2,5,4,1,0.7875481283038137,0.7662337662337662,0.13131579162031068
162,2,5,6,1,0.7882819728146133,0.7643874643874644,0.13030884789441488
163,2,5,8,1,0.7867067310094681,0.7613043478260869,0.13058476363992214
164,2,5,10,1,0.7854231674657647,0.764697592483852,0.13093245963918793
165,2,5,12,1,0.7851779824923386,0.7655072463768116,0.1315861402619048
166,2,5,14,1,0.7855370769883593,0.7614718614718614,0.13168983077663007
167,2,5,16,1,0.7834954113107662,0.766017316017316,0.13192455814673731
168,2,5,18,1,0.7859483713076902,0.7657240342354846,0.13028340128992988
169,2,5,20,1,0.7830187551615291,0.763960113960114,0.1327962573856415
170,2,9,2,2,0.7982576782748455,0.7789173789173789,0.1273343785949474
171,2,9,4,2,0.7986104950162259,0.7795180722891566,0.12761972786302125
172,2,9,6,2,0.7985592591242693,0.7799706400469759,0.1275673240265363
173,2,9,8,2,0.7981304384378313,0.7785714285714286,0.12788339246627092
174,2,9,10,2,0.7970614579790544,0.78008658008658,0.1273251778261955
175,2,9,12,2,0.7978912310515542,0.7807228915662651,0.12727442801090796
176,2,9,14,2,0.7967826624852647,0.78008658008658,0.1279844021979099
177,2,9,16,2,0.7973805791938688,0.7787749287749287,0.12752193729889214
178,2,9,18,2,0.7982877002139382,0.7777040516735173,0.12666060181041972
179,2,9,20,2,0.7979678105307317,0.7796536796536796,0.1270754132487662
180,2,17,2,4,0.8055082232601539,0.7847096923432801,0.12543244789441693
181,2,17,4,4,0.8057214995490232,0.7875983558426307,0.12482942449356835
182,2,17,6,4,0.8052323327195783,0.7848484848484849,0.12480605547066945
183,2,17,8,4,0.8046269287893338,0.7866096866096866,0.12555676249394038
184,2,17,10,4,0.8059044884914872,0.7860833822665885,0.12418446491333
185,2,17,12,4,0.8050998733053015,0.7891566265060241,0.1249262877931575
186,2,17,14,4,0.8057007228849111,0.7867469879518072,0.12475586432600451
187,2,17,16,4,0.8055048723029706,0.7879518072289157,0.12474086502950578
188,2,17,18,4,0.8041564080317615,0.7883734586024662,0.125885103839514
189,2,17,20,4,0.8050840948984953,0.7843373493975904,0.1250320964086567
190,2,25,2,6,0.807712731837679,0.7876042278332355,0.12395795182372987
191,2,25,4,6,0.8091613324515403,0.791566265060241,0.12273742286283107
192,2,25,6,6,0.8087328924663887,0.7896103896103897,0.12303181996200152
193,2,25,8,6,0.8086644960901535,0.791566265060241,0.12329747914166526
194,2,25,10,6,0.807692255915129,0.7879518072289157,0.12373373466165052
195,2,25,12,6,0.808381551303892,0.7899001761597182,0.1233652314819593
196,2,25,14,6,0.8077680931491397,0.7893939393939393,0.12391041548420192
197,2,25,16,6,0.8088785892703647,0.791566265060241,0.12333586204106989
198,2,25,18,6,0.808249790947532,0.7899722414989591,0.12435366395664256
199,2,25,20,6,0.8081622877772484,0.7879518072289157,0.12408021824008905
200,2,33,2,8,0.8099795017606372,0.7901709401709403,0.12330712902010964
201,2,33,4,8,0.8107103786296839,0.7901709401709403,0.12262622599510849
202,2,33,6,8,0.8101382558861218,0.7906752789195537,0.12253008086383668
203,2,33,8,8,0.8099417763161457,0.7922019964768057,0.12302675579430795
204,2,33,10,8,0.8101286607661812,0.7941558441558441,0.12301076748182459
205,2,33,12,8,0.8107442907439248,0.7922507517927365,0.12249497890216446
206,2,33,14,8,0.8104002978121819,0.7906635349383441,0.12288304876781184
207,2,33,16,8,0.8097415537799699,0.7928571428571429,0.12307412705690833
208,2,33,18,8,0.8089076010084716,0.7907182512144344,0.1234931726626968
209,2,33,20,8,0.8099660151587422,0.791566265060241,0.12319285531859923
210,2,41,2,10,0.8106976020174367,0.7922623178348369,0.12288809532265135
211,2,41,4,10,0.8108399483625439,0.7937716863289382,0.1227026512112775
212,2,41,6,10,0.8108419961020955,0.7927710843373494,0.12271893589598845
213,2,41,8,10,0.8111314737611452,0.7928571428571429,0.1227995055408952
214,2,41,10,10,0.8112267388560148,0.7928571428571429,0.12259339610111818
215,2,41,12,10,0.8108595019356184,0.7935714285714285,0.12283691895555902
216,2,41,14,10,0.8109621513969937,0.7898943041691133,0.12204939710515579
217,2,41,16,10,0.8101159989021073,0.7897435897435897,0.12326734328824923
218,2,41,18,10,0.811219185854136,0.791566265060241,0.12231748397359431
219,2,41,20,10,0.8105507556527131,0.793031459634513,0.12293837760044572
220,2,49,2,12,0.8114066485254391,0.7914445096887845,0.12259811401269242
221,2,49,4,12,0.8115296604363575,0.7915105250983114,0.12220968620259573
222,2,49,6,12,0.8113000462130867,0.7906752789195537,0.12272349370300326
223,2,49,8,12,0.8113436728923612,0.7941595441595442,0.12230940979149611
224,2,49,10,12,0.8118063205466861,0.7935714285714286,0.12166096593252089
225,2,49,12,12,0.8126381025064511,0.7944979448032883,0.12157932125416736
226,2,49,14,12,0.8115118225008441,0.791566265060241,0.12214171073958371
227,2,49,16,12,0.8110813643761002,0.7929418672930123,0.12270977281967557
228,2,49,18,12,0.8115400498905175,0.7938006014341892,0.12249057120953422
229,2,49,20,12,0.812527696862747,0.7952260716382854,0.12158003258180379
230,2,57,2,14,0.8114244296038543,0.7929594832648268,0.12263285589645122
231,2,57,4,14,0.8117329002043177,0.7921428571428571,0.12233380772898184
232,2,57,6,14,0.8119014087120602,0.7928571428571429,0.12270517918914588
233,2,57,8,14,0.8125202815430665,0.7940170940170941,0.12160851963181037
234,2,57,10,14,0.8133174183560438,0.7930952380952381,0.12161449574657822
235,2,57,12,14,0.8122774214919942,0.791566265060241,0.12178561882338457
236,2,57,14,14,0.8123877733705879,0.7941595441595442,0.12175740929616022
237,2,57,16,14,0.8122993283186737,0.7937228420434528,0.1220117021457297
238,2,57,18,14,0.8122394692617408,0.7922854499190377,0.12187658278016512
239,2,57,20,14,0.8118081827069952,0.7929653552554317,0.12238565285342577
240,2,65,2,16,0.8126206515657945,0.7930952380952381,0.12175463330141262
241,2,65,4,16,0.8120730235549054,0.7937169700528479,0.12239714307149221
242,2,65,6,16,0.8130050116191336,0.791566265060241,0.12183701331677976
243,2,65,8,16,0.8128398008668193,0.7930952380952381,0.12187950353336156
244,2,65,10,16,0.8129608007775171,0.7930372426555633,0.12199655404567744
245,2,65,12,16,0.812421829385226,0.793054591718714,0.12181742761629175
246,2,65,14,16,0.8124735415898161,0.7930952380952381,0.1224908541833612
247,2,65,16,16,0.8120326841628015,0.7915163081193615,0.12175705319109072
248,2,65,18,16,0.8125258445503758,0.7944862008220787,0.12178587960123773
249,2,65,20,16,0.8115513913047951,0.7937228420434528,0.12267415100618455
250,2,73,2,18,0.8130215415479766,0.7952926208651399,0.12179331335626763
251,2,73,4,18,0.8130094195119307,0.7960070463887258,0.12164159900353803
252,2,73,6,18,0.8132739636733797,0.7929653552554317,0.12148054525444998
253,2,73,8,18,0.8125884767986196,0.7937774693499884,0.12190742971640948
254,2,73,10,18,0.8126564387563586,0.796001174398121,0.12224074450896873
255,2,73,12,18,0.8124146003633038,0.7939759036144578,0.12188366416293893
256,2,73,14,18,0.8130154143794298,0.7941595441595442,0.1216081359114972
257,2,73,16,18,0.8130032517425962,0.7944920728126835,0.12152793899028135
258,2,73,18,18,0.8126893530029802,0.7939759036144578,0.1220398358398058
259,2,73,20,18,0.8127160842439624,0.7945928753180661,0.12198470243690906
260,2,81,2,20,0.8126130402071043,0.7939759036144578,0.12148371643276858
261,2,81,4,20,0.8131818110865359,0.7941558441558441,0.12153108002305348
262,2,81,6,20,0.8132882880658924,0.796,0.1216938588930189
263,2,81,8,20,0.8127532779067242,0.7939759036144578,0.12219114868673503
264,2,81,10,20,0.8138584173707119,0.7939759036144578,0.1211198298954447
265,2,81,12,20,0.8128786783879971,0.7941595441595442,0.12213927195667751
266,2,81,14,20,0.8129985713177841,0.7939759036144578,0.12214322509595231
267,2,81,16,20,0.8123914305352554,0.7921961244862008,0.12211123743711762
268,2,81,18,20,0.8130929450541253,0.7967704051673518,0.12177001019593066
269,2,81,20,20,0.8131172554130037,0.7943722943722944,0.1218182201476611
270,2,89,2,22,0.813372451230492,0.7952436876100999,0.12128626870331927
271,2,89,4,22,0.8130312489257752,0.7933333333333333,0.12125392425642512
272,2,89,6,22,0.8127920516149514,0.7929477392836171,0.12230761181251058
273,2,89,8,22,0.8129319246821929,0.7937832523710386,0.12148087138585399
274,2,89,10,22,0.8133818307095257,0.7953099699282905,0.12154688533775655
275,2,89,12,22,0.8128731316808522,0.7952554315913094,0.12191247287516847
276,2,89,14,22,0.8123771584825533,0.7930952380952381,0.1221357305341373
277,2,89,16,22,0.8123514516296599,0.792,0.1222683223888673
278,2,89,18,22,0.8132782321712937,0.7921726365237816,0.1212139256173361
279,2,89,20,22,0.8133384094672432,0.7951807228915663,0.12142705431632257
280,2,97,2,24,0.8130172601110153,0.7960501966227157,0.12109331539948721
281,2,97,4,24,0.8137939084667465,0.7953041869072404,0.12135785443933653
282,2,97,6,24,0.8133285725421301,0.7951807228915663,0.12145238065793562
283,2,97,8,24,0.8136765565778823,0.7939759036144578,0.12145434161883711
284,2,97,10,24,0.8137433267695344,0.7944862008220787,0.12095314020570687
285,2,97,12,24,0.8134334648219423,0.7944920728126835,0.12156701822154152
286,2,97,14,24,0.8136579170463677,0.7951807228915663,0.12125133737108629
287,2,97,16,24,0.8131828183949305,0.7933333333333333,0.12190384756891051
288,2,97,18,24,0.8135171254017106,0.7941558441558441,0.12139194684347888
289,2,97,20,24,0.8136319262120011,0.7937287140340575,0.12125273149457295
290,2,105,2,26,0.8131366583959951,0.7941558441558441,0.12162286218469731
291,2,105,4,26,0.81355648710679,0.7933333333333333,0.12184451671512878
292,2,105,6,26,0.8138778196574462,0.7945408281286144,0.1211972312581592
293,2,105,8,26,0.8136625268444412,0.7975903614457831,0.12183479431727157
294,2,105,10,26,0.8136607652874371,0.7933333333333333,0.12140411103324988
295,2,105,12,26,0.8133332799265373,0.7939759036144578,0.12144679875323393
296,2,105,14,26,0.8136563435571652,0.7960675456858664,0.12125403614245289
297,2,105,16,26,0.8142053218463016,0.7975769141799676,0.12144795036778314
298,2,105,18,26,0.8134172998203578,0.7951807228915663,0.12150046668045435
299,2,105,20,26,0.8133438509881874,0.7929536112742219,0.12135519838815173
300,2,113,2,28,0.8136464508554875,0.7941595441595442,0.121376779439776
301,2,113,4,28,0.8137072069859586,0.7953041869072404,0.12152031961719821
302,2,113,6,28,0.8136963351206353,0.7945581771917649,0.12150078310332371
303,2,113,8,28,0.814182546586839,0.7952554315913094,0.12096797514211302
304,2,113,10,28,0.813901637041926,0.7952495596007046,0.12096579697132158
305,2,113,12,28,0.8131913078150234,0.7960187903699354,0.12174977650821929
306,2,113,14,28,0.8139400674631967,0.7952868378440897,0.12137773708494247
307,2,113,16,28,0.8136542984888273,0.7951807228915663,0.12101170748311316
308,2,113,18,28,0.8137806536867056,0.795237815619495,0.12173269606826528
309,2,113,20,28,0.8136667372648292,0.7963855421686746,0.12155983898059931
310,2,121,2,30,0.8135740072737427,0.7937832523710386,0.1214231043500122
311,2,121,4,30,0.8139519825851635,0.796,0.12184734899473314
312,2,121,6,30,0.8136948699521266,0.796,0.12127956212914351
313,2,121,8,30,0.8136677321646876,0.793939393939394,0.12122727724635418
314,2,121,10,30,0.8143288183779613,0.7963855421686747,0.12106363165288793
315,2,121,12,30,0.8136535651055188,0.7938095238095239,0.12167602810776522
316,2,121,14,30,0.8140802311483517,0.7975942632431182,0.12156343117277052
317,2,121,16,30,0.8138824654286461,0.7944803288314739,0.12170591450726778
318,2,121,18,30,0.8139065479841889,0.7967762771579565,0.12103532014138177
319,2,121,20,30,0.813581007681475,0.7933333333333333,0.12178329436047786
320,3,8,2,1,0.797858889552602,0.7771050196622715,0.12762715702431499
321,3,8,4,1,0.7981097440455341,0.7801353226925746,0.1272908024734627
322,3,8,6,1,0.797750572510318,0.7796296296296296,0.12729992482429983
323,3,8,8,1,0.7969112340967673,0.7792270531400967,0.12742918903111589
324,3,8,10,1,0.7970919937171366,0.7815325895478568,0.12725999102524943
325,3,8,12,1,0.7974439031958204,0.7799530240751615,0.12595727009667174
326,3,8,14,1,0.796761289252878,0.7793447293447293,0.12751284093192863
327,3,8,16,1,0.795972539352431,0.7807457428068115,0.12753549381717816
328,3,8,18,1,0.7969334293486603,0.7810628019323671,0.12704122470999818
329,3,8,20,1,0.7957660937356748,0.7759036144578313,0.12805449487128576
330,3,14,2,2,0.804441963707242,0.7876277157956547,0.12527848850899798
331,3,14,4,2,0.804458577534192,0.7868945868945869,0.12552366266370565
332,3,14,6,2,0.8049087927065114,0.7868526130358191,0.12434694488571577
333,3,14,8,2,0.8048435715013653,0.7860892542571932,0.12495070187030005
334,3,14,10,2,0.8039732649741266,0.7852965355255431,0.12446945800301137
335,3,14,12,2,0.8025521379040569,0.7837991779213154,0.1257808255654317
336,3,14,14,2,0.8046947379884852,0.7862132778163312,0.1250835549935222
337,3,14,16,2,0.8038672966718539,0.7855421686746988,0.12514545344202724
338,3,14,18,2,0.8042134386807893,0.7843373493975904,0.12482130763861003
339,3,14,20,2,0.8042573964708293,0.7862364099005321,0.12468947153673725
340,3,26,2,4,0.8087415208503209,0.7884917881101087,0.12372548732322916
341,3,26,4,4,0.808953653671982,0.791566265060241,0.12348685481705172
342,3,26,6,4,0.8093720827960554,0.7903614457831326,0.12325561573927929
343,3,26,8,4,0.8084908150023752,0.7903133903133903,0.12427689171825393
344,3,26,10,4,0.809225815515454,0.7906517909571344,0.12332573969540113
345,3,26,12,4,0.8080087994168196,0.7893939393939393,0.12363838350534749
346,3,26,14,4,0.8089330344771172,0.790764515382836,0.12311465326469567
347,3,26,16,4,0.8085402523877331,0.7915336571825121,0.12313926178337795
348,3,26,18,4,0.8081329224630999,0.7899001761597181,0.12370173003244163
349,3,26,20,4,0.8088640134140773,0.789906048150323,0.12365849830040071
350,3,38,2,6,0.8102190099986735,0.790764515382836,0.12265715290097272
351,3,38,4,6,0.8107117219189265,0.791566265060241,0.12241277457999984
352,3,38,6,6,0.8105323651155247,0.7935714285714286,0.12228598450696143
353,3,38,8,6,0.8106055509784312,0.791566265060241,0.1230315058295127
354,3,38,10,6,0.810217708876048,0.7927710843373494,0.12259138871324193
355,3,38,12,6,0.8104155650048512,0.7904558404558404,0.12275820256468946
356,3,38,14,6,0.8098508416791307,0.7945176960444136,0.12306732809330435
357,3,38,16,6,0.8109179776578672,0.7930488086976636,0.12274612588473056
358,3,38,18,6,0.8102198937246129,0.7891566265060241,0.12334876678155379
359,3,38,20,6,0.8106235141576191,0.7898268398268399,0.1226802572365207
360,3,50,2,8,0.8114459483524699,0.7929770992366413,0.12259078726411007
361,3,50,4,8,0.8115113765926631,0.7921961244862008,0.12238969542139387
362,3,50,6,8,0.8119961430606863,0.7927710843373494,0.12181514587346128
363,3,50,8,8,0.8122364464040005,0.7941558441558442,0.12174364366535409
364,3,50,10,8,0.8123765804499378,0.7944685848502642,0.12206167708505637
365,3,50,12,8,0.8123834094948537,0.7967821491485614,0.12198201601393482
366,3,50,14,8,0.8118034828896301,0.7928571428571429,0.12240143516314539
367,3,50,16,8,0.8121500650475543,0.7939759036144578,0.12191094777092877
368,3,50,18,8,0.8118139434201287,0.7929418672930123,0.12206830935880379
369,3,50,20,8,0.8119173350908913,0.7922507517927365,0.12221188313799873
370,3,62,2,10,0.8124569853511141,0.7951807228915663,0.12186035951447097
371,3,62,4,10,0.8126456572405096,0.7945408281286144,0.12175674749189679
372,3,62,6,10,0.8127313607769375,0.7945096887844979,0.12212887672763195
373,3,62,8,10,0.812540705830568,0.7951807228915663,0.12228061111765591
374,3,62,10,10,0.8124250695327985,0.7944920728126835,0.12236523967547554
375,3,62,12,10,0.812910814556338,0.7952613035819143,0.12191495040647331
376,3,62,14,10,0.8124146765196746,0.7929477392836171,0.12197192484495842
377,3,62,16,10,0.811909325738784,0.792,0.12225119081529708
378,3,62,18,10,0.8124291500960794,0.7937228420434528,0.12142958603203455
