"","X","valores_combo","niveles","valor_split","num_models","num_models2","niveles_mediana","niveles_std"
"1",1,"alpha10-split1","18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,54,57,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"2",2,"alpha10-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,105,126,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"3",3,"alpha10-split12","5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"3, 5, 6, 7, 8, 9, 10, 11, 4, 12","5, 6, 7, 8, 9, 10, 11, 12"
"4",4,"alpha10-split14","3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11","3, 4, 5, 6, 7, 8, 9, 10, 11"
"5",5,"alpha10-split16","4, 5, 6, 7, 8, 9, 10",16,132,165,"3, 4, 5, 6, 7, 8, 9, 10","5, 6, 7, 8, 9, 10"
"6",6,"alpha10-split18","5, 6, 7, 8, 9",18,185,222,"3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9"
"7",7,"alpha10-split2","18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,90,95,"12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 60","8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 9, 10, 60"
"8",8,"alpha10-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8"
"9",9,"alpha10-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7","3, 4, 5, 6, 7"
"10",10,"alpha10-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7","2, 3, 4, 5, 6, 7"
"11",11,"alpha10-split26","3, 4, 5, 6",26,159,212,"3, 4, 5, 6","3, 4, 5, 6"
"12",12,"alpha10-split28","3, 4, 5, 6",28,171,228,"2, 3, 4, 5, 6","2, 3, 4, 5, 6"
"13",13,"alpha10-split30","3, 4, 5",30,183,244,"2, 3, 4, 5","2, 3, 4, 5"
"14",14,"alpha10-split4","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,108,117,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","5, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 6, 7, 8, 9, 12, 17, 34"
