dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
bands.csv,2,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",auc,0.5636645962732919,"[array([[21,  2],
       [11,  3]])]"
bands.csv,3,2,base,None,acc,0.7297297297297297,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,2,base,None,f1,0.718018018018018,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,2,base,None,auc,0.6847826086956522,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,3,2,wagging,None,acc,0.6486486486486487,"[array([[23,  0],
       [13,  1]])]"
bands.csv,3,2,wagging,None,f1,0.5351045961215452,"[array([[23,  0],
       [13,  1]])]"
bands.csv,3,2,wagging,None,auc,0.5357142857142857,"[array([[23,  0],
       [13,  1]])]"
bands.csv,3,2,AdaBoost,None,acc,0.7837837837837838,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,2,AdaBoost,None,f1,0.7799722799722799,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,2,AdaBoost,None,auc,0.7562111801242235,"[array([[20,  3],
       [ 5,  9]])]"
bands.csv,3,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",acc,0.6486486486486487,"[array([[21,  2],
       [11,  3]])]"
bands.csv,3,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 2.0]",f1,0.6145431145431144,"[array([[22,  1],
       [11,  3]])]"
bands.csv,3,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 2.0]",auc,0.5481366459627329,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.6756756756756757,"[array([[21,  2],
       [10,  4]])]"
bands.csv,3,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.6352048643070315,"[array([[23,  0],
       [11,  3]])]"
bands.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",auc,0.6133540372670807,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,4,2,base,None,acc,0.6486486486486487,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,2,base,None,f1,0.638323221180364,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,2,base,None,auc,0.6055900621118013,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,2,wagging,None,acc,0.6756756756756757,"[array([[19,  4],
       [ 8,  6]])]"
bands.csv,4,2,wagging,None,f1,0.6616216216216216,"[array([[19,  4],
       [ 8,  6]])]"
bands.csv,4,2,wagging,None,auc,0.6273291925465838,"[array([[19,  4],
       [ 8,  6]])]"
bands.csv,4,2,AdaBoost,None,acc,0.6216216216216216,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,4,2,AdaBoost,None,f1,0.6052252252252251,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,4,2,AdaBoost,None,auc,0.5698757763975156,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,4,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 1.0]",acc,0.6756756756756757,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,4,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",f1,0.638323221180364,"[array([[18,  5],
       [ 8,  6]])]"
bands.csv,4,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.5760869565217391,"[array([[15,  8],
       [ 7,  7]])]"
bands.csv,4,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.7027027027027027,"[array([[19,  4],
       [ 7,  7]])]"
bands.csv,4,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",f1,0.6849611760097694,"[array([[20,  3],
       [ 8,  6]])]"
bands.csv,4,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",auc,0.6708074534161491,"[array([[21,  2],
       [ 8,  6]])]"
bands.csv,5,2,base,None,acc,0.6666666666666666,"[array([[16,  7],
       [ 5,  8]])]"
bands.csv,5,2,base,None,f1,0.670995670995671,"[array([[16,  7],
       [ 5,  8]])]"
bands.csv,5,2,base,None,auc,0.6555183946488294,"[array([[16,  7],
       [ 5,  8]])]"
bands.csv,5,2,wagging,None,acc,0.7777777777777778,"[array([[23,  0],
       [ 8,  5]])]"
bands.csv,5,2,wagging,None,f1,0.7448559670781892,"[array([[23,  0],
       [ 8,  5]])]"
