model,perf_measure,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Grouped_Mixed_Bagging,acc,0.7891870357519212,0.7900329632199861,0.004269668942656043,WineQualityRed_5vs6
Incremental_Mixed_Bagging,acc,0.7891006117151156,0.7881476983576221,0.005368477836714128,WineQualityRed_5vs6
Grouped_Mixed_Bagging,acc,0.9227910052910053,0.9231349206349206,0.004971220510246249,ionosphere
Incremental_Mixed_Bagging,acc,0.9239109347442681,0.9231349206349206,0.004548909478380484,ionosphere
Grouped_Mixed_Bagging,acc,0.9770059134765017,0.9775280112044817,0.0016428472435653946,vehicle2
Incremental_Mixed_Bagging,acc,0.9782633053221288,0.9787254901960784,0.0014201789544731262,vehicle2
Grouped_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Incremental_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Grouped_Mixed_Bagging,acc,0.7600184172552594,0.7610304169514697,0.006331146260020816,pima
Incremental_Mixed_Bagging,acc,0.761244019138756,0.761056049213944,0.0048397649792607305,pima
Grouped_Mixed_Bagging,acc,0.6598478197249049,0.6583955223880598,0.007717241672688102,profb
Incremental_Mixed_Bagging,acc,0.6644815139986343,0.6672519754170325,0.007219547467584312,profb
Grouped_Mixed_Bagging,acc,0.8613395863395863,0.8595238095238095,0.006076563666047075,glass0
Incremental_Mixed_Bagging,acc,0.8628427128427129,0.864069264069264,0.006394284804983661,glass0
Grouped_Mixed_Bagging,acc,0.8132795188350744,0.8163105413105414,0.008606928606076494,spectfheart
Incremental_Mixed_Bagging,acc,0.8163975941753719,0.8164529914529914,0.005775592287856993,spectfheart
Grouped_Mixed_Bagging,acc,0.6180291005291005,0.6167226890756303,0.003970203692654474,contraceptive_LS
Incremental_Mixed_Bagging,acc,0.6247727980080922,0.6249719887955182,0.0057970466952395674,contraceptive_LS
Grouped_Mixed_Bagging,acc,0.9651576858813701,0.9657424812030075,0.0034357840729235946,wdbc
Incremental_Mixed_Bagging,acc,0.9639793929267613,0.963095238095238,0.0038295634716804033,wdbc
Grouped_Mixed_Bagging,acc,0.9452757599293372,0.94545013249269,0.001343827932923637,sylvine
Incremental_Mixed_Bagging,acc,0.9455148347817848,0.9461329647904484,0.0018720811242034178,sylvine
Grouped_Mixed_Bagging,acc,0.8028684674104521,0.8032941867293011,0.003776180781573804,titanic
Incremental_Mixed_Bagging,acc,0.8068209695308932,0.8067469172049325,0.0021097331357321065,titanic
Grouped_Mixed_Bagging,acc,0.5416666666666666,0.5355555555555556,0.015392469086379973,teaching_assistant_LM
Incremental_Mixed_Bagging,acc,0.5615432098765433,0.5555555555555556,0.02534336141645573,teaching_assistant_LM
Grouped_Mixed_Bagging,acc,0.9553324131585001,0.954223602484472,0.0021128424175849135,breast-w
Incremental_Mixed_Bagging,acc,0.9570818955601563,0.9570807453416148,0.0014711790552198,breast-w
Grouped_Mixed_Bagging,acc,0.9160590622456508,0.9158963168343943,0.0016819602889160865,phoneme
