model,perf_measure,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Grouped_Mixed_Bagging,acc,0.7881149786332591,0.790030071709461,0.006249329076071486,WineQualityRed_5vs6
Incremental_Mixed_Bagging,acc,0.788352995604904,0.7870171177423086,0.006151347778769459,WineQualityRed_5vs6
Grouped_Mixed_Bagging,acc,0.9225104427736007,0.923095238095238,0.004983540735351542,ionosphere
Incremental_Mixed_Bagging,acc,0.9240183792815371,0.9231746031746032,0.004445484456164013,ionosphere
Grouped_Mixed_Bagging,acc,0.9767838714433141,0.9775210084033612,0.0018670179933734106,vehicle2
Incremental_Mixed_Bagging,acc,0.9782242370632462,0.9787254901960784,0.001390632248970945,vehicle2
Grouped_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Incremental_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Grouped_Mixed_Bagging,acc,0.7590117638594093,0.7604066985645933,0.007557130858867828,pima
Incremental_Mixed_Bagging,acc,0.7608617836457171,0.7604066985645933,0.0049897900445562745,pima
Grouped_Mixed_Bagging,acc,0.6600457464996996,0.6591527655838455,0.007549270665241056,profb
Incremental_Mixed_Bagging,acc,0.6642807633658334,0.6665057067603161,0.007070496584363333,profb
Grouped_Mixed_Bagging,acc,0.8600022784233311,0.8595238095238095,0.008297753591895067,glass0
Incremental_Mixed_Bagging,acc,0.8621667805878331,0.864069264069264,0.0068772224615957925,glass0
Grouped_Mixed_Bagging,acc,0.8132478632478634,0.8162393162393162,0.008365569153024515,spectfheart
Incremental_Mixed_Bagging,acc,0.8159919028340081,0.8163817663817664,0.005884844732818648,spectfheart
Grouped_Mixed_Bagging,acc,0.6166777237210673,0.6161484593837535,0.007041660899299324,contraceptive_LS
Incremental_Mixed_Bagging,acc,0.625,0.6255742296918767,0.005720101258858971,contraceptive_LS
Grouped_Mixed_Bagging,acc,0.9644918216594117,0.9648809523809524,0.004424130252004767,wdbc
Incremental_Mixed_Bagging,acc,0.9640235457063712,0.963095238095238,0.003726639658218008,wdbc
Grouped_Mixed_Bagging,acc,0.9452283595272903,0.9453532376949316,0.0013222088984652504,sylvine
Incremental_Mixed_Bagging,acc,0.9454858105378577,0.94593841374269,0.0018237293081414096,sylvine
Grouped_Mixed_Bagging,acc,0.8024288407454337,0.8029125073399882,0.004139988531846174,titanic
Incremental_Mixed_Bagging,acc,0.8062929196155392,0.8067410452143277,0.003082465754069113,titanic
Grouped_Mixed_Bagging,acc,0.5418713450292397,0.5355555555555556,0.01498537298530708,teaching_assistant_LM
Incremental_Mixed_Bagging,acc,0.5633333333333334,0.5555555555555556,0.025835822261622655,teaching_assistant_LM
Grouped_Mixed_Bagging,acc,0.9554233409610984,0.954223602484472,0.002091216582569848,breast-w
Incremental_Mixed_Bagging,acc,0.9570077367331371,0.9570807453416148,0.0014658159015166232,breast-w
Grouped_Mixed_Bagging,acc,0.915616899611938,0.9158044088450742,0.002527147082738348,phoneme
Incremental_Mixed_Bagging,acc,0.9157733314596823,0.9158044088450742,0.002965792353026777,phoneme
Grouped_Mixed_Bagging,acc,0.8068546365914786,0.8078571428571429,0.00982800531679653,sonar
Incremental_Mixed_Bagging,acc,0.8147368421052632,0.8178571428571428,0.016903065481771062,sonar
Grouped_Mixed_Bagging,acc,0.8470887363335876,0.8475362318840579,0.006233586549317105,arrhythmia_cfs
Incremental_Mixed_Bagging,acc,0.8434630053394355,0.8452657004830918,0.009483335731457189,arrhythmia_cfs
Grouped_Mixed_Bagging,acc,0.7113312693498453,0.7128571428571429,0.012371894958067972,bupa
Incremental_Mixed_Bagging,acc,0.7125652366209642,0.7127731092436975,0.007473763551133864,bupa
Grouped_Mixed_Bagging,acc,0.7599606072597762,0.7591592617908407,0.0065245032478931176,diabetes
Incremental_Mixed_Bagging,acc,0.7612692017124151,0.7617566643882434,0.005582539266294221,diabetes
