n_trees,model,accuracy_mean,accuracy_std,Dataset
100,Grouped_Mixed_Bagging,0.6561237928007023,0.0445450398754218,profb
100,Incremental_Mixed_Bagging,0.6754828797190517,0.033134183413588,profb
150,Grouped_Mixed_Bagging,0.6546093064091308,0.0389983505338057,profb
150,Incremental_Mixed_Bagging,0.6532045654082529,0.0272005278584497,profb
200,Grouped_Mixed_Bagging,0.656079894644425,0.0395346775395706,profb
200,Incremental_Mixed_Bagging,0.6694907813871818,0.0498424854943599,profb
20,Grouped_Mixed_Bagging,0.8359307359307359,0.060561379805597,glass0
20,Incremental_Mixed_Bagging,0.85,0.0550335287265912,glass0
30,Grouped_Mixed_Bagging,0.8593073593073592,0.050741561248246,glass0
30,Incremental_Mixed_Bagging,0.8595238095238095,0.0503031420672175,glass0
50,Grouped_Mixed_Bagging,0.8595238095238095,0.0503031420672175,glass0
50,Incremental_Mixed_Bagging,0.8686147186147186,0.0594093525479264,glass0
100,Grouped_Mixed_Bagging,0.869047619047619,0.0662937069813702,glass0
100,Incremental_Mixed_Bagging,0.8638528138528139,0.053570639044619,glass0
150,Grouped_Mixed_Bagging,0.8733766233766234,0.0402394348500027,glass0
150,Incremental_Mixed_Bagging,0.8688311688311687,0.0586167718895236,glass0
200,Grouped_Mixed_Bagging,0.8547619047619047,0.0527480685403711,glass0
200,Incremental_Mixed_Bagging,0.8642857142857142,0.0568847384978494,glass0
20,Grouped_Mixed_Bagging,0.8126780626780628,0.0743149042418404,spectfheart
20,Incremental_Mixed_Bagging,0.8086894586894587,0.082427237643576,spectfheart
30,Grouped_Mixed_Bagging,0.8239316239316239,0.0496658912866672,spectfheart
30,Incremental_Mixed_Bagging,0.8049857549857549,0.0499386578545835,spectfheart
50,Grouped_Mixed_Bagging,0.7975783475783476,0.0476561434516389,spectfheart
50,Incremental_Mixed_Bagging,0.8126780626780625,0.039191771175734,spectfheart
100,Grouped_Mixed_Bagging,0.8163817663817664,0.0449386990737468,spectfheart
100,Incremental_Mixed_Bagging,0.8276353276353277,0.0440803341510927,spectfheart
150,Grouped_Mixed_Bagging,0.8125356125356126,0.0470933650188768,spectfheart
150,Incremental_Mixed_Bagging,0.8165242165242166,0.0441151018592175,spectfheart
200,Grouped_Mixed_Bagging,0.8162393162393162,0.0489654737948594,spectfheart
200,Incremental_Mixed_Bagging,0.8237891737891738,0.047302838154289,spectfheart
20,Grouped_Mixed_Bagging,0.5923529411764706,0.0379669348525502,contraceptive_LS
20,Incremental_Mixed_Bagging,0.6290896358543417,0.0473072972947738,contraceptive_LS
30,Grouped_Mixed_Bagging,0.6137254901960784,0.0463417327064071,contraceptive_LS
30,Incremental_Mixed_Bagging,0.6219607843137255,0.0401436818729052,contraceptive_LS
50,Grouped_Mixed_Bagging,0.6161484593837535,0.0419777829985207,contraceptive_LS
50,Incremental_Mixed_Bagging,0.6338515406162465,0.0341915895166261,contraceptive_LS
100,Grouped_Mixed_Bagging,0.6232773109243698,0.0459680564996106,contraceptive_LS
100,Incremental_Mixed_Bagging,0.6291176470588236,0.0299140815741107,contraceptive_LS
150,Grouped_Mixed_Bagging,0.6149439775910365,0.0464440566903892,contraceptive_LS
150,Incremental_Mixed_Bagging,0.6231652661064426,0.040026041158766,contraceptive_LS
200,Grouped_Mixed_Bagging,0.6161484593837535,0.0359332218845042,contraceptive_LS
200,Incremental_Mixed_Bagging,0.6243697478991597,0.0500790758792295,contraceptive_LS
20,Grouped_Mixed_Bagging,0.9525062656641604,0.0121128971640824,wdbc
