model,perf_measure,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Grouped_Mixed_Bagging,acc,0.783061806725929,0.7892609299097849,0.020754827527045144,WineQualityRed_5vs6
Incremental_Mixed_Bagging,acc,0.7817956004978907,0.7869939856581077,0.02561826910039934,WineQualityRed_5vs6
Grouped_Mixed_Bagging,acc,0.9198563869992442,0.9203174603174602,0.010266774739286569,ionosphere
Incremental_Mixed_Bagging,acc,0.9223053665910809,0.923095238095238,0.007741919128057624,ionosphere
Grouped_Mixed_Bagging,acc,0.975391489929305,0.9763585434173668,0.006033184412959057,vehicle2
Incremental_Mixed_Bagging,acc,0.9770374816593304,0.9787254901960784,0.005981580414242217,vehicle2
Grouped_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Incremental_Mixed_Bagging,acc,1.0,1.0,0.0,steel-plates-fault
Grouped_Mixed_Bagging,acc,0.7558571754060476,0.7603725222146276,0.013015368530992895,pima
Incremental_Mixed_Bagging,acc,0.7581518731894672,0.7603554340396446,0.0114635184479061,pima
Grouped_Mixed_Bagging,acc,0.658329152556545,0.6591527655838455,0.010733446212972144,profb
Incremental_Mixed_Bagging,acc,0.663298005769472,0.6649473222124671,0.007425150544483254,profb
Grouped_Mixed_Bagging,acc,0.8559472273757988,0.8595238095238095,0.016767365864864627,glass0
Incremental_Mixed_Bagging,acc,0.8596990311276025,0.8638528138528139,0.012628830318766427,glass0
Grouped_Mixed_Bagging,acc,0.808038258038258,0.812962962962963,0.01902525894849644,spectfheart
Incremental_Mixed_Bagging,acc,0.8081874915208248,0.8162393162393162,0.028491261335420296,spectfheart
Grouped_Mixed_Bagging,acc,0.6146605308790183,0.6161484593837535,0.011320451056323236,contraceptive_LS
Incremental_Mixed_Bagging,acc,0.6221208483393357,0.6255742296918767,0.016569657163086893,contraceptive_LS
Grouped_Mixed_Bagging,acc,0.9620106814655687,0.9648809523809524,0.011123859040424476,wdbc
Incremental_Mixed_Bagging,acc,0.9614960019095358,0.963095238095238,0.009677862779570808,wdbc
Grouped_Mixed_Bagging,acc,0.943028614650051,0.9451575444688108,0.008758190493833954,sylvine
Incremental_Mixed_Bagging,acc,0.9426205306379374,0.9455474080165692,0.012441352711749284,sylvine
Grouped_Mixed_Bagging,acc,0.8007284064535973,0.8029125073399882,0.0091516648267116,titanic
Incremental_Mixed_Bagging,acc,0.8050258647205213,0.8067351732237228,0.005999948424403888,titanic
Grouped_Mixed_Bagging,acc,0.5451322751322751,0.5355555555555556,0.02838986993407338,teaching_assistant_LM
Incremental_Mixed_Bagging,acc,0.5607407407407408,0.5555555555555556,0.027467901206823592,teaching_assistant_LM
Grouped_Mixed_Bagging,acc,0.9539485359361135,0.954223602484472,0.005969253762938561,breast-w
Incremental_Mixed_Bagging,acc,0.9549699300009858,0.9570807453416148,0.007118145136441181,breast-w
Grouped_Mixed_Bagging,acc,0.9118895213319119,0.915617512151708,0.014204823531268925,phoneme
Incremental_Mixed_Bagging,acc,0.9123395990832835,0.9152464571780652,0.013845381879468278,phoneme
Grouped_Mixed_Bagging,acc,0.8005328798185941,0.8035714285714286,0.022904824369024926,sonar
Incremental_Mixed_Bagging,acc,0.8090362811791384,0.8176190476190476,0.031127934042010943,sonar
Grouped_Mixed_Bagging,acc,0.8397446514837819,0.8475362318840579,0.030464218350396137,arrhythmia_cfs
Incremental_Mixed_Bagging,acc,0.8376167471819645,0.8452657004830918,0.022928155780757187,arrhythmia_cfs
Grouped_Mixed_Bagging,acc,0.7030612244897959,0.7101680672268909,0.03087557315882804,bupa
Incremental_Mixed_Bagging,acc,0.703765506202481,0.7127731092436975,0.03181460465428405,bupa
Grouped_Mixed_Bagging,acc,0.7575236793281906,0.7578092959671907,0.010703826219965247,diabetes
Incremental_Mixed_Bagging,acc,0.759271555512157,0.7617566643882434,0.010680177130924612,diabetes
Grouped_Mixed_Bagging,acc,0.6219272778885298,0.6237772659531229,0.013837634648773618,hill_valley_without_noise_traintest
Incremental_Mixed_Bagging,acc,0.6169373100818705,0.6204511583796234,0.014994974491134835,hill_valley_without_noise_traintest
Grouped_Mixed_Bagging,acc,0.6906369763446544,0.6924606845513414,0.010660983849618244,saheart
Incremental_Mixed_Bagging,acc,0.6936236289150257,0.6988899167437558,0.020131740882185858,saheart
Grouped_Mixed_Bagging,acc,0.8021438878581736,0.8038961038961039,0.01534980097815861,glass1
Incremental_Mixed_Bagging,acc,0.8037105751391465,0.8082251082251082,0.023141482699274032,glass1
Grouped_Mixed_Bagging,acc,0.990425564068852,0.9905321062096688,0.0018789360774318668,banknote_authentication
Incremental_Mixed_Bagging,acc,0.9908764161541057,0.9912567438908284,0.002530501689704143,banknote_authentication
Grouped_Mixed_Bagging,acc,0.7656996881829097,0.7675448938871757,0.008946138196953689,yeast1
Incremental_Mixed_Bagging,acc,0.7676882779231773,0.7715581353165246,0.012328517802945178,yeast1
Grouped_Mixed_Bagging,acc,0.7961560527825589,0.7975903614457831,0.006302241933806289,mammographic
Incremental_Mixed_Bagging,acc,0.8052782558806655,0.8072289156626506,0.006691642520056432,mammographic
Grouped_Mixed_Bagging,acc,0.82642089093702,0.8258064516129032,0.008929079317599732,vertebral_column
Incremental_Mixed_Bagging,acc,0.8296466973886328,0.8290322580645162,0.008632817838246867,vertebral_column
