method_weights,compl_measure,loss_selected,loss_test_avg_mean,loss_test_avg_median,loss_test_avg_std,train_acc_mean_mean,train_acc_mean_median,train_acc_mean_std,test_acc_mean_mean,test_acc_mean_median,test_acc_mean_std
classic,none,exponential,397927.1226656249,1.3539161253048535,2767161.219760083,0.8420333128391012,0.8289538693104237,0.11227555355128772,0.792358681357908,0.7841138837543644,0.12030984722773232
classic,none,log_loss,0.4247328549864122,0.4704222658122693,0.18490353644424032,0.845742858717309,0.8344647858106005,0.11261337104051246,0.7938106941642599,0.7859873690696242,0.12041353106785152
sample_weight_easy,CLD,exponential,649025.060931973,2.397673349098504,4666633.692230752,0.7983328751168941,0.7916991752960337,0.12074676946416399,0.7697108214509036,0.7643028024606972,0.12247760778380926
sample_weight_easy,CLD,log_loss,0.5219412962838901,0.5664284809037512,0.23302502807317615,0.8057315611976442,0.7984657194482321,0.11969743819392714,0.7731085210967877,0.7604066985645933,0.12103799195016114
sample_weight_easy,DCP,exponential,397930.0401741456,2.2307849937509956,2767160.8002185286,0.8165444218007792,0.7960368869457994,0.11150485872762575,0.7779674457181104,0.7668147641831853,0.12200724208306717
sample_weight_easy,DCP,log_loss,0.5092374324724438,0.581738006233257,0.22137464517950603,0.8222166843328206,0.8030968981872632,0.11116263686495734,0.7790799530211941,0.761637047163363,0.12205777047158335
sample_weight_easy,F1,exponential,361206.1497310951,1.4058145483191893,2511914.3345399224,0.8306007967499098,0.810874141690985,0.1114754617843333,0.7852186942462189,0.777643751133684,0.11947056463510992
sample_weight_easy,F1,log_loss,0.4320631721726382,0.4777091160551393,0.18449514922307392,0.8339081053018534,0.8177093179859967,0.11141200133040903,0.7864503261644045,0.7807359307359307,0.11967907336862181
sample_weight_easy,Hostility,exponential,378401.3052921767,1.8596232198343117,2625986.3976747333,0.821206488129557,0.8020850237989677,0.11260779201538318,0.785931245449425,0.7742653727553057,0.11660564973918869
sample_weight_easy,Hostility,log_loss,0.46398121030041867,0.5217622502872021,0.20133462824013051,0.8259101480895881,0.8073780224525043,0.1118144307791767,0.7872124931840951,0.7759259259259259,0.1165196069218361
sample_weight_easy,LSC,exponential,398521.273335797,1.66396972648991,2790204.7994548343,0.8268426671991135,0.8115891410991039,0.1096303843831762,0.7828674533950695,0.7780952380952381,0.11700622558679354
sample_weight_easy,LSC,log_loss,0.44136784402360774,0.48993703385792164,0.18759328169339418,0.8325694602084998,0.8181285013650335,0.10909208054063003,0.7860338562647723,0.7783194268093597,0.11712494975046348
sample_weight_easy,N1,exponential,398747.2781183183,1.6611024253413782,2772840.0125214634,0.8295063808560028,0.8120729295897879,0.11153316865998043,0.7903813357927532,0.7803030303030303,0.11615211749627084
sample_weight_easy,N1,log_loss,0.4443039949122903,0.4966226289364951,0.1929430535817173,0.8334551187595035,0.8186905347982079,0.11120306490590026,0.7910158727877356,0.7793886767291023,0.11699664360273919
sample_weight_easy,N2,exponential,412671.3303950845,1.6829131229244507,2892538.9823673056,0.8262279698888005,0.8051773667432723,0.1100128805662739,0.7802296005865681,0.7766908212560386,0.12185869252342925
sample_weight_easy,N2,log_loss,0.44776655912824603,0.4921770436741641,0.19139997609289514,0.831941994677449,0.8143809131442243,0.10888614422622452,0.7821510048749939,0.7789369107410344,0.12184301851810178
sample_weight_easy,TD_U,exponential,397928.06256649224,1.4327657466160804,2767161.084595903,0.8210059472369803,0.8019396786093707,0.1171531946493065,0.7743146769189954,0.7694634313055365,0.12817431130757298
sample_weight_easy,TD_U,log_loss,0.44178820414303305,0.48083859957052005,0.18633476149081032,0.8259067147540773,0.808929900882881,0.11693191760137239,0.7759654195250241,0.7708869943769272,0.128754170024735
sample_weight_easy,kDN,exponential,393432.95487471856,1.8634624350160882,2739365.1127540697,0.8231595747074223,0.8065471530139541,0.11085188765675465,0.7839738529180075,0.7738095238095238,0.11710274424843779
sample_weight_easy,kDN,log_loss,0.4651812235754571,0.5215467427991775,0.20144745317067042,0.8285081328623145,0.8113914125377468,0.11013669063323332,0.7868423368011316,0.7744444444444445,0.11702919081350807
sample_weight_easy_x2,CLD,exponential,842674.4192906198,3.137328600827467,6210255.985287878,0.7850461959467223,0.7800697981512922,0.1205742607828827,0.7611350944955787,0.7501761597181444,0.12263680745824888
sample_weight_easy_x2,CLD,log_loss,0.5991456906275393,0.6330999211478041,0.271388521876809,0.7942791235782757,0.7907815516808954,0.11910166764468882,0.7652801814007564,0.7551606288448394,0.12049655019874185
sample_weight_easy_x2,DCP,exponential,397934.227299569,2.9085164743012526,2767160.1982108946,0.8081087787048594,0.7886293007537037,0.1114678257828574,0.7719654970020733,0.759441320515146,0.12372139340670292
sample_weight_easy_x2,DCP,log_loss,0.5754637832469554,0.6439593812781426,0.2612423054629393,0.8149121260305733,0.7976981736063073,0.11084255938957864,0.7733631803459774,0.7560765463450027,0.12386726742637123
sample_weight_easy_x2,F1,exponential,350255.40910634655,1.4392393567824384,2437760.605310355,0.8234904429910759,0.8046227722920263,0.11163848760377197,0.7804887822502348,0.7715604026845637,0.11968743081320908
sample_weight_easy_x2,F1,log_loss,0.4382756289777501,0.47974089885125365,0.1840961543028214,0.8266820505725391,0.8106500824861443,0.111620523772268,0.7818403472307422,0.7714285714285714,0.11976497625027241
sample_weight_easy_x2,Hostility,exponential,365693.2040892361,2.0952776078222,2535404.177708401,0.8146011218379419,0.7992379012832458,0.11179045941685971,0.7825900271138938,0.7661980772719028,0.11643855615531609
sample_weight_easy_x2,Hostility,log_loss,0.4911474019974483,0.5546365865413332,0.21314582057569076,0.8195614365504487,0.8038226658837345,0.11076342449237353,0.7842488727764517,0.7702407944857609,0.11610278510815217
sample_weight_easy_x2,LSC,exponential,391228.29968893644,1.8482321563807251,2742304.2779980926,0.819600870067566,0.8045426122817732,0.10859337099483478,0.778474416482281,0.7712121212121212,0.11638052531764913
sample_weight_easy_x2,LSC,log_loss,0.45980201257090164,0.5088059177169872,0.18956719683470047,0.8260027316122976,0.8115120375807399,0.1077866496620828,0.7825539707792285,0.7719373219373219,0.1163549730096638
sample_weight_easy_x2,N1,exponential,398146.250165784,1.7996029970361,2769052.2424423224,0.8256496481572988,0.806129550876465,0.11116227766137297,0.789478901387846,0.7767149758454106,0.11535817209183925
sample_weight_easy_x2,N1,log_loss,0.45948232774640074,0.5129875340884653,0.2007412523382312,0.8293955616035465,0.8135840965608181,0.11063139026944863,0.7899850214750174,0.7776573553419192,0.11645959800335234
sample_weight_easy_x2,N2,exponential,412791.34856532054,1.809960890809419,2904423.896718994,0.819977824041727,0.8021566312904177,0.10896251886612202,0.7748510986046885,0.7742880464356975,0.12195006016884762
sample_weight_easy_x2,N2,log_loss,0.4638773437315624,0.5075484827313173,0.19463185773441427,0.8260785280069544,0.8097511983135776,0.10735849110751637,0.7770595658451859,0.7733595352016405,0.12216137114623572
sample_weight_easy_x2,TD_U,exponential,397928.8643466921,1.4797028953031426,2767160.9693013052,0.8063337296674513,0.7918116284516868,0.11942248834686747,0.7637717148497044,0.7572177723009517,0.12833510617312682
sample_weight_easy_x2,TD_U,log_loss,0.4564822140757046,0.4964695313724991,0.18811236253621338,0.8114221941076946,0.7973090226947626,0.11916067150873978,0.7656310990905615,0.7614718614718614,0.12901044957110636
sample_weight_easy_x2,kDN,exponential,389742.0283662072,2.0931075574429556,2716610.2033641017,0.8166221262698073,0.8022240510576285,0.11030471082386815,0.7805554696093001,0.772,0.11738277973649641
sample_weight_easy_x2,kDN,log_loss,0.4941374285289167,0.5639931584828064,0.21400989743284618,0.8224000576884082,0.806327962626703,0.10913429200209998,0.7838623122472557,0.7694292549555708,0.11670980117825153
sample_weight_hard,CLD,exponential,275246.67473105155,1.153703049509081,1907580.7981427538,0.7893615553856216,0.8078694486502764,0.16809471011574162,0.7344806789503964,0.7455783910745744,0.16866977871021951
sample_weight_hard,CLD,log_loss,0.4905563435370078,0.5357166056551106,0.2288117219115685,0.7941715784049156,0.8100408166417528,0.16823891523256834,0.7377860901377626,0.7479729729729729,0.16883035098413848
sample_weight_hard,DCP,exponential,397926.90131672163,1.1637967739074637,2767161.2515925406,0.8084596685458181,0.8081602435943551,0.14144615165207264,0.7554818387416887,0.7551435406698565,0.14721639118633917
sample_weight_hard,DCP,log_loss,0.4633689835775846,0.5202859004277842,0.20205688419625864,0.811506559742965,0.8123572689325179,0.14175979631857957,0.7563715808581165,0.7552973342447027,0.1474034632078864
