dataset,n_ensemble,method_weights,compl_measure,loss_selected,loss_train_mean,loss_test_mean,train_acc_mean,test_acc_mean,loss_train_std,loss_test_std,train_acc_std,test_acc_std,conf_matr_train_total,conf_matr_test_total
witmer_census_1980,1,classic,none,log_loss,0.6610414401162623,0.6796593554789586,0.7266666666666667,0.58,0.0037070684075257375,0.02730048407173136,0.10478274604300443,0.19888578520235062,"[[201, 33], [90, 126]]","[[20, 6], [15, 9]]"
witmer_census_1980,2,classic,none,log_loss,0.6355231747362124,0.6615839907046642,0.7711111111111111,0.64,0.006533058678015679,0.04248510998844145,0.033209647068829506,0.1837873166945363,"[[195, 39], [64, 152]]","[[19, 7], [11, 13]]"
witmer_census_1980,3,classic,none,log_loss,0.6139118201027711,0.6476798182343779,0.7755555555555556,0.6599999999999999,0.008466355299863565,0.06206893082022914,0.026604866660841484,0.21186998109427607,"[[188, 46], [55, 161]]","[[19, 7], [10, 14]]"
witmer_census_1980,4,classic,none,log_loss,0.5953577165527865,0.6340257371592649,0.7711111111111111,0.64,0.010193619631510893,0.07809854669816262,0.033209647068829506,0.1837873166945363,"[[195, 39], [64, 152]]","[[19, 7], [11, 13]]"
witmer_census_1980,5,classic,none,log_loss,0.5789534965360601,0.6222847230589882,0.7755555555555556,0.6599999999999999,0.011695444416467365,0.09154552243899187,0.026604866660841484,0.21186998109427607,"[[188, 46], [55, 161]]","[[19, 7], [10, 14]]"
witmer_census_1980,6,classic,none,log_loss,0.5648106360265703,0.616453655006562,0.7822222222222223,0.6799999999999999,0.01283762964186709,0.10472399962267583,0.017529125283258163,0.214993539954628,"[[184, 50], [48, 168]]","[[19, 7], [9, 15]]"
witmer_census_1980,7,classic,none,log_loss,0.5519747939245928,0.6102673391313451,0.7844444444444445,0.6799999999999999,0.013882954695184881,0.11055788438717146,0.014998856838012319,0.214993539954628,"[[185, 49], [48, 168]]","[[19, 7], [9, 15]]"
witmer_census_1980,8,classic,none,log_loss,0.5407025737063316,0.6065308548590553,0.7844444444444445,0.6799999999999999,0.0144850107318472,0.12209276484229184,0.014998856838012319,0.214993539954628,"[[185, 49], [48, 168]]","[[19, 7], [9, 15]]"
witmer_census_1980,9,classic,none,log_loss,0.5304180100814649,0.599511404729859,0.7844444444444445,0.6799999999999999,0.015003562162849838,0.13219749384931814,0.014998856838012319,0.214993539954628,"[[185, 49], [48, 168]]","[[19, 7], [9, 15]]"
witmer_census_1980,10,classic,none,log_loss,0.5208883843977237,0.602160582066777,0.7866666666666667,0.7,0.015263541723835513,0.13679515030479508,0.015537908861780057,0.16996731711975951,"[[186, 48], [48, 168]]","[[19, 7], [8, 16]]"
witmer_census_1980,11,classic,none,log_loss,0.5123011764828975,0.5965663684795286,0.7911111111111111,0.7,0.015655349367383217,0.14333057567018287,0.01147550621098496,0.16996731711975951,"[[187, 47], [47, 169]]","[[19, 7], [8, 16]]"
witmer_census_1980,12,classic,none,log_loss,0.5042472633614451,0.5892429206621888,0.7933333333333333,0.7,0.016001367553833322,0.15073031141573584,0.01499885683801228,0.16996731711975951,"[[188, 46], [47, 169]]","[[19, 7], [8, 16]]"
witmer_census_1980,13,classic,none,log_loss,0.4966134900339464,0.5832552500033905,0.7933333333333333,0.7,0.016258381021516298,0.15216599096209835,0.01499885683801228,0.16996731711975951,"[[188, 46], [47, 169]]","[[19, 7], [8, 16]]"
witmer_census_1980,14,classic,none,log_loss,0.48928149370936486,0.5862662753849862,0.7977777777777778,0.68,0.01666379765077729,0.1600003221150746,0.01639699527494715,0.1932183566158592,"[[188, 46], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,15,classic,none,log_loss,0.4826796340842006,0.5851634476574199,0.8,0.68,0.016820742455984798,0.16428469967982282,0.014814814814814807,0.1932183566158592,"[[189, 45], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,16,classic,none,log_loss,0.4761648896719176,0.5846660750213568,0.8,0.68,0.017323817277572467,0.17120726647792064,0.014814814814814807,0.1932183566158592,"[[189, 45], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,17,classic,none,log_loss,0.47027816694917374,0.5851344269522487,0.8,0.68,0.017661751177475607,0.17408569958536396,0.014814814814814807,0.1932183566158592,"[[189, 45], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,18,classic,none,log_loss,0.4646912689993214,0.5814939086674921,0.8022222222222222,0.68,0.017663929195904166,0.18007114364151744,0.016396995274947125,0.1932183566158592,"[[190, 44], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,19,classic,none,log_loss,0.4591261239169323,0.5798554771853197,0.8022222222222222,0.68,0.017766752505844658,0.1889529981275181,0.016396995274947125,0.1932183566158592,"[[190, 44], [45, 171]]","[[18, 8], [8, 16]]"
witmer_census_1980,20,classic,none,log_loss,0.45386844655701986,0.5771054724470849,0.8044444444444444,0.68,0.017832776208732814,0.18963983952828944,0.01752912528325809,0.1932183566158592,"[[188, 46], [42, 174]]","[[18, 8], [8, 16]]"
witmer_census_1980,21,classic,none,log_loss,0.44859222169249396,0.5799352715789019,0.8022222222222222,0.68,0.0182526217767265,0.19493397990579758,0.016396995274947125,0.1932183566158592,"[[190, 44], [45, 171]]","[[18, 8], [8, 16]]"
