,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_mean_easy_std,accuracy_mean_hard_std,accuracy_mean_combo_std,accuracy_mean_combo_extreme_std,accuracy_mean_split2_std,accuracy_mean_split2_extreme_std,accuracy_mean_split1_classic_std,accuracy_mean_split1_classic_extreme_std,accuracy_mean_split4_std,accuracy_mean_split4_extreme_std,accuracy_mean_split2_classic_std,accuracy_mean_split2_classic_extreme_std,accuracy_mean_split9_std,accuracy_mean_split9_extreme_std,accuracy_mean_split4_classic_std,accuracy_mean_split4_classic_extreme_std,weights
19,bupa,0.017126050420168078,-0.005988058381247223,0.012729765590446722,0.01603847854931447,0.020316231755860243,0.010645289694825304,0.017272445820433434,0.014670499778858904,0.020717823971693937,0.02492304290137108,0.02073153471915082,0.007661211853162322,0.009258735072976556,0.01642680229986733,0.01588721804511277,0.0185656789031402,0.007888075115498421,0.013526267786070323,0.011209501764319708,0.00975074119107204,0.011526528135633433,0.013141475408991946,0.013410548518447354,0.011569876173319546,0.015205740562928451,0.013836309304318027,0.009342944985414206,0.00919366862411836,0.0117718556432471,0.012968750366483667,0.010738162549984333,0.00653811044038349,Hostility
19,bupa,-0.0021149933657673503,-0.012678018575851376,0.026592658115877955,0.04219150818222025,0.02759929234851837,0.021839009287925697,0.01058646616541352,0.016750110570544013,0.011949137549756744,0.023556833259619644,0.013132684652808485,0.028929677134011508,0.03357275541795665,0.021742591773551548,0.006548429898275103,0.022802742149491385,0.016153973641151884,0.00933574829378742,0.009951606024925994,0.0163394147871654,0.008822063329033616,0.01257863855779878,0.00784163631046219,0.006981008557119959,0.007916730596711516,0.009045353189800582,0.007462415332419236,0.01313640711845333,0.016667153636003094,0.010060424027674757,0.009371856564079531,0.010046555251402788,kDN
19,bupa,-0.02866607695709864,-0.01916497125165853,-0.00019018133569216334,-0.0045767359575409035,0.01067713401149932,0.010804068996019453,-0.001519239274657251,0.019846528084918172,0.010593984962406,0.008602388323750551,0.018028748341441827,0.0159296771340115,0.011650597080937625,0.024088898717381683,0.006829721362229115,0.02049535603715168,0.008101895388466049,0.012252752329014956,0.008474323214165769,0.00800551076946133,0.008787652443663075,0.008482400535375832,0.011685870339534703,0.010016725236409499,0.009210035089587738,0.012082022211210217,0.008123615330205785,0.009869066026034224,0.010724655936249711,0.01118886927995758,0.012268916346476156,0.010419285767895201,DCP
19,bupa,0.013360459973463076,-0.003210526315789473,-0.00026138876603271777,0.008039363113666504,0.01624237063246351,0.007983635559486939,0.012808934099955758,0.015917735515258748,0.014813356921716068,0.008075630252100816,0.008759840778416645,0.01414197257850509,0.020106147722246788,0.03366342326404248,0.008977885891198578,0.002477222467934541,0.011980867575614165,0.009627077445278302,0.009693763022972975,0.014616553339115676,0.011759767398844448,0.00793201465930247,0.009558295158745525,0.007048240773373265,0.01030668818373497,0.008159182161913069,0.011100142538512226,0.009224022373047343,0.011180441132443455,0.009255702154952734,0.008832114791616068,0.007998927734065419,TD_U
19,bupa,-0.0061441839893852145,-0.07575541795665633,0.029611676249447157,0.023360902255639106,0.028565678903140213,0.019817779743476344,0.029095090667846102,0.028653693056169858,0.026623617868199917,0.02681777974347635,0.02354444935869084,0.029929677134011512,0.014346306943830173,0.02139761167624946,0.020739495798319327,0.037782839451570106,0.007868405372215184,0.012390191663741282,0.008708957419744808,0.009754001213831838,0.008603243085239584,0.009565571194381324,0.014762034870967026,0.012530754842380361,0.01194663901553926,0.011108747523109488,0.012204790420858333,0.01558297167394294,0.009037779455509487,0.011457419466211179,0.014252452339286379,0.017128888298405094,CLD
19,bupa,0.01674259177355154,-0.020059708093763805,0.024328173374613,0.01347633790358249,0.014613003095975236,0.007267580716497129,0.010836355594869531,0.018728881026094654,0.01639938080495357,0.01061123396727112,0.017605484298982746,0.01106191950464396,0.023084918177797422,0.0013538257408226403,0.015375497567448018,0.016237063246351175,0.01142973252376634,0.013848297724866657,0.0082997469090399,0.011555354175888603,0.011183313160872295,0.012760175671985195,0.008409860484620809,0.010858694809120377,0.013543074341815248,0.008093051847027796,0.00996816161429332,0.008918428550294219,0.012164907970271593,0.010430555360479776,0.010848926711726485,0.01213344329492477,N1
19,bupa,-0.0003069438301636523,-0.008334365325077385,0.02345820433436532,0.00997788589119858,0.027737284387439193,-0.0010800530738611198,0.015096417514374162,0.010214064573197708,0.013615656789031398,0.022655904467049987,0.014490933215391426,0.005836355594869533,0.028508182220256535,0.021869969040247673,0.022252543122512153,0.013445820433436543,0.010604520424832663,0.010586463565630446,0.008176659684605108,0.014648502859160256,0.013581764813225813,0.01136757693558148,0.009798160188425265,0.006734037023387638,0.01117314021944411,0.01121726860528625,0.010838491765550129,0.011010158077270285,0.011069321791360961,0.012005612687883197,0.012590974906292622,0.009158880633432218,N2
19,bupa,0.0016028306059265834,-0.0016076957098628874,0.031550641309155254,0.021508624502432554,0.013367536488279525,0.025085802742149495,0.01540645731977001,0.024471915081822216,0.013677576293675359,0.011008845643520565,0.021652808491817794,0.023081822202565237,0.015522335249889432,0.01653516143299425,0.014048651039363107,0.027358248562582937,0.01310728118218697,0.008780462596560595,0.010371801882593021,0.013144027115035144,0.013957539204249619,0.009364634675066812,0.010769335331492939,0.012085686135902104,0.009070401020983597,0.011298056953279009,0.014353460696407888,0.01294479612589316,0.008912898263691686,0.00826879001410072,0.010147720862550301,0.00689376699055571,LSC
19,bupa,0.02028615656789031,-0.004086245024325525,0.012533392304290136,0.014416187527642631,0.01532728881026095,0.01753737284387438,0.019902697921273766,0.020640424590888988,0.009565678903140216,0.014738611233967289,0.004083149049093293,0.011103494029190619,0.007272445820433432,0.015928350287483416,0.021326846528084902,0.0009747899159663956,0.01056891151650543,0.009211528594751939,0.009329330941947359,0.008176733710113565,0.01216377505831377,0.008372310010672995,0.011274546279169698,0.01665787844404639,0.0072438508012051045,0.008537621124434116,0.01231761878737028,0.010986742709218842,0.010500832972178138,0.012619100653371107,0.008547869526899034,0.007668382201817664,F1
26,hill_valley_without_noise_traintest,-0.05082124088163779,-0.009411183764858576,-0.004089482954099781,-0.010691498085411347,0.0012783890358602122,0.0024863625667610385,0.0005374040031660269,0.005374610486383938,-0.0011106753470860541,0.00881559337987293,-0.0005369761621232337,0.008785751467138234,-0.0005425380956795205,0.00932782606835474,0.00046353011644406406,0.011380643045087306,0.010120280648880289,0.009095916122373598,0.009888440512816813,0.006002405653492393,0.006468873029264152,0.005632401770104327,0.007180718838995483,0.00712205671461508,0.004335645961624935,0.0049925870652556305,0.00600841799790363,0.006293110194465407,0.007023849169675757,0.006171483297443178,0.0055069122456634905,0.006058179985713324,Hostility
