,dataset,n_ensemble,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme,weights
19,bupa,average,0.7054807607253427,0.08541931032188682,0.7202799646174259,0.0754273773760951,0.7056881910659,0.07634415558030481,0.7146793454223795,0.081948139215534,0.7200181335692171,0.07890009774798974,0.7177275541795666,0.07214885209754524,0.710204334365325,0.08041249013996006,0.7245550641309155,0.08453283848559022,0.7084913754975675,0.07397290955463644,0.7225095090667847,0.07892975108745284,0.7222091994692614,0.0760776650916034,0.7279128704113224,0.0874970642474261,0.7211176470588234,0.08325272754695918,0.7219044670499779,0.07240446582135522,0.7219146395400267,0.07701620332412341,0.7299743476337903,0.0880065766634981,Uniform
19,bupa,average,0.722606811145511,0.0959317048464597,0.6994927023440954,0.0740649641004384,0.7182105263157895,0.08916532453769742,0.7215192392746572,0.08004151674176868,0.725796992481203,0.08707615608985966,0.7161260504201681,0.09688347049082756,0.7227532065457761,0.07899521491763517,0.7201512605042016,0.08109205931831268,0.7261985846970368,0.08484627242702063,0.7304038036267139,0.07534254872063961,0.7262122954444936,0.08367857679972202,0.7131419725785052,0.08113923341765446,0.7147394957983193,0.09094003121078591,0.7219075630252101,0.0653546179698972,0.7213679787704554,0.08767436832715993,0.7240464396284829,0.08568216466236639,Hostility
19,bupa,average,0.7033657673595755,0.08311370046303691,0.6928027421494913,0.078648354405186,0.7320734188412207,0.07566130817379393,0.747672268907563,0.08086792733604617,0.7330800530738611,0.08592200456264193,0.7273197700132684,0.07499494130205771,0.7160672268907563,0.08433401688322459,0.7222308712958868,0.07422139739825448,0.7174298982750996,0.08444999288908335,0.7290375939849624,0.06579052623328649,0.7186134453781513,0.085323569767683,0.7344104378593542,0.08220929628481884,0.7390535161432994,0.08216505713427211,0.7272233524988942,0.07404186122786671,0.7120291906236178,0.07413060879449827,0.7282835028748342,0.07084648359695424,kDN
19,bupa,average,0.676814683768244,0.0693975894692104,0.6863157894736842,0.06733227397267232,0.7052905793896507,0.09384364829398328,0.7009040247678019,0.06778127640863868,0.7161578947368421,0.08224493989163413,0.7162848297213622,0.08091922824441967,0.7039615214506856,0.08962037840332297,0.7253272888102609,0.08453275981271131,0.7160747456877488,0.085574356679696,0.7140831490490933,0.08759234306368478,0.7235095090667847,0.0775728790305637,0.7214104378593543,0.07147905775221812,0.7171313578062803,0.08402705763647364,0.7295696594427244,0.07850918917681078,0.7123104820875719,0.06952129814882839,0.7259761167624945,0.08381617130421815,DCP
19,bupa,average,0.7188412206988058,0.07496007125166365,0.7022702344095534,0.08403628251264239,0.70521937195931,0.07792925460680755,0.7135201238390093,0.08847829408537708,0.7217231313578063,0.07744094708265621,0.7134643962848297,0.07901895355786058,0.7182896948252986,0.07759905183599695,0.7213984962406015,0.07259631430913532,0.7202941176470588,0.08396415569522009,0.7135563909774435,0.09693758872223632,0.7142406015037595,0.07013960195457089,0.7196227333038479,0.08336950299904239,0.7255869084475896,0.08175763034294976,0.7391441839893853,0.08356008732372104,0.7144586466165413,0.08709355969314404,0.7079579831932774,0.08135218771662472,TD_U
19,bupa,average,0.6993365767359575,0.07979526951286933,0.6297253427686864,0.06003090320565683,0.7350924369747899,0.07958025716454477,0.7288416629809819,0.07841261666559143,0.7340464396284829,0.08133741857450694,0.7252985404688191,0.06133740806657605,0.7345758513931888,0.08105770131443958,0.7341344537815127,0.07646872900054089,0.7321043785935426,0.07181911050463749,0.7322985404688191,0.06785967762337278,0.7290252100840336,0.07897525283528496,0.7354104378593542,0.07956831514110811,0.7198270676691729,0.07534326447109264,0.7268783724015923,0.06996796036129056,0.7262202565236621,0.08022451373064697,0.743263600176913,0.08111636503762189,CLD
19,bupa,average,0.7222233524988944,0.08749829678915388,0.6854210526315789,0.0656847566842146,0.7298089340999557,0.08333766026497635,0.7189570986289253,0.07555694356052207,0.720093763821318,0.07771951505543781,0.71274834144184,0.07886452352439087,0.7163171163202123,0.0783894900398181,0.7242096417514373,0.0768052447896927,0.7218801415302963,0.07590077970506867,0.7160919946926139,0.08294661500110502,0.7230862450243255,0.08762494901919474,0.7165426802299867,0.07141049368283378,0.7285656789031403,0.08048194270008674,0.7068345864661654,0.07584569710746639,0.7208562582927908,0.08287654269694235,0.721717823971694,0.08698389174817384,N1
19,bupa,average,0.7051738168951791,0.07948093501254007,0.6971463954002655,0.08337609135751567,0.7289389650597081,0.08331644887586719,0.7154586466165412,0.08214209609686587,0.7332180451127819,0.08220111242998615,0.7044007076514817,0.07823446944801767,0.7205771782397169,0.09188448838435473,0.7156948252985406,0.07854781984276518,0.7190964175143743,0.08591458794725855,0.7281366651923928,0.057342382372162624,0.7199716939407342,0.07412086342149317,0.7113171163202123,0.08428191999359,0.7339889429455994,0.08197139148361537,0.7273507297655905,0.07639244364380879,0.727733303847855,0.07745078764520359,0.7189265811587793,0.08110461028851272,N2
19,bupa,average,0.7070835913312693,0.0924706981575151,0.70387306501548,0.07320885857054275,0.737031402034498,0.07403220374017971,0.7269893852277753,0.07145656722519922,0.7188482972136223,0.07417968248849326,0.7305665634674923,0.07574877736849737,0.7208872180451128,0.0789315088489918,0.7299526758071649,0.07304483045040422,0.7191583370190181,0.07635809750770932,0.7164896063688634,0.07063559429995743,0.7271335692171607,0.0738955480122702,0.728562582927908,0.07578937330268633,0.7210030959752323,0.08077549728334116,0.722015922158337,0.07930704823284343,0.719529411764706,0.08755647385889309,0.7328390092879258,0.07495380572365071,LSC
19,bupa,average,0.7257669172932331,0.08130006408980461,0.7013945157010173,0.059515941579364774,0.7180141530296329,0.07479931012390874,0.7198969482529853,0.07719900384517556,0.7208080495356037,0.08730611794969936,0.7230181335692171,0.07224091455232737,0.7253834586466166,0.07357635762731672,0.7261211853162317,0.08059049657270254,0.715046439628483,0.06300141252161351,0.7202193719593101,0.08701716507131822,0.709563909774436,0.08434964497346607,0.7165842547545334,0.07734296215031981,0.7127532065457761,0.08352983696265975,0.7214091110128262,0.08827573600999233,0.7268076072534276,0.08572835633697283,0.7064555506413092,0.07325816530683892,F1
