,dataset,n_ensemble,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme,weights
0,Data10_,average,0.8907383333333333,0.01721723844089,0.8918116666666667,0.01769684307901473,0.8923666666666666,0.015964108520644713,0.8930866666666667,0.0155349253751661,0.89349,0.008101772473452373,0.8936916666666666,0.019281697686938378,0.8897383333333333,0.016233612636581064,0.8887116666666667,0.016822868855977727,0.8932383333333334,0.018411610911850528,0.8914716666666667,0.018163908838875968,0.8906449999999999,0.015395128837356734,0.8909833333333332,0.019376678295542217,0.8928916666666666,0.01671180497860553,0.8901766666666667,0.019422343635759426,0.8924916666666667,0.0174255036524981,0.8912983333333334,0.0173269786988562,Uniform
1,Data11_,average,0.84504375,0.02168942359358729,0.8456600000000001,0.022572254156207366,0.8422375,0.010162064511272335,0.84440625,0.021493813078642288,0.8402974999999999,0.012086375152295499,0.84349875,0.023244890169630626,0.84469875,0.020273243462163682,0.84484375,0.020599112083083352,0.843785,0.021695542776239356,0.8448587500000001,0.021686591864806273,0.8430712499999999,0.021736915607939878,0.84283875,0.025379616902609165,0.84181,0.011218393225059046,0.8443525,0.022132227120810692,0.8445662500000001,0.020563166269507764,0.8444737500000001,0.02022938747652151,Uniform
2,Data12_,average,0.9771683333333334,0.0074624672154954145,0.9788616666666666,0.0077379808216751925,0.975475,0.005333019259658924,0.977175,0.007024263360307489,0.9753183333333334,0.005643368440373613,0.9791283333333334,0.008106563054106885,0.9769916666666667,0.0075659213429158535,0.97604,0.008102397295211387,0.9756066666666667,0.004805388425892444,0.9773999999999999,0.007548295543932738,0.977695,0.007072341037045451,0.9768233333333334,0.008100082505869955,0.9782183333333333,0.00735665502905425,0.9782783333333334,0.007152572802791087,0.977995,0.0069048226253893554,0.9782649999999999,0.007713042993692807,Uniform
3,Data13_,average,0.8843233333333334,0.01395366427024252,0.88444,0.013630715654433962,0.8841249999999999,0.010465264497210771,0.884085,0.015631590902281705,0.8841966666666667,0.008410277224474757,0.8859783333333333,0.013326818447016237,0.8847383333333333,0.013879201751916339,0.8838433333333333,0.015572017921459971,0.8848,0.011094338498343813,0.8846616666666667,0.014868820514254697,0.8844783333333334,0.015424607656504994,0.8852416666666667,0.013784486715811133,0.8851,0.012494301863445882,0.8866700000000001,0.013507694850543919,0.8839883333333333,0.014768427520582295,0.8853366666666667,0.013212771728045976,Uniform
4,Data1_,average,0.7064291666666667,0.01431890630517107,0.708,0.01459472231222383,0.7061083333333333,0.014588167268554702,0.7093516666666666,0.013112144569345037,0.7060550000000001,0.007297498742883336,0.7057508333333334,0.015643441291383467,0.7057558333333332,0.017397816555009563,0.7087033333333334,0.015567491691681866,0.70499,0.006557307084557941,0.7071258333333332,0.014315637632675945,0.7071525,0.014664594111780494,0.7085291666666668,0.015155768905954874,0.7056558333333334,0.00833437704741398,0.7080158333333334,0.011508528487242762,0.7060991666666666,0.01597175644518944,0.7081266666666667,0.0132093661245586,Uniform
5,Data2_,average,0.8852616666666667,0.013476667868385054,0.8830800000000001,0.013392130422548934,0.8869416666666666,0.012259747222348315,0.8865816666666667,0.011962913524925622,0.8849416666666667,0.006515724498539187,0.8863283333333334,0.013387737633744776,0.8832816666666666,0.011612630451260491,0.881995,0.01129497383059917,0.8868883333333334,0.005701784434693102,0.8858033333333333,0.010734154235131759,0.886365,0.01103813867517405,0.8836216666666666,0.012982321680032731,0.8859483333333332,0.012734374959142229,0.887775,0.011869804669212393,0.8836183333333334,0.012784040526991952,0.8864966666666666,0.012045814425661777,Uniform
6,Data3_,average,0.6595449999999999,0.0412326742588669,0.671085,0.037718979386545747,0.6623749999999999,0.026794080377401365,0.655845,0.042005897096469395,0.6596000000000001,0.03562952780192417,0.6601699999999999,0.0441249547463907,0.665365,0.04130991888384721,0.66499,0.0336807772524639,0.6644150000000001,0.02454576645895518,0.65998,0.04081679589571638,0.6579349999999999,0.03207938215482856,0.667285,0.03439764307370154,0.656325,0.0391002657528801,0.65658,0.03922587778242526,0.6595300000000001,0.03865486372936998,0.6638200000000001,0.033558251262168486,Uniform
7,Data4_,average,0.94958,0.02575500590364466,0.9486366666666666,0.02545915574460667,0.9499366666666665,0.025380025318206177,0.9503299999999999,0.02237650374964866,0.9473199999999999,0.02688381398064723,0.9487066666666667,0.026340870815463404,0.94907,0.02495939972236063,0.9490166666666667,0.025168322641443985,0.9476433333333333,0.025128628983718194,0.9512066666666666,0.024570766904401107,0.9484933333333333,0.025622049046294514,0.9488666666666667,0.024826876729694664,0.9464100000000001,0.024853770479036235,0.9470533333333334,0.024301960584386384,0.9477233333333334,0.025758624782357395,0.9502700000000001,0.02622156908787395,Uniform
8,Data5_,average,0.88275,0.0271071224382934,0.8848716666666667,0.024411039483633296,0.886065,0.022387799080998326,0.8835633333333334,0.024917688034995496,0.88587,0.015640558403112768,0.88438,0.026240229448647127,0.8843966666666667,0.024245637582522343,0.8848766666666666,0.023282080718166225,0.8833983333333333,0.02461687331143777,0.8812300000000001,0.025315730912689367,0.8837416666666666,0.022799187450558565,0.8833583333333334,0.025744878492217675,0.8833833333333334,0.02558587089812945,0.8834183333333334,0.02422362127765603,0.8834449999999999,0.024468661434113127,0.88241,0.025906974370805323,Uniform
9,Data6_,average,0.9135833333333333,0.02219332507347467,0.9103133333333333,0.021597480426332916,0.9129766666666668,0.022392099428735716,0.9134866666666666,0.021711163039728917,0.9141866666666667,0.02170259170735085,0.9134966666666666,0.02272784595452823,0.9128866666666667,0.0222990337419336,0.91117,0.021017483151449377,0.9130733333333333,0.01309413013612851,0.9136033333333333,0.01961291358788908,0.91286,0.02026293861209767,0.9133199999999999,0.018572652718762527,0.91181,0.012867437113040978,0.91449,0.01895457948246444,0.9133566666666667,0.0201635823366007,0.9116599999999999,0.020489997673877797,Uniform
