,y,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,dataset
0,0,0.231,0.334,0.8988608923884513,0.33177833351023633,0.4308989898989899,0.8330666666666667,0.0,0.6666666666666666,0.3323159857932305,0.3421944444444444,0.41365357579286416,0.9985486273202179,0.9856840279697235,0.0003333333333333333,0.9985491111111111,0.993,0.8268418124540878,0.8740159487838803,0.921190085113673,Data1
1,1,0.211,0.34113333333333334,0.8671233595800525,0.33177833351023633,0.40993939393939394,0.7596,0.0,0.6666666666666666,0.3321370427645244,0.3448055555555556,0.41301877376545015,0.9978808491719462,0.9825112667900565,0.0003333333333333333,0.9978815555555556,0.9923333333333333,0.835442398596445,0.8809523649242792,0.9264623312521133,Data1
2,dataset,0.221,0.3375666666666667,0.882992125984252,0.33177833351023633,0.42041919191919186,0.7963333333333333,0.0,0.6666666666666666,0.3322265142788775,0.3435,0.41333617477915724,0.998214738246082,0.98409764737989,0.0003333333333333333,0.9982153333333332,0.9926666666666667,0.8311421055252665,0.8774841568540798,0.9238262081828931,Data1
0,0,0.06,0.1258,0.8485111940298506,0.12421204055492091,0.3768695652173913,0.6546000000000001,0.0,0.75,0.13049066223428693,0.12458333333333332,0.24187834434600058,0.9661451451451452,0.9315710683237444,0.0004395,0.966179,0.76675,0.47837869757058415,0.5189713015345258,0.5595639054984674,Data10
1,1,0.113,0.19,0.900839552238806,0.1869530273333657,0.5321739130434783,0.9626,0.0,0.75,0.16668892882757527,0.18891666666666665,0.29845766502790216,0.9814304304304304,0.9642364213378843,0.0006929999999999999,0.9814489999999999,0.8515,0.5099188238248092,0.5398567896226826,0.5697947554205558,Data10
2,2,0.096,0.09960000000000001,0.42743283582089553,0.09491338924197948,0.3317826086956522,0.6397999999999999,0.0,0.75,0.13239768872297167,0.09983333333333333,0.18843118722190433,0.8963683683683683,0.8875218213169852,0.0003675,0.8964719999999999,0.749,0.4806203341241352,0.5201916431106688,0.5597629520972024,Data10
3,dataset,0.08966666666666667,0.13846666666666668,0.725594527363184,0.13535948571008868,0.4136086956521739,0.7523333333333333,0.0,0.75,0.14319242659494463,0.13777777777777778,0.242922398865269,0.9479813146479813,0.9277764369928714,0.0005,0.9480333333333333,0.7890833333333334,0.4896392851731762,0.5263399114226257,0.5630405376720752,Data10
0,0,0.038,0.0824,0.8718453427065026,0.0890204194657461,0.3282962962962963,0.44575,0.0,0.8,0.34874091859288503,0.08791666666666667,0.19397900786901057,0.9509039039039039,0.9698158642058116,0.000115,0.9509529999999999,0.7253333333333334,0.34016528169519816,0.38324552243172416,0.4263257631682502,Data11
1,1,0.121,0.1474,0.4211564147627416,0.14936983789503827,0.30414814814814817,0.48441666666666666,0.0,0.8,0.25980628079975887,0.14633333333333334,0.20965397430611096,0.861087087087087,0.8971216398078004,0.000441,0.861226,0.7765,0.3566327575400024,0.39334151948777235,0.43005028143554236,Data11
2,2,0.255,0.2826,0.9099789103690685,0.26615767498619197,0.40288888888888885,0.49983333333333335,0.0,0.8,0.27931162820046745,0.2853333333333333,0.36088741219133197,0.979992992992993,0.9728200879259857,0.00047066666666666665,0.980013,0.8903333333333334,0.4014768663106778,0.4162761565957824,0.431075446880887,Data11
3,3,0.152,0.24480000000000002,0.8857328646748682,0.23795832943229994,0.3912962962962963,0.3993333333333333,0.0,0.8,0.21893335063993616,0.24516666666666664,0.33600187902302986,0.9744944944944944,0.9509844725020575,0.0003066666666666666,0.9745199999999999,0.935,0.40948580252241534,0.43228521944796205,0.45508463637350877,Data11
4,dataset,0.1415,0.18930000000000002,0.7721783831282952,0.18562656544481906,0.35665740740740737,0.45733333333333337,0.0,0.8000000000000002,0.2766980445582619,0.1911875,0.2751305683473709,0.9416196196196197,0.9476855161104139,0.0003333333333333334,0.941678,0.8317916666666667,0.37694017701707344,0.40628710449081024,0.4356340319645471,Data11
0,0,0.0457516339869281,0.07859477124183006,0.5641414141414142,0.025375463289338845,0.7307635175282234,0.7531045751633988,0.0,0.694,0.30028206012756964,0.05385348583877996,0.18639339365252844,0.969771909854157,0.941218187694858,0.0008169934640522876,0.9697966060062368,0.9387254901960784,0.5100589825942228,0.5465576958341354,0.583056409074048,Data12
1,1,0.04597701149425287,0.05954022988505748,0.4263502015226153,0.004532275578537314,0.5753396029258099,0.6154022988505747,0.2892156862745098,0.7825000000000001,0.24856973585971218,0.041379310344827586,0.1658865719753082,0.9239699482824756,0.8978694231857488,0.0003987912147212779,0.9240573391465187,0.9833333333333333,0.4986041060710472,0.534493092863436,0.570382079655825,Data12
