,segment
Host_0,0.00909090909090909
Host_1,0.0
Host_2,0.06666666666666667
Host_3,0.05454545454545454
Host_4,0.1303030303030303
Host_5,0.0030303030303030303
Host_6,0.0
Dataset_Host,0.03766233766233766
