,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,y
0,0.6,0.5,0.9977220956719818,0.10526315789473684,0.6153846153846154,0.8,0.0,0.75,0.3857387918482089,0.5,0.7335705439784219,1.0,0.9950714712420625,0.001,1.0,0.75,0.48113198799573786,0.5371853154284836,0.5932386428612292,0
1,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.06268053658125727,0.0,0.04618053116788845,0.7775551102204409,0.8148066870208501,0.0,0.598,0.75,0.49126139062583274,0.5225134039880255,0.5537654173502181,0
2,0.5,0.5,0.9931662870159453,0.0,0.38461538461538464,1.0,0.0,0.75,0.9609803312372502,1.0,0.704274235413944,1.0,0.9707446769023067,0.037,0.87,0.75,0.4708342065736133,0.4715696502775132,0.4723050939814131,0
3,0.75,0.6,0.9954441913439636,0.10526315789473684,0.5384615384615384,0.8,0.0,0.75,0.5275181434080359,0.0,0.07935368584979596,0.9979959919839679,0.9862164503706518,0.0,0.998,0.75,0.4670806536698155,0.523453752414925,0.5798268511600344,0
4,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.02545387876557942,0.0,0.020855710209221723,0.3366733466933868,0.6783727203850611,0.0,0.494,0.75,0.46656199112536795,0.5475745178261556,0.6285870445269434,0
5,0.75,1.0,1.0,0.9523809523809523,0.5384615384615384,1.0,0.0,0.75,0.9687630435685718,1.0,0.8732275381087824,1.0,0.9926650184923399,0.118,1.0,0.75,0.48506458783272005,0.4912700025804516,0.49747541732818323,0
6,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.025428632886300206,0.0,0.03625599299561211,0.5390781563126252,0.7457274858441152,0.0,0.522,0.75,0.48095988149498553,0.5479558390245571,0.6149517965541288,0
7,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.46443846793254173,0.0,0.15441907608473993,0.9539078156312625,0.9152645152453822,0.0,0.7,0.75,0.48101975990085216,0.5163235647434034,0.5516273695859545,0
8,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.025675037297469394,0.0,0.019430216286316693,0.45090180360721444,0.6967966102348921,0.0,0.536,1.0,0.47533912427555763,0.5225619753064524,0.5697848263373472,0
9,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.0224923815747875,0.0,0.018809469685064584,0.17234468937875747,0.5489001980846934,0.0,0.534,1.0,0.469781668377484,0.5454723381352732,0.6211630078930623,0
10,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.034027514419774973,0.0,0.19737241935325167,0.9418837675350702,0.9098614837072789,0.0,0.762,0.75,0.5105747905157799,0.5406617719600721,0.5707487534043644,0
11,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.03857152446291062,0.0,0.11906146534193551,0.6633266533066132,0.794485228761213,0.0,0.596,0.75,0.47324693538888857,0.5472192537311803,0.6211915720734721,0
12,0.0,0.0,0.08656036446469251,0.004842615012106588,0.38461538461538464,0.6,0.0,0.75,0.09386959842517167,0.0,0.11787197101598113,0.781563126252505,0.851230558323896,0.0,0.5780000000000001,0.75,0.47322710028731524,0.529963985351924,0.5867008704165327,0
