,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,y
331,0.1428571428571429,0.2,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.25136234200572105,1.0,0.5781321863977937,1.0,0.7525512411287173,0.00966183574879227,0.9918367346938776,0.7837837837837838,0.6666666666666666,0.8322145941368445,0.9971574758385445,0
332,0.75,0.8,0.9401197604790419,0.368421052631579,0.4090909090909091,0.6666666666666666,0.1551020408163265,0.6946902654867256,0.7472379933360591,1.0,0.5176237722330695,1.0,0.7692237633009564,0.004081632653061225,0.9951690821256038,0.7567567567567568,0.6534653465346535,0.8065050505586466,1.0,1
333,0.1428571428571429,0.2,0.9820359281437125,0.631578947368421,0.3181818181818182,0.6666666666666666,0.0,0.6386430678466076,0.2513623478963709,0.0,0.45895875280475795,0.9918032786885246,0.6512476569444617,0.0,0.9877551020408163,0.8108108108108109,0.6666666666666666,0.8547598609999048,1.0,0
334,0.0,0.4,0.8203592814371258,0.07499999999999996,0.18181818181818182,0.2222222222222222,0.1551020408163265,0.6946902654867256,0.15925395273242826,0.0,0.4840759567473153,0.9854368932038835,0.7433301290387749,0.0,1.0,0.7567567567567568,0.5136612021857924,0.7874282854871185,1.0,1
335,0.17647058823529416,0.0,0.9461077844311377,0.08620689655172409,0.7272727272727273,1.0,0.0,0.6386430678466076,0.2513630353911631,0.0,0.45333822912556576,0.930327868852459,0.5676222829927278,0.0,0.9959183673469387,0.7297297297297297,0.6666666666666666,0.799183783454534,0.9659863945578232,0
336,0.0,0.8,0.9880239520958084,0.9137931034482758,0.5,1.0,0.1551020408163265,0.6946902654867256,0.15925395273242826,1.0,0.5082224112049571,1.0,0.6967552174352833,0.0,1.0,0.7837837837837838,0.35294117647058826,0.7850218379803305,0.9743589743589745,1
337,0.8,0.6,0.9940119760479041,0.08620689655172409,0.8636363636363636,1.0,0.0,0.6386430678466076,0.8407460472666857,1.0,0.5295378325944989,1.0,0.6673044075904426,0.00966183574879227,1.0,0.8108108108108109,0.6666666666666666,0.8207122513915204,0.998109640831758,0
338,0.1333333333333333,0.2,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.25136234008140534,0.0,0.43425082238891277,0.9918032786885246,0.7393190788736694,0.0,0.9714285714285714,0.7567567567567568,0.6666666666666666,0.8271962693587512,0.9950083194675542,0
339,0.0714285714285714,0.2,0.9940119760479041,0.9078947368421053,0.4090909090909091,0.2222222222222222,0.0,0.6386430678466076,0.25136285573119443,0.0,0.4779482555719121,0.9918032786885246,0.598491836395286,0.004830917874396135,0.9877551020408163,0.8378378378378378,0.6666666666666666,0.8252820105870393,0.9803921568627451,0
340,0.19999999999999996,0.4,0.8203592814371258,0.07499999999999996,0.18181818181818182,0.2222222222222222,0.1551020408163265,0.6946902654867256,0.15925395273242826,0.5,0.5048632245540079,1.0,0.7909044889451053,0.004081632653061225,0.9855072463768116,0.7837837837837838,0.6666666666666666,0.8281971129673482,1.0,1
341,0.33333333333333337,0.8,1.0,0.9137931034482758,0.8636363636363636,1.0,0.1551020408163265,0.6946902654867256,0.7486350960370256,0.5,0.517937522754444,1.0,0.8115667470534079,0.004081632653061225,0.9855072463768116,0.7837837837837838,0.6666666666666666,0.8177969183952383,1.0,1
342,0.16666666666666663,0.2,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.2513623751142554,0.0,0.49317121377675044,0.9959016393442623,0.7305060488511841,0.0,0.9795918367346939,0.7567567567567568,0.6666666666666666,0.8287209604400534,1.0,0
343,0.875,0.6,0.9940119760479041,0.1333333333333333,0.22727272727272727,0.3333333333333333,0.1551020408163265,0.6946902654867256,0.7486375838975374,0.5,0.5417468312917392,1.0,0.8550800276697766,0.0,0.9903381642512077,0.7027027027027027,0.6666666666666666,0.7909557717939691,0.9906542056074765,1
344,0.125,0.2,0.8203592814371258,0.07499999999999996,0.18181818181818182,0.2222222222222222,0.1551020408163265,0.6946902654867256,0.15925395273242826,1.0,0.5400590093753181,1.0,0.8046600844481693,0.0,0.9951690821256038,0.7297297297297297,0.47619047619047616,0.7997744191743681,0.9982434127979924,1
345,0.25,0.4,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.2513623400729641,0.5,0.5086576102590468,1.0,0.7256986926655099,0.0,0.9877551020408163,0.8108108108108109,0.6666666666666666,0.8235623343800539,0.9924812030075189,0
346,0.0,0.4,0.8203592814371258,0.07499999999999996,0.18181818181818182,0.2222222222222222,0.1551020408163265,0.6946902654867256,0.15925395273242826,0.5,0.5098471711936343,1.0,0.8070861456053726,0.0,0.9951690821256038,0.7837837837837838,0.5507246376811594,0.8141680221511781,1.0,1
347,0.05882352941176472,0.0,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.2513623433255443,0.0,0.4320241520622158,0.930327868852459,0.5770995640155725,0.0,0.9959183673469387,0.7837837837837838,0.6604651162790698,0.8341423188369935,0.9767441860465117,0
348,0.33333333333333337,0.8,0.9760479041916168,0.0,0.3181818181818182,0.7777777777777778,0.1551020408163265,0.6946902654867256,0.15925396313144857,0.0,0.48183168282196076,0.9951456310679612,0.7719435374914748,0.0,0.9951690821256038,0.6216216216216216,0.5185185185185185,0.748007648066851,0.9894736842105263,1
349,0.05882352941176472,0.2,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.2513623402550742,0.0,0.45477828462473835,0.9836065573770492,0.7660692721770779,0.0,0.9469387755102041,0.8108108108108109,0.6666666666666666,0.8135782933511596,1.0,0
350,0.15384615384615385,0.0,0.0,0.08620689655172409,0.9090909090909091,1.0,0.0,0.6386430678466076,0.2513623404920283,0.0,0.4058208624766554,0.9631147540983607,0.6447884410316709,0.0,0.9959183673469387,0.7297297297297297,0.6666666666666666,0.8083676008901537,0.9934177215189874,0
351,0.4285714285714286,0.4,0.7844311377245509,0.09210526315789469,0.18181818181818182,0.2222222222222222,0.1551020408163265,0.6946902654867256,0.15925434323517962,0.5,0.5160125398237982,1.0,0.8037330653410386,0.0,0.9758454106280193,0.7297297297297297,0.6666666666666666,0.7764712451279212,0.9714285714285715,1
