y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
2,Data12,0.032008830022075,0.0386313465783664,0.748258364152404,0.0299298976962729,0.522376078667469,0.411368653421634,0.259803921568627,0.7735,0.237891040562973,0.0334805003679176,0.136789222532303,0.900473211127779,0.900192309613733,0.000255644741308606,0.900583064095629,0.628311258278146,0.431426651112765,0.479102147661387,0.526777644210009
dataset,Data12,0.0416666666666667,0.061,0.579785281385281,0.0207063780441005,0.622757575757576,0.609966666666667,0.162333333333333,0.743674,0.266443398181383,0.0440833333333333,0.165465955687826,0.935561133983003,0.916257230806716,0.000526187497477703,0.935629728959915,0.857916666666667,0.482990104295102,0.522687385424463,0.562384666553824
0,Data13,0.098,0.15,0.67431914893617,0.143879240336419,0.430181818181818,0.669809523809524,0,0.666666666666667,0.222873427840129,0.148833333333333,0.26139889445566,0.976756059595286,0.948753735465908,0.000666666666666667,0.976771555555555,0.905666666666667,0.749795902479128,0.817356565798482,0.884917229117836
1,Data13,0.110666666666667,0.145333333333333,0.70368085106383,0.143879240336419,0.450151515151515,0.674285714285714,0,0.666666666666667,0.22275653976101,0.146,0.255612175699635,0.978031131865688,0.94900150039457,0.000666666666666667,0.978045777777778,0.879666666666667,0.739509491961528,0.807048257362546,0.874587022763565
dataset,Data13,0.104333333333333,0.147666666666667,0.689,0.143879240336419,0.440166666666667,0.672047619047619,0,0.666666666666667,0.22281498380057,0.147416666666667,0.258505535077647,0.977393595730487,0.948877617930239,0.000666666666666667,0.977408666666667,0.892666666666667,0.744652697220328,0.812202411580514,0.8797521259407
0,Data2,0.113107119095143,0.149035262807718,0.688675281016914,0.136171871002121,0.535462408516301,0.474384564204923,0,0.666,0.261835084006517,0.148924373475272,0.252751039241658,0.977178798195885,0.952987733551326,0.000665335994677312,0.977193981962887,0.991017964071856,0.811102972567771,0.854574001202669,0.898045029837568
1,Data2,0.0855043420173681,0.145490981963928,0.833662939914917,0.136717650044214,0.524248496993988,0.568336673346693,0.00399201596806387,0.667333333333333,0.262818039703862,0.136216878200846,0.267607665890189,0.983645097681995,0.96768757917922,0.000668002672010688,0.983656022800444,0.981629926519706,0.799902373795233,0.856779234093431,0.913656094391628
dataset,Data2,0.0993333333333333,0.147266666666667,0.761024122807017,0.136444214744126,0.529866666666667,0.521266666666667,0.00199201596806387,0.666665333333333,0.262325578899492,0.142583333333333,0.260164495939275,0.980405481639454,0.960322956519645,0.000666666666666667,0.980418540340828,0.986333333333333,0.805513873780274,0.855674412415159,0.905834951050044
0,Data3,0.27992277992278,0.388416988416988,0.687442544585402,0.346842536489879,0.484314671814672,0.563063063063063,0,0.654666666666667,0.390032737495683,0.390926640926641,0.43250874385587,0.995653570121655,0.967578714189714,0.00193050193050193,0.995661960912926,0.972972972972973,0.815001380489357,0.862071187894175,0.909140995298992
1,Data3,0.25103734439834,0.39045643153527,0.664493183165382,0.37274778817792,0.510719225449516,0.661825726141079,0.0694980694980695,0.678666666666667,0.418466068497189,0.380532503457815,0.441287142197989,0.995729850501635,0.981087660305047,0.0020746887966805,0.995738709732959,0.995850622406639,0.829223382314845,0.8783452811568,0.927467179998756
dataset,Data3,0.266,0.3894,0.676380952380952,0.359328867803515,0.497041666666667,0.610666666666667,0.0334980694980695,0.666234666666667,0.403737603038409,0.385916666666667,0.436739931856771,0.995690337264806,0.974090026217305,0.002,0.995698953844182,0.984,0.821856385369242,0.86991530084676,0.917974216324278
0,Data4,0.048,0.0672,0.263653758542141,0.0630520884189201,0.417230769230769,0.6356,0,0.75,0.0964424172933358,0.071,0.137750200209045,0.652204408817635,0.789827781913725,0.001066,0.6529,0.7905,0.473390642600168,0.530384684629449,0.58737872665873
1,Data4,0.02,0.0384,0.117567198177677,0.0407232003997278,0.403692307692308,0.62,0,0.75,0.0673016591575216,0.04,0.110610264455453,0.674456913827655,0.84617866996445,0.000848,0.675108,0.5265,0.405907073140865,0.443396152019044,0.480885230897222
2,Data4,0.024,0.0512,0.310952164009112,0.0449711247772904,0.417384615384615,0.796,0,0.75,0.0915096739621689,0.0563333333333333,0.13033194509862,0.697394789579158,0.836550432027559,0.001086,0.698,0.558,0.390365203988846,0.438081513547471,0.485797823106096
dataset,Data4,0.0306666666666667,0.0522666666666667,0.23072437357631,0.0495821378653128,0.412769230769231,0.683866666666667,0,0.75,0.0850845834710088,0.0557777777777778,0.126230803254373,0.674685370741483,0.824185627968578,0.001,0.675336,0.625,0.423220973243293,0.470620783398655,0.518020593554016
0,Data5,0.208,0.2152,0.611209169054441,0.188075470546818,0.453789473684211,0.731142857142857,0,0.857142857142857,0.211823320990001,0.219,0.270475332152014,0.894468937875751,0.896827361503255,0.0006192,0.89468,0.6552,0.23016593039193,0.24268047947427,0.255195028556609
1,Data5,0.14,0.1524,0.448607449856733,0.139717580926846,0.441578947368421,0.616285714285714,0,0.857142857142857,0.169076112761961,0.15,0.233289619792302,0.844360721442886,0.902276567053523,0.0004328,0.844672,0.4196,0.188897186702361,0.20273046272444,0.21656373874652
2,Data5,0.106,0.1208,0.292527220630372,0.103291706573127,0.396105263157895,0.739428571428571,0,0.857142857142857,0.146516615382934,0.112333333333333,0.189571612944728,0.791002004008016,0.858176561675753,0.0003456,0.79142,0.4508,0.188233071611899,0.204398771803974,0.220564471996049
3,Data5,0.064,0.1484,0.908561604584527,0.139696012293933,0.607157894736842,0.684,0,0.857142857142857,0.130492430122863,0.149833333333333,0.304094666154752,0.981911823647295,0.945579228733211,0.0003608,0.981948,0.577,0.191327006151422,0.221653208980144,0.251979411808866
4,Data5,0.048,0.1216,0.904183381088825,0.106007641776449,0.56978947368421,0.756,0,0.857142857142857,0.0881377067152028,0.133166666666667,0.289709189803789,0.974605210420842,0.93947395004592,0.0002656,0.974656,0.4934,0.194868718386376,0.211545513608647,0.228222308830918
5,Data5,0.068,0.1224,0.861799426934097,0.121798622140384,0.645684210526316,0.851142857142857,0,0.857142857142857,0.127124212396868,0.133166666666667,0.268217752985186,0.968897795591182,0.940650797166314,0.000376,0.96896,0.6494,0.202636478614407,0.232028932244466,0.261421385874524
dataset,Data5,0.105666666666667,0.1468,0.671148042024833,0.133097839042926,0.519017543859649,0.729666666666667,0,0.857142857142857,0.145528399728305,0.149583333333333,0.259226362305462,0.909207748830995,0.913830744362996,0.0004,0.909389333333333,0.5409,0.199354731976399,0.21917289480599,0.238991057635581
0,Data6,0.01,0.0296,0.647330739299611,0.0527311258278146,0.487157894736842,0.822,0,0.75,0.105890892852048,0.0401666666666667,0.175899784792025,0.942909819639278,0.922822010747177,0.000146,0.943024,0.86,0.471068947963536,0.519802318420043,0.568535688876551
1,Data6,0.04,0.1112,0.872186770428016,0.112369214171336,0.678105263157895,0.835666666666667,0,0.75,0.123442315583829,0.124666666666667,0.282189806616532,0.976300601202405,0.943851060707966,0.001024,0.976348,0.77,0.471181222043931,0.535320184344325,0.59945914664472
2,Data6,0.142,0.174,0.440871595330739,0.144152702030055,0.313578947368421,0.666,0,0.75,0.174519276941514,0.164666666666667,0.227732829008547,0.803971943887775,0.825710788179073,0.00183,0.804364,0.396,0.36015423052273,0.416698472845438,0.473242715168146
dataset,Data6,0.064,0.104933333333333,0.653463035019455,0.103084347343069,0.492947368421053,0.774555555555556,0,0.75,0.134617495125797,0.109833333333333,0.228607473472368,0.90772745490982,0.897461286544739,0.001,0.907912,0.675333333333333,0.434134800176732,0.490606991869936,0.547079183563139
0,Data7,0.0214424951267056,0.0267056530214425,0.370997182788144,0.023245206363977,0.240209108630161,0.599293372319688,0,0.7435,0.222367911675582,0.0171377517868746,0.10578093055434,0.814741596538772,0.855487306080208,0.00026514276234321,0.814922160284836,0.543372319688109,0.298362651771833,0.422411503409425,0.546460355047016
1,Data7,0.0985626283367557,0.104722792607803,0.811570805610176,0.0955737388710481,0.306654844129177,0.566735112936345,0.050682261208577,0.7565,0.303588389786649,0.0811943874058864,0.184148961112796,0.937747308753174,0.918552872605573,0.00102669404517454,0.937811223220573,0.595482546201232,0.42351065086413,0.482912593592685,0.54231453632124
2,Data7,0.014,0.0562,0.620678445229682,0.0694409690375886,0.522045454545455,0.5685,0.0253411306042885,0.75,0.170807077996572,0.05875,0.177075184093632,0.940197197197197,0.937218040980271,0.0002185,0.940257,0.7485,0.376838203123649,0.466340815280608,0.555843427437567
dataset,Data7,0.044,0.0618666666666667,0.597263839811543,0.0621264574758099,0.355727272727273,0.578458333333333,0.0249018843404808,0.749887333333333,0.231550549009305,0.0518055555555555,0.154989168988749,0.896495984657189,0.903206171645464,0.000496845491388045,0.896598422623026,0.628666666666667,0.365152552594404,0.456697294645984,0.548242036697565
