,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
2719,0.22954730996572004,0.0,0.9469964664310954,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.026157499826327424,0.0,0.26318204025988756,0.9913304434811604,0.9640354510464539,0.0,0.8896666666666666,1.0,0.712266785313898,0.7314782996782492,0.7506898140426004
2720,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02414887388961262,0.0,0.060635528934867455,0.7235745248416139,0.7138984321369488,0.0,0.9216666666666666,0.0,0.5124490904681133,0.581421826721742,0.6503945629753708
2721,0.11064621106462114,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148875613771326,0.0,0.03804897343545666,0.8139379793264422,0.8576090380555945,0.0,0.7213333333333334,0.5,0.5550462524069906,0.7214625032101023,0.887878754013214
2722,0.6300176850401178,0.9,0.9992932862190813,0.8964851293935883,0.53125,1.0,0.0,0.6666666666666666,0.7948465353978083,1.0,0.6627957038729972,1.0,0.9949922863774969,0.0013333333333333333,1.0,1.0,0.8793568912935378,0.9175741101112063,0.9557913289288749
2723,0.561441296151229,0.8,1.0,0.8964851293935883,0.5625,1.0,0.0,0.6666666666666666,0.8659589580792906,1.0,0.5337604949792301,1.0,0.9942984659733417,0.0006666666666666666,1.0,1.0,0.8724999673026663,0.9216427890604373,0.9707856108182084
2724,0.19518245185086192,0.0,0.9469964664310954,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.03107151040696432,0.0,0.19863519442613298,0.9936645548516172,0.9745312508719585,0.0,0.9933333333333333,1.0,0.7386775151152513,0.7656373599754369,0.7925972048356226
2725,0.11064621106462114,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024155820105007164,0.0,0.07655818735112441,0.9339779926642214,0.9221909167217662,0.0,0.8503333333333334,0.5,0.6221059864168849,0.7812467230264322,0.9403874596359796
2726,0.20946212948456222,0.0,0.9696113074204947,0.020408163265306145,0.125,0.42857142857142855,0.0,0.6666666666666666,0.058686538911940644,0.0,0.1748589116493422,0.9966655551850617,0.9776600137827621,0.0,0.9973333333333333,1.0,0.7803881829114657,0.8247836901740508,0.8691791974366361
2727,0.4203581207765308,0.5,0.9978798586572438,0.5964912280701755,0.46875,0.8571428571428571,0.0,0.6666666666666666,0.13834057179012138,1.0,0.6758449375384735,1.0,0.9944495854329816,0.0006666666666666666,1.0,1.0,0.7422783558094663,0.7928301714388069,0.8433819870681475
2728,0.15217391304347827,0.0,0.9752650176678446,0.14084507042253525,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148958078493266,0.0,0.29683444904032474,0.9879959986662221,0.8255120816926724,0.0,0.9953333333333333,0.5,0.5582193311774976,0.6705285793848021,0.7828378275921068
2729,0.8944626917183488,1.0,0.9992932862190813,0.8964851293935883,0.84375,1.0,0.0,0.6666666666666666,0.9045744100472574,1.0,0.7371672626533259,1.0,0.995845657845574,0.0033333333333333335,1.0,1.0,0.9324709872368873,0.9579159383333129,0.9833608894297386
2730,0.0,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02414887388961262,0.0,0.03409384219329281,0.7205735245081695,0.727427110339262,0.0,0.912,0.0,0.5035471203149734,0.5638336198776557,0.624120119440338
2731,0.09631086898036045,0.2,0.9696113074204947,0.020408163265306145,0.125,0.42857142857142855,0.0,0.6666666666666666,0.03398311642162011,0.0,0.28346274966336016,0.9989996665555185,0.9823292616475306,0.0,0.9206666666666666,1.0,0.7738185600205139,0.789369972303291,0.804921384586068
2732,0.07131086898036054,0.0,0.9484098939929329,0.0075987841945288626,0.25,0.2857142857142857,0.0,0.6666666666666666,0.025609985569290394,0.0,0.0879513550166936,0.9859953317772591,0.9476438616534677,0.0,0.8863333333333333,1.0,0.7507865864249414,0.761588161393612,0.7723897363622826
2733,0.13630898943153524,0.0,0.9519434628975265,0.0075987841945288626,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.028434673683572553,0.0,0.1887336294765506,0.9949983327775925,0.9733669105332691,0.0,0.9943333333333333,1.0,0.7154140627335521,0.8410306856966181,0.9666473086596841
2734,0.0,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.0241488738896124,0.0,0.042920677479414415,0.7195731910636879,0.7523456563626273,0.0,0.879,0.5,0.4778812233497457,0.5896250855979273,0.7013689478461087
2735,0.580976502040242,0.2,1.0,0.4782608695652174,0.34375,0.7142857142857143,0.0,0.6666666666666666,0.08481129886069794,1.0,0.7798248522782303,1.0,0.9941743565663309,0.0003333333333333333,0.9966666666666667,1.0,0.746436438013665,0.7709746460257636,0.7955128540378621
2736,0.0,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.0241488738896124,0.0,0.08100140018484725,0.6852284094698233,0.7027909502528442,0.0,0.8813333333333333,0.5,0.4204357209838432,0.6592971396175398,0.8981585582512364
2737,0.18166893833734843,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024230592370581894,0.0,0.04449823262430386,0.972324108036012,0.9461227889720629,0.0,0.8166666666666667,0.5,0.6582139864520683,0.7357182082967844,0.8132224301415005
2738,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02414887454631498,0.0,0.01255145867596652,0.8339446482160721,0.8541866244640813,0.0,0.7893333333333333,0.5,0.5544938506894119,0.7141073453030158,0.8737208399166195
2739,0.11064621106462114,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148879733051354,0.0,0.018983523754466103,0.8149383127709237,0.837432409173383,0.0,0.855,0.5,0.5821686303192681,0.6448477936297363,0.7075269569402046
2740,0.557483632902043,0.4,0.9943462897526502,0.39669421487603307,0.46875,0.5714285714285714,0.0,0.6666666666666666,0.23415365102741326,1.0,0.5525254982119581,1.0,0.9962018741896972,0.0003333333333333333,0.999,1.0,0.7965514614909756,0.8860758730711664,0.9756002846513572
