,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,y
963,0.0,0.2,0.47887323943661975,0.15656565656565657,0.32,0.2,0.0,0.6461048363741674,0.3207177791989818,0.0,0.3515759925410793,0.9934426229508196,0.8512787482493324,0.0,0.9901800327332242,0.7894736842105263,0.0,0.729416364365431,0.9604519774011299,1
964,0.4736842105263158,0.6,0.9295774647887324,0.6812227074235808,0.28,0.8,0.0,0.6461048363741674,0.41399429781702857,1.0,0.5540568891665147,1.0,0.9695907098999454,0.001851851851851852,1.0,0.6842105263157895,0.0,0.7500293692203666,0.9830508474576272,1
965,0.5,0.4,0.9577464788732395,0.31034482758620685,0.28,0.8,0.11620294599018,0.687228496959166,0.6274092534956945,0.0,0.3807081132236405,0.9981447124304267,0.9187659126365207,0.0016366612111292963,0.9981481481481481,0.3157894736842105,0.0,0.678808826730784,0.9663842239617825,0
966,0.5555555555555556,0.4,0.8591549295774648,0.3187772925764192,0.76,0.8,0.11620294599018,0.687228496959166,0.3461274893992121,0.6666666666666666,0.5692360975234861,1.0,0.9515584103181551,0.006546644844517185,0.9962962962962963,0.631578947368421,0.0,0.6899683308763219,0.9663240587715921,0
967,0.5384615384615384,0.2,0.6901408450704225,0.2153846153846154,0.32,0.6,0.0,0.6461048363741674,0.3391387594326849,0.0,0.4699396198006963,0.9934426229508196,0.9596114023284316,0.0,0.9950900163666121,0.631578947368421,0.0,0.7296012145830308,0.9714285714285713,1
968,0.1875,0.2,0.704225352112676,0.3187772925764192,0.48,0.8,0.11620294599018,0.687228496959166,0.35947212621211666,0.0,0.4237866124630837,0.9925788497217068,0.9333569233490343,0.0,0.9944444444444445,0.631578947368421,0.0,0.6941113791323662,0.9879182048581777,0
969,0.25,0.2,0.6056338028169015,0.08571428571428574,0.32,1.0,0.0,0.6461048363741674,0.5969870924052435,0.25,0.5655921284159016,1.0,0.9554905463526034,0.001851851851851852,0.9918166939443536,0.7368421052631579,0.0,0.7101910274188374,0.9657783213807299,1
970,0.125,0.2,0.5633802816901409,0.2153846153846154,0.24,0.6,0.0,0.6461048363741674,0.3207876671025418,0.0,0.4188857458100147,0.9950819672131147,0.9447358073167554,0.0,0.9852700490998363,0.8421052631578947,0.0,0.6886701272804518,1.0,1
971,0.41666666666666663,0.6,0.8591549295774648,0.3187772925764192,0.76,0.8,0.11620294599018,0.687228496959166,0.34765423579970256,0.5,0.5393600664186833,1.0,0.9572065923454809,0.0016366612111292963,0.9981481481481481,0.7368421052631579,0.0,0.6782495307006722,0.8757862208575758,0
972,0.3846153846153846,0.6,0.8732394366197183,0.518716577540107,0.32,0.8,0.11620294599018,0.687228496959166,0.3449683246666466,1.0,0.5633484346897009,1.0,0.9681526502099205,0.0032733224222585926,0.9981481481481481,0.42105263157894735,0.0,0.6523139998472848,0.8297955498052536,0
973,0.75,0.6,0.9154929577464789,0.3187772925764192,0.44,0.8,0.11620294599018,0.687228496959166,0.6194135987189738,1.0,0.5805086599136839,1.0,0.9110648603925482,0.0016366612111292963,1.0,0.8421052631578947,0.0,0.7197230951392655,0.8980712410200212,0
974,0.5,0.4,0.8450704225352113,0.4812834224598931,0.84,0.8,0.0,0.6461048363741674,0.5943062128500273,1.0,0.525118108905181,1.0,0.9574124104137571,0.0,1.0,0.5789473684210527,0.0,0.7162583114551214,0.9876553208228241,1
975,0.0,0.2,0.971830985915493,0.49275362318840576,0.24,0.6,0.0,0.6461048363741674,0.3207108914904193,0.0,0.47829706858189713,0.9983606557377049,0.7905543257077491,0.0,0.9967266775777414,0.6842105263157895,0.0,0.7624529511709299,0.9677419354838711,1
976,0.8125,0.8,0.6056338028169015,0.08571428571428574,0.32,1.0,0.0,0.6461048363741674,0.6415458731895147,0.5,0.5507424381038224,1.0,0.9526596685502824,0.0,0.9983633387888707,0.7368421052631579,0.0,0.6980355461556339,0.9751937718832283,1
977,0.0,0.0,0.0,0.15656565656565657,0.16,0.2,0.0,0.6461048363741674,0.3207108914904193,0.0,0.34424715348559565,0.9885245901639345,0.6500339831798825,0.0,0.9918166939443536,0.631578947368421,0.0,0.6574283447328778,0.9915227028058962,1
978,0.0,0.0,0.0,0.15656565656565657,0.16,0.2,0.0,0.6461048363741674,0.3207108914904193,0.0,0.3581317494131888,0.9868852459016394,0.7703662802949267,0.0,0.9852700490998363,0.6842105263157895,0.0,0.7042830593253327,0.9546772517947684,1
979,0.19999999999999996,0.6,0.5633802816901409,0.2153846153846154,0.24,0.6,0.0,0.6461048363741674,0.3207518917541492,0.5,0.5863638968981995,1.0,0.9744742067759117,0.003703703703703704,0.9967266775777414,0.8421052631578947,0.0,0.6864630540928224,0.9052848136502702,1
980,0.33333333333333337,0.2,0.7464788732394366,0.6812227074235808,0.76,0.8,0.0,0.6461048363741674,0.3683080653564056,0.0,0.49961006848279577,0.9983606557377049,0.9484838522050891,0.0,0.9950900163666121,0.6842105263157895,0.0,0.7138629354251175,0.9587878504745665,1
981,0.5714285714285714,0.2,0.9859154929577465,0.3187772925764192,0.64,0.8,0.11620294599018,0.687228496959166,0.42183537270981064,0.5,0.4506156862376747,0.9962894248608535,0.9384258522232816,0.0032733224222585926,0.9944444444444445,0.8421052631578947,0.0,0.7226517194774458,0.9699576224459253,0
982,0.631578947368421,0.4,0.47887323943661975,0.3187772925764192,0.44,0.8,0.11620294599018,0.687228496959166,0.5737193518336635,0.3333333333333333,0.5102590708565706,1.0,0.9639925891465133,0.0016366612111292963,0.9962962962962963,0.6842105263157895,0.0,0.7501128325145564,1.0,0
983,0.75,0.6,0.9577464788732395,0.31034482758620685,0.32,0.8,0.11620294599018,0.687228496959166,0.6785743071218685,1.0,0.5280487564628155,1.0,0.9327772865550762,0.0,1.0,0.8421052631578947,0.0,0.7089533065112166,0.9697630471091727,0
984,0.125,0.2,0.5633802816901409,0.2153846153846154,0.24,0.6,0.0,0.6461048363741674,0.3208359947066721,0.0,0.44526726334659106,0.9950819672131147,0.9553261453400776,0.001851851851851852,0.9918166939443536,0.7368421052631579,0.0,0.684245128405365,0.9382716049382717,1
