,n_ensemble,weights,accuracy_mean_split1,accuracy_std_split1,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split1_extreme,accuracy_std_split1_extreme,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4_extreme,accuracy_std_split4_extreme
150,15,CLD,0.9523333333333334,0.0086281194036964,0.9553333333333331,0.0021730674684008,0.9563333333333331,0.0095306523036638,0.9523333333333334,0.0113406838908026,0.953,0.0120991276085876,0.9563333333333331,0.0105672449894315
500,50,CLD,0.956,0.0092496246170077,0.955,0.006454972243679,0.9596666666666668,0.0087717982446271,0.956,0.0093985814532478,0.9586666666666666,0.009958246164193,0.9543333333333331,0.0136727628679957
1000,100,CLD,0.9576666666666668,0.0105803801654026,0.957,0.0110805134257297,0.9596666666666668,0.0105013226680155,0.9566666666666668,0.0087400737347512,0.9576666666666668,0.008547254269972,0.9556666666666668,0.0117615191762515
1500,150,CLD,0.9596666666666668,0.0095306523036638,0.9583333333333334,0.0096465307523251,0.96,0.0095014618758262,0.957,0.0082831824265261,0.957,0.0092345967847966,0.9553333333333331,0.0103010247602416
1990,199,CLD,0.9586666666666666,0.0088506120315678,0.958,0.0095306523036638,0.9583333333333334,0.0096465307523251,0.958,0.0085309892613797,0.9576666666666668,0.0086281194036965,0.9556666666666668,0.0101789543230683
151,15,DCP,0.9503333333333334,0.013763881881375,0.9526666666666668,0.0114624992426995,0.9536666666666668,0.0120991276085877,0.9533333333333334,0.008498365855988,0.9546666666666668,0.0107625895273086,0.9536666666666668,0.0102333876220058
501,50,DCP,0.956,0.0112792828771257,0.9583333333333334,0.0113651514141548,0.9573333333333334,0.0097610336428975,0.9556666666666668,0.011522924011629,0.9573333333333334,0.0121678081656293,0.958,0.0108908728351363
1001,100,DCP,0.9576666666666668,0.0105803801654026,0.958,0.0093837921735061,0.9573333333333334,0.0094721814922552,0.956,0.01211060141639,0.9556666666666668,0.0108397416943394,0.958,0.0102333876220058
1501,150,DCP,0.957,0.0091590877760227,0.957,0.0096752835157999,0.957,0.0095306523036638,0.9553333333333331,0.0116308975482452,0.957,0.0103682206766639,0.958,0.0100967541539073
1991,199,DCP,0.9576666666666668,0.0096176920308356,0.957,0.0100967541539072,0.958,0.0096032401939252,0.9566666666666668,0.0125277469819774,0.9576666666666668,0.0098319208025017,0.9576666666666668,0.0103816076682649
152,15,F1,0.9536666666666668,0.0082831824265261,0.954,0.012281422284627,0.9516666666666664,0.0092044675143227,0.947,0.0068109389139008,0.9506666666666668,0.0050826502273256,0.953,0.0108908728351363
502,50,F1,0.9553333333333331,0.0103010247602416,0.9573333333333334,0.0096176920308356,0.9563333333333331,0.0058214163988576,0.9546666666666668,0.0077638764659014,0.956,0.010041580220928,0.956,0.0104482853457716
1002,100,F1,0.9556666666666668,0.0110930408615291,0.9566666666666668,0.0083333333333333,0.9546666666666668,0.0068109389139008,0.9566666666666668,0.0096465307523251,0.9543333333333331,0.0090215790684828,0.9566666666666668,0.0091287092917528
1502,150,F1,0.9553333333333331,0.0110176625873589,0.9566666666666668,0.01,0.9553333333333331,0.0087717982446271,0.9553333333333331,0.0095306523036638,0.9553333333333331,0.0115108644332213,0.9573333333333334,0.0093985814532477
1992,199,F1,0.9556666666666668,0.0092496246170077,0.9576666666666668,0.0090215790684829,0.9566666666666668,0.0085796917841558,0.9556666666666668,0.0082158383625775,0.955,0.0109924216318941,0.957,0.0096032401939253
153,15,Hostility,0.9536666666666668,0.0106978710239208,0.9516666666666668,0.0096465307523251,0.9523333333333334,0.0099721835344344,0.956,0.0082158383625775,0.9536666666666668,0.0067082039324993,0.9543333333333331,0.0110930408615291
503,50,Hostility,0.9573333333333334,0.0093244004871329,0.957,0.0114503760248784,0.958,0.0114503760248784,0.9566666666666668,0.0112422813026933,0.958,0.0109544511501032,0.9573333333333334,0.0109671225842414
1003,100,Hostility,0.957,0.0099582461641931,0.958,0.0124387387713635,0.958,0.0123265747247336,0.9556666666666668,0.0107108460087064,0.9573333333333334,0.0113406838908026,0.9583333333333334,0.0099999999999999
1503,150,Hostility,0.9576666666666668,0.0102469507659595,0.957,0.0112669625207704,0.959,0.0110302614051828,0.9563333333333331,0.0085309892613798,0.957,0.0105013226680156,0.959,0.0114017542509913
1993,199,Hostility,0.9563333333333331,0.0105672449894315,0.9563333333333331,0.0109544511501033,0.958,0.0109544511501033,0.9556666666666668,0.0092496246170077,0.957,0.0105013226680156,0.958,0.0112051575426477
154,15,LSC,0.9513333333333334,0.0109544511501033,0.9543333333333331,0.0098319208025017,0.9563333333333331,0.0087717982446272,0.9546666666666668,0.0139642400437689,0.9543333333333331,0.0080450122574314,0.954,0.0098319208025017
504,50,LSC,0.956,0.0113406838908027,0.955,0.0081649658092772,0.9576666666666668,0.0115830335692627,0.9566666666666668,0.0116069902309867,0.955,0.0085796917841558,0.9556666666666668,0.0095452140421842
1004,100,LSC,0.9566666666666668,0.0096465307523252,0.9573333333333334,0.009689627902499,0.9576666666666668,0.0109671225842414,0.9563333333333331,0.0126600860098885,0.955,0.0110554159678513,0.956,0.0090215790684829
