,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.6633333333333333,0.0468448977418506
500,50,CLD,0.6973333333333334,0.1166523800776382
1000,100,CLD,0.7186666666666667,0.1070461997872362
1500,150,CLD,0.7373333333333333,0.1178369872135042
1990,199,CLD,0.6759999999999999,0.0711571031825589
151,15,DCP,0.6253333333333334,0.0106978710239208
501,50,DCP,0.6626666666666667,0.1028861290726575
1001,100,DCP,0.6639999999999999,0.1021817552751522
1501,150,DCP,0.6626666666666667,0.1011159949980439
1991,199,DCP,0.6733333333333333,0.0725335171566297
152,15,F1,0.6826666666666666,0.0600647798445793
502,50,F1,0.6593333333333333,0.0771506462851881
1002,100,F1,0.634,0.0072264944628929
1502,150,F1,0.636,0.0089442719099991
1992,199,F1,0.6353333333333333,0.0096032401939252
153,15,Hostility,0.6206666666666667,0.0165663648530522
503,50,Hostility,0.616,0.0043461349368017
1003,100,Hostility,0.6133333333333333,0.0074535599249992
1503,150,Hostility,0.6126666666666667,0.0086281194036965
1993,199,Hostility,0.6086666666666667,0.0069121471177759
154,15,LSC,0.6286666666666667,0.0114503760248784
504,50,LSC,0.6173333333333334,0.0043461349368017
1004,100,LSC,0.618,0.0029814239699997
1504,150,LSC,0.618,0.0029814239699997
1994,199,LSC,0.6346666666666667,0.0214216920174128
155,15,N1,0.6346666666666667,0.0116904519445001
505,50,N1,0.636,0.010903618155864
1005,100,N1,0.636,0.010903618155864
1505,150,N1,0.636,0.010903618155864
1995,199,N1,0.636,0.010903618155864
156,15,N2,0.6293333333333333,0.0160554594383897
506,50,N2,0.618,0.0029814239699997
1006,100,N2,0.6186666666666667,0.0029814239699997
1506,150,N2,0.62,0.0047140452079103
1996,199,N2,0.6353333333333333,0.020083160441856
157,15,TD_U,0.6439999999999999,0.0132077418374392
507,50,TD_U,0.6166666666666666,0.0052704627669472
1007,100,TD_U,0.616,0.0043461349368017
1507,150,TD_U,0.6186666666666667,0.0018257418583505
1997,199,TD_U,0.6273333333333333,0.020869967789998
158,15,Uniform,0.6353333333333333,0.0109544511501033
508,50,Uniform,0.6353333333333333,0.0109544511501033
1008,100,Uniform,0.6353333333333333,0.0109544511501033
1508,150,Uniform,0.6353333333333333,0.0109544511501033
1998,199,Uniform,0.6353333333333333,0.0109544511501033
159,15,kDN,0.6326666666666666,0.0121106014163899
509,50,kDN,0.6326666666666667,0.0129957257930786
1009,100,kDN,0.636,0.010903618155864
1509,150,kDN,0.6353333333333333,0.0096032401939252
1999,199,kDN,0.6353333333333333,0.0096032401939252
