,150,500,1000,1500,1590,151,501,1001,1501,1591,152,502,1002,1502,1592,153,503,1003,1503,1593,154,504,1004,1504,1594,155,505,1005,1505,1595,156,506,1006,1506,1596,157,507,1007,1507,1597,158,508,1008,1508,1598,159,509,1009,1509,1599
n_ensemble,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159,15,50,100,150,159
weights,CLD,CLD,CLD,CLD,CLD,DCP,DCP,DCP,DCP,DCP,F1,F1,F1,F1,F1,Hostility,Hostility,Hostility,Hostility,Hostility,LSC,LSC,LSC,LSC,LSC,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,TD_U,TD_U,TD_U,TD_U,TD_U,Uniform,Uniform,Uniform,Uniform,Uniform,kDN,kDN,kDN,kDN,kDN
accuracy_mean,0.9183333333333332,0.9256666666666667,0.9216666666666666,0.923,0.9236666666666666,0.9603333333333334,0.9563333333333331,0.9576666666666668,0.9566666666666668,0.9566666666666668,0.972,0.9756666666666666,0.9746666666666666,0.975,0.9756666666666666,0.9463333333333332,0.948,0.9496666666666668,0.9493333333333334,0.9493333333333334,0.9476666666666668,0.9496666666666668,0.9506666666666664,0.9523333333333334,0.9513333333333334,0.9603333333333334,0.9636666666666668,0.962,0.9623333333333332,0.9626666666666668,0.9496666666666668,0.9496666666666668,0.9526666666666668,0.9523333333333334,0.9516666666666664,0.96,0.9673333333333334,0.9656666666666668,0.9646666666666668,0.965,0.9766666666666668,0.9783333333333332,0.977,0.9773333333333334,0.9773333333333334,0.933,0.9346666666666668,0.9373333333333334,0.937,0.938
accuracy_std,0.0061237243569579,0.0111554670204543,0.0100692049779955,0.009817784316682,0.0098882646494609,0.013560563737872,0.0120991276085877,0.0133645467978196,0.0135912553585834,0.0140929454377397,0.0080277297191948,0.0060781941762701,0.0068109389139007,0.0049999999999999,0.0048016200969626,0.0130384048104052,0.0153839743456191,0.013763881881375,0.0146534030935555,0.0139741825441697,0.0133124836984772,0.0126051136007927,0.0145583118679483,0.0132077418374393,0.0141126420866777,0.0112051575426477,0.0084491945704243,0.0115710366384731,0.0107108460087063,0.0109671225842413,0.0128776291813878,0.0134577528254575,0.0139741825441697,0.0147478812037526,0.0161158996715114,0.0088191710368819,0.0094721814922551,0.0084656167328002,0.0099582461641931,0.0102740233382816,0.0060092521257733,0.0062360956446232,0.0072072494368132,0.0063025568003963,0.0063025568003963,0.013763881881375,0.0151107026088575,0.0139741825441697,0.0136116779927302,0.0135092560861062
