,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.8146881287726359,0.0293300537945827
500,50,CLD,0.811871227364185,0.0315427250579724
1000,100,CLD,0.811871227364185,0.0315427250579724
1500,150,CLD,0.811871227364185,0.0315427250579724
1990,199,CLD,0.811871227364185,0.0315427250579724
151,15,DCP,0.8061569416498994,0.0378132065405372
501,50,DCP,0.8204426559356136,0.0332852369578481
1001,100,DCP,0.811871227364185,0.0281222664703573
1501,150,DCP,0.8090140845070423,0.0285382526235685
1991,199,DCP,0.8090140845070423,0.0285382526235685
152,15,F1,0.811871227364185,0.0315427250579724
502,50,F1,0.8261569416498993,0.0398920952255506
1002,100,F1,0.8261569416498993,0.0398920952255506
1502,150,F1,0.8261569416498993,0.0398920952255506
1992,199,F1,0.8261569416498993,0.0398920952255506
153,15,Hostility,0.8261569416498993,0.0312911227591023
503,50,Hostility,0.8204426559356136,0.0264526696957789
1003,100,Hostility,0.8232997987927565,0.0300110569386603
1503,150,Hostility,0.8261569416498993,0.0343979068575149
1993,199,Hostility,0.8204426559356136,0.0264526696957789
154,15,LSC,0.8147283702213279,0.0339859821410794
504,50,LSC,0.811871227364185,0.0281222664703573
1004,100,LSC,0.8147283702213279,0.0308377260744158
1504,150,LSC,0.8204426559356136,0.0332852369578481
1994,199,LSC,0.8204426559356136,0.0332852369578481
155,15,N1,0.8089738430583502,0.0351190514216033
505,50,N1,0.8204426559356136,0.0332852369578481
1005,100,N1,0.8175855130784708,0.0261246511724118
1505,150,N1,0.8232997987927565,0.0282599136985409
1995,199,N1,0.8147283702213279,0.0273291733645137
156,15,N2,0.8175855130784708,0.0261246511724118
506,50,N2,0.8147283702213279,0.0308377260744158
1006,100,N2,0.8061569416498994,0.0364389595426488
1506,150,N2,0.8147283702213279,0.0308377260744158
1996,199,N2,0.8147283702213279,0.0308377260744158
157,15,TD_U,0.8175452716297787,0.0332005365255516
507,50,TD_U,0.811871227364185,0.0281222664703573
1007,100,TD_U,0.811871227364185,0.0281222664703573
1507,150,TD_U,0.811871227364185,0.0281222664703573
1997,199,TD_U,0.8204426559356136,0.0332852369578481
158,15,Uniform,0.8204426559356136,0.0332852369578481
508,50,Uniform,0.8175855130784708,0.0314423257387202
1008,100,Uniform,0.811871227364185,0.0281222664703573
1508,150,Uniform,0.811871227364185,0.0281222664703573
1998,199,Uniform,0.811871227364185,0.0281222664703573
159,15,kDN,0.8147283702213279,0.0273291733645137
509,50,kDN,0.8147283702213279,0.0273291733645137
1009,100,kDN,0.811871227364185,0.0315427250579724
1509,150,kDN,0.811871227364185,0.0315427250579724
1999,199,kDN,0.8147283702213279,0.0273291733645137
