,n_ensemble,weights,accuracy_mean_split1,accuracy_std_split1,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split1_extreme,accuracy_std_split1_extreme,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4_extreme,accuracy_std_split4_extreme
150,15,CLD,0.9578015836050304,0.0266534221967127,0.9490141282409564,0.0169594224170915,0.9472442167365316,0.0140673939804765,0.9490296537804688,0.0200143715679937,0.9542772861356932,0.0266881834016944,0.952522900170781,0.0160560465303317
500,50,CLD,0.9542928116752056,0.0200449686891635,0.9507685142058688,0.0182829626081329,0.9507685142058688,0.0147934645184906,0.9490451793199812,0.0168336337847843,0.9595559695699424,0.0220832039878526,0.9525384257102936,0.0159747730034237
1000,100,CLD,0.9542928116752056,0.0243755543909696,0.9578015836050304,0.0190825712886022,0.9507685142058688,0.0147934645184906,0.9490296537804688,0.019028969831239,0.956047197640118,0.021535244109516,0.9507840397453812,0.0202157936123145
1500,150,CLD,0.956047197640118,0.0232532469066897,0.9542928116752056,0.0144718308320673,0.9507685142058688,0.0147934645184906,0.9490296537804688,0.0130282312967121,0.956047197640118,0.0176032165572769,0.9490141282409564,0.0169594224170915
1990,199,CLD,0.9578015836050304,0.024392309966989,0.956047197640118,0.0164742179401291,0.9542772861356932,0.0145638332789408,0.952553951249806,0.0099689500090442,0.9542928116752056,0.0115103055904238,0.9525384257102936,0.0159747730034236
151,15,DCP,0.9472442167365316,0.0298397779654141,0.9490296537804688,0.0179896724932581,0.9472752678155564,0.0107453951485476,0.9507840397453812,0.0260382784826551,0.9455208818506442,0.0258664178147607,0.9507685142058688,0.0212058211583737
501,50,DCP,0.9472752678155564,0.0316283286728728,0.9507685142058688,0.0220943483140925,0.9543083372147182,0.0235309642479442,0.9542928116752056,0.0243755543909696,0.945505356311132,0.0227488229291273,0.947259742276044,0.0215435112961813
1001,100,DCP,0.9507840397453812,0.0320039424782625,0.9525229001707808,0.0212170571074725,0.9542928116752056,0.0227424910469388,0.9507840397453812,0.0228931963833415,0.947259742276044,0.022418658643911,0.9490141282409564,0.0169594224170915
1501,150,DCP,0.9490296537804688,0.0306464082592222,0.9542928116752056,0.0180237070799133,0.9507685142058688,0.0245678724495018,0.9525384257102936,0.0211556199301388,0.9560627231796304,0.0186088827743305,0.9525229001707808,0.0212170571074725
1991,199,DCP,0.9490296537804688,0.0306464082592222,0.9525384257102936,0.0202258962274845,0.9490296537804688,0.0168865313191067,0.9525384257102936,0.0211556199301388,0.956047197640118,0.0176032165572769,0.9507685142058688,0.0202783992114125
152,15,F1,0.9490451793199812,0.0129595947903354,0.9490141282409564,0.0097598732883051,0.9525384257102936,0.0147214128427742,0.9542928116752056,0.0130751868517607,0.9490451793199812,0.0265815418487885,0.9507840397453812,0.0182134993487981
502,50,F1,0.9560627231796304,0.0186088827743306,0.9490141282409564,0.0097598732883051,0.9490296537804688,0.0130282312967121,0.943766495885732,0.0099627823759466,0.952553951249806,0.0201783789158331,0.95954044403043,0.0230003676134115
1002,100,F1,0.9578015836050304,0.0210021732168748,0.9507685142058688,0.0119121719099756,0.947259742276044,0.0139574082122752,0.9490296537804688,0.0157060995656993,0.952553951249806,0.0201783789158331,0.9542772861356932,0.0236297614797191
1502,150,F1,0.956047197640118,0.0176032165572769,0.9507685142058688,0.0119121719099756,0.947259742276044,0.0139574082122752,0.952553951249806,0.0159145678539155,0.945505356311132,0.0190687031275525,0.952522900170781,0.0202901487396775
1992,199,F1,0.956047197640118,0.0176032165572769,0.947259742276044,0.008910056943339,0.9490141282409564,0.0145146565882323,0.9455208818506444,0.0129968333474764,0.9490141282409564,0.0210122705678231,0.956047197640118,0.0176032165572769
153,15,Hostility,0.956047197640118,0.0063686417859527,0.9525384257102936,0.0100647834957764,0.9595559695699424,0.0182694934980433,0.9507685142058688,0.0080593477878661,0.9630647414997672,0.0227873590652026,0.9490296537804688,0.0114569382601598
503,50,Hostility,0.956047197640118,0.0139446442726891,0.956047197640118,0.0124891844196619,0.9525384257102936,0.0159747730034237,0.9578015836050304,0.0145000352168719,0.9648191274646796,0.0187186923617085,0.9542772861356932,0.0145638332789408
1003,100,Hostility,0.9542928116752056,0.0190611487934498,0.9525384257102936,0.0100647834957765,0.9542928116752056,0.0190611487934497,0.9578015836050304,0.0115457467685505,0.9595559695699424,0.0171843247249211,0.9560316721006056,0.0140425265001779
1503,150,Hostility,0.9507840397453812,0.0133355934564086,0.952522900170781,0.0134480436248976,0.956047197640118,0.0206226419847926,0.9595559695699424,0.0147768150629459,0.9595559695699424,0.0182694934980433,0.9560316721006056,0.0206889537930096
1993,199,Hostility,0.9542928116752056,0.0144718308320672,0.9525384257102936,0.0100647834957765,0.956047197640118,0.0206226419847926,0.9595559695699424,0.0147768150629459,0.956047197640118,0.012489184419662,0.9542772861356932,0.0158296751767147
154,15,LSC,0.9542928116752056,0.0130751868517607,0.9455208818506444,0.0114212215037867,0.9507685142058688,0.0134303096031449,0.9420121099208196,0.0170650329023642,0.9454898307716194,0.0170200740611201,0.9507840397453812,0.0220369023282022
504,50,LSC,0.9542928116752056,0.0200449686891635,0.956047197640118,0.0224107142965136,0.9507685142058688,0.0253387792349691,0.9507995652848936,0.0099518587170986,0.9507840397453812,0.0133355934564086,0.9542928116752056,0.0169227846549852
1004,100,LSC,0.9472752678155564,0.0138712028946829,0.9490296537804688,0.0218522726989379,0.9507840397453812,0.018213499348798,0.9490451793199812,0.0129595947903354,0.9542928116752056,0.0169227846549852,0.9542928116752056,0.0190611487934497
1504,150,LSC,0.9472752678155564,0.0186092389806655,0.9455208818506444,0.0179669469514477,0.9542928116752056,0.0169227846549852,0.9490296537804688,0.0157060995656993,0.9525384257102936,0.0171367076457069,0.9525384257102936,0.0159747730034237
1994,199,LSC,0.9490296537804688,0.0200143715679938,0.9455208818506444,0.0179669469514477,0.9525384257102936,0.0171367076457069,0.9490296537804688,0.0130282312967121,0.956047197640118,0.0196677397280271,0.9542928116752056,0.0190611487934497
155,15,N1,0.9454898307716194,0.0191475761884642,0.956047197640118,0.0139446442726891,0.9543083372147182,0.015681813257717,0.9507840397453812,0.0182134993487981,0.9525694767893184,0.0158756707758154,0.952553951249806,0.0181719625473945
505,50,N1,0.9525384257102936,0.0159747730034237,0.952522900170781,0.0148095662921189,0.9595714951094548,0.0133299889932727,0.9525384257102936,0.0211556199301388,0.9507995652848936,0.0099518587170986,0.9560627231796304,0.0164116959898039
1005,100,N1,0.947259742276044,0.0176133294204881,0.9507685142058688,0.0134303096031449,0.9578171091445428,0.0130251087871979,0.9507685142058688,0.0171986437054458,0.9525384257102936,0.0133509033276361,0.952522900170781,0.0160560465303318
1505,150,N1,0.9490141282409564,0.0169594224170915,0.952522900170781,0.0148095662921189,0.9543083372147182,0.0129989428109704,0.9542928116752056,0.0144718308320672,0.956047197640118,0.0139446442726891,0.952522900170781,0.0160560465303318
1995,199,N1,0.9507685142058688,0.0171986437054458,0.9507685142058688,0.0147934645184906,0.9560627231796304,0.012406596470878,0.9542928116752056,0.0144718308320672,0.952522900170781,0.0148095662921189,0.952522900170781,0.0148095662921189
156,15,N2,0.947290793355069,0.0247770416168826,0.9419810588417948,0.0260963953261964,0.9472442167365316,0.0224872982990412,0.956047197640118,0.0176032165572769,0.948998602701444,0.0158839244573637,0.9542772861356932,0.0266881834016944
506,50,N2,0.9507685142058688,0.0171986437054458,0.9542772861356932,0.0219412596434522,0.9542928116752056,0.0243755543909696,0.956047197640118,0.0196677397280271,0.9542772861356932,0.0180976619773751,0.956047197640118,0.0284609755045058
1006,100,N2,0.9490141282409564,0.0235994839707555,0.9542772861356932,0.0228011458300872,0.956047197640118,0.0176032165572769,0.9542928116752056,0.0200449686891635,0.9507685142058688,0.0220943483140925,0.9525384257102932,0.0192513246760179
1506,150,N2,0.9507685142058688,0.0253387792349691,0.9560316721006056,0.0256685228945956,0.9507685142058688,0.0182829626081329,0.956047197640118,0.0256151053281852,0.947259742276044,0.0206312748647575,0.956047197640118,0.0164742179401291
1996,199,N2,0.9525384257102936,0.0245245542329019,0.9560316721006056,0.0256685228945956,0.9542772861356932,0.0201114922841235,0.956047197640118,0.021535244109516,0.9490141282409564,0.0210122705678231,0.9525384257102932,0.0192513246760179
157,15,TD_U,0.9419965843813072,0.0079101062105177,0.947259742276044,0.0164850234106936,0.9543083372147182,0.0179684729428223,0.9437509703462196,0.0274875829636903,0.9455208818506442,0.0095901472467865,0.9507840397453812,0.0100444661375097
507,50,TD_U,0.9613258810743672,0.0171303592545237,0.9525384257102936,0.0220461704396025,0.9507840397453812,0.0100444661375097,0.9490296537804688,0.0209534829010652,0.9543083372147182,0.0168639450744309,0.9543083372147182,0.0095930058561354
1007,100,TD_U,0.9595559695699424,0.0182694934980433,0.947259742276044,0.0164850234106936,0.9472752678155564,0.0107453951485476,0.952553951249806,0.0181719625473946,0.9595714951094548,0.0182093962627768,0.9560627231796304,0.0138707250140257
1507,150,TD_U,0.9578015836050304,0.0210021732168748,0.952522900170781,0.0193188187903589,0.9490296537804688,0.0130282312967121,0.9490451793199812,0.014367479721691,0.9595714951094548,0.0182093962627768,0.9525384257102936,0.0118225734609842
1997,199,TD_U,0.9578015836050304,0.0190825712886022,0.9507685142058688,0.0182829626081329,0.9490296537804688,0.0130282312967121,0.9543083372147182,0.0168639450744309,0.9595714951094548,0.0182093962627768,0.9542928116752056,0.0190611487934498
158,15,Uniform,0.9507529886663562,0.0161412046398125,0.9578171091445428,0.0130251087871979,0.9542617605961808,0.0201947228051885,0.947259742276044,0.008910056943339,0.9419965843813072,0.0159667361216763,0.9542772861356932,0.0191310936820361
508,50,Uniform,0.9542928116752056,0.0115103055904238,0.956047197640118,0.0139446442726891,0.95954044403043,0.0221482173984399,0.956047197640118,0.0124891844196619,0.9472752678155564,0.0087744025708259,0.9507685142058688,0.010169880195425
1008,100,Uniform,0.9525384257102936,0.0171367076457069,0.9542772861356932,0.0180976619773751,0.9507685142058688,0.0171986437054458,0.952522900170781,0.0134480436248976,0.9525384257102936,0.0133509033276361,0.9507685142058688,0.0171986437054458
1508,150,Uniform,0.9542928116752056,0.0169227846549852,0.952522900170781,0.0148095662921188,0.9507685142058688,0.0147934645184906,0.952522900170781,0.0182959936333397,0.9525384257102936,0.0133509033276361,0.952522900170781,0.0182959936333397
1998,199,Uniform,0.956047197640118,0.0196677397280271,0.952522900170781,0.0148095662921188,0.9560316721006056,0.0176808563078473,0.947259742276044,0.0125034342314651,0.9525384257102936,0.0133509033276361,0.9507685142058688,0.0171986437054458
159,15,kDN,0.9472752678155564,0.0138712028946829,0.9384567613724576,0.0165993903371929,0.9542772861356932,0.0116257682296592,0.9437509703462196,0.0202313328620268,0.9525073746312686,0.0282791533275995,0.9507529886663562,0.0212815734695976
509,50,kDN,0.945505356311132,0.0227488229291273,0.9490296537804688,0.0168865313191067,0.9455053563111318,0.0074718423148921,0.9437509703462196,0.0253011281945137,0.945505356311132,0.0180316960528735,0.956047197640118,0.0224107142965136
1009,100,kDN,0.9490141282409564,0.0190936838134598,0.9507685142058688,0.0182829626081329,0.9454898307716194,0.0219556326067729,0.943735444806707,0.0282309534742283,0.9437509703462196,0.0202313328620268,0.9490296537804688,0.0200143715679938
1509,150,kDN,0.9490141282409564,0.0190936838134598,0.9490141282409564,0.0169594224170915,0.9419810588417948,0.0172130207920045,0.947259742276044,0.0248599353310251,0.9507685142058688,0.0212058211583737,0.9507840397453812,0.0182134993487981
1999,199,kDN,0.9490141282409564,0.0190936838134598,0.9490141282409564,0.0190936838134598,0.9507685142058688,0.0212058211583737,0.9490141282409564,0.0273733908349609,0.9490141282409564,0.0190936838134598,0.9507685142058688,0.0212058211583737
