,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split9,accuracy_std_split9
150,15,CLD,0.9402421984163952,0.0266166459734486,0.9384567613724576,0.0177204157961942,0.9525384257102936,0.0252967811538555,0.943766495885732,0.0319784000042971,0.9490296537804688,0.0200143715679937,0.9455208818506442,0.0265997170472034
500,50,CLD,0.936717900947058,0.0287330195439564,0.943735444806707,0.0160735641391334,0.9542928116752056,0.0243755543909697,0.9525384257102932,0.0252967811538556,0.9490296537804688,0.0200143715679937,0.9578015836050304,0.0287371718174695
1000,100,CLD,0.9402421984163952,0.0266166459734486,0.9525073746312686,0.0183855920721554,0.9525384257102932,0.0229021179692079,0.956047197640118,0.0206226419847926,0.9542928116752056,0.0227424910469388,0.9542928116752056,0.0227424910469388
1500,150,CLD,0.9349635149821456,0.0253055221149088,0.947228691197019,0.0188560537661807,0.9525384257102932,0.0229021179692079,0.9578015836050304,0.0210021732168748,0.956047197640118,0.0256151053281852,0.952522900170781,0.0253481832567805
1990,199,CLD,0.936717900947058,0.0251638536396118,0.9454743052321068,0.0202188189660549,0.9525384257102932,0.0229021179692079,0.956047197640118,0.0232532469066897,0.9542928116752056,0.0169227846549851,0.9542772861356932,0.0266881834016944
151,15,DCP,0.9332401800962582,0.0384947682541583,0.9437509703462196,0.0253011281945137,0.9525384257102936,0.0252967811538556,0.9472752678155564,0.0270377058877907,0.947290793355069,0.0123377985962874,0.9419655333022824,0.0254186914242269
501,50,DCP,0.9402421984163952,0.0342071097866814,0.9542772861356932,0.0244302886600206,0.9419965843813072,0.028170266812873,0.956047197640118,0.0206226419847926,0.9525384257102936,0.0211556199301388,0.9472442167365316,0.0177006130592274
1001,100,DCP,0.9455208818506444,0.0353011645264075,0.9507840397453812,0.0252887043937958,0.947259742276044,0.029788085195718,0.9525384257102936,0.0182247119417,0.9525384257102936,0.0211556199301388,0.9507685142058688,0.0220943483140925
1501,150,DCP,0.9455053563111318,0.0374485861201945,0.947259742276044,0.0263621535066803,0.9490296537804688,0.0293641888419193,0.9542772861356932,0.0219412596434522,0.9507685142058688,0.0220943483140925,0.952522900170781,0.0237820024718756
1991,199,DCP,0.9437509703462196,0.0354361554163464,0.947259742276044,0.0256220561447801,0.9507840397453812,0.0267668698723593,0.952522900170781,0.0237820024718756,0.9560316721006056,0.0285090612487405,0.9542772861356932,0.0219412596434522
152,15,F1,0.9402421984163948,0.0114605932011905,0.9349479894426332,0.0172452336873924,0.9402577239559072,0.0226705175147344,0.9472752678155564,0.013871202894683,0.9490296537804688,0.0096326558058304,0.9490141282409564,0.0115641040736966
502,50,F1,0.9437509703462196,0.013359138102177,0.9420121099208196,0.0191875506723969,0.947259742276044,0.0139574082122752,0.9507995652848936,0.0181625920635294,0.9490141282409564,0.0210122705678231,0.952553951249806,0.0181719625473945
1002,100,F1,0.945505356311132,0.0115228113073868,0.9490141282409564,0.0190936838134598,0.947259742276044,0.0139574082122752,0.9490141282409564,0.0145146565882323,0.9542928116752056,0.0144718308320672,0.9507840397453812,0.0192407103546668
1502,150,F1,0.9437509703462196,0.0079401789376873,0.9490296537804688,0.0200143715679938,0.9490296537804688,0.0114569382601598,0.9507685142058688,0.0160411959929226,0.956047197640118,0.0164742179401291,0.9507840397453812,0.0202157936123145
1992,199,F1,0.9402266728768824,0.0115825363385939,0.9490296537804688,0.0200143715679938,0.9472752678155564,0.0107453951485476,0.9490296537804688,0.0130282312967121,0.9542928116752056,0.0144718308320672,0.9542928116752056,0.0200449686891635
153,15,Hostility,0.947228691197019,0.0188560537661807,0.9490296537804688,0.0200143715679938,0.956047197640118,0.0176032165572768,0.957786058065518,0.015859758472371,0.9525384257102932,0.0192513246760179,0.9630492159602546,0.0211028150923516
503,50,Hostility,0.952522900170781,0.0237820024718756,0.9525384257102932,0.0079263163192835,0.9578015836050302,0.0157709986276722,0.9525384257102936,0.0171367076457069,0.9578015836050304,0.0210021732168748,0.9613103555348548,0.021203846084493
1003,100,Hostility,0.952522900170781,0.0237820024718756,0.9525384257102932,0.0079263163192835,0.9542928116752056,0.0200449686891635,0.9542928116752056,0.0144718308320672,0.9542928116752056,0.0190611487934497,0.9578015836050304,0.0157709986276722
1503,150,Hostility,0.9542772861356932,0.0266881834016944,0.9542928116752056,0.0074525419782725,0.956047197640118,0.021535244109516,0.956047197640118,0.0164742179401291,0.9542928116752056,0.0190611487934497,0.956047197640118,0.0164742179401291
1993,199,Hostility,0.9542772861356932,0.0219412596434522,0.9542928116752056,0.0115103055904238,0.956047197640118,0.021535244109516,0.9578015836050304,0.0190825712886022,0.9525384257102936,0.0159747730034236,0.9578015836050304,0.0157709986276722
154,15,LSC,0.9384878124514828,0.0297480539384216,0.9472442167365316,0.0140673939804765,0.943766495885732,0.0146518654764851,0.9472442167365316,0.0216149302188684,0.947259742276044,0.0152735922568203,0.9402266728768824,0.0210224203987783
504,50,LSC,0.9402266728768826,0.028751972517692,0.945505356311132,0.0115228113073868,0.9419965843813072,0.0182176676670279,0.9437509703462196,0.0159816558491311,0.9507840397453812,0.018213499348798,0.945505356311132,0.0227488229291274
1004,100,LSC,0.9402266728768824,0.023608521527057,0.9490141282409564,0.0115641040736966,0.9455208818506444,0.0114212215037868,0.9455208818506444,0.0156800647291108,0.945505356311132,0.0227488229291274,0.9490296537804688,0.0168865313191067
1504,150,LSC,0.9419965843813072,0.0252917066765846,0.947259742276044,0.0125034342314651,0.9490451793199812,0.014367479721691,0.9490296537804688,0.0157060995656992,0.9490296537804688,0.0168865313191067,0.9472752678155564,0.0164120998836983
1994,199,LSC,0.9402266728768824,0.0210224203987782,0.9490141282409564,0.0145146565882323,0.9490451793199812,0.0189820436003941,0.9507840397453812,0.018213499348798,0.947259742276044,0.0164850234106937,0.945505356311132,0.0169312931024096
155,15,N1,0.9490296537804688,0.0096326558058304,0.9507995652848936,0.0170706289879039,0.948998602701444,0.0201542194555208,0.9490296537804688,0.0130282312967121,0.957786058065518,0.0132130687561563,0.9490296537804688,0.0157060995656992
505,50,N1,0.9507995652848936,0.0181625920635294,0.9595870206489676,0.017076293817756,0.9578015836050304,0.0169469104599497,0.9490296537804688,0.0114569382601598,0.9525384257102936,0.0133509033276361,0.9472752678155564,0.0138712028946829
1005,100,N1,0.9507840397453812,0.0100444661375097,0.952553951249806,0.0132788070672727,0.956047197640118,0.0164742179401291,0.9507840397453812,0.0147075296789815,0.9525384257102936,0.0133509033276361,0.9507840397453812,0.0147075296789815
