,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.6140000000000001,0.0489131884055824
500,50,CLD,0.697,0.0144048602908879
1000,100,CLD,0.704,0.0201246117974981
1500,150,CLD,0.701,0.0221923410211721
1990,199,CLD,0.6950000000000001,0.0324037034920392
151,15,DCP,0.6839999999999999,0.0119373363863132
501,50,DCP,0.682,0.0130384048104052
1001,100,DCP,0.683,0.0135092560861062
1501,150,DCP,0.683,0.0135092560861062
1991,199,DCP,0.683,0.0135092560861062
152,15,F1,0.6900000000000001,0.0269258240356724
502,50,F1,0.685,0.0127475487839819
1002,100,F1,0.6839999999999999,0.0143178210632763
1502,150,F1,0.687,0.0103682206766638
1992,199,F1,0.686,0.0108397416943393
153,15,Hostility,0.683,0.0135092560861062
503,50,Hostility,0.683,0.0135092560861062
1003,100,Hostility,0.683,0.0135092560861062
1503,150,Hostility,0.683,0.0135092560861062
1993,199,Hostility,0.683,0.0135092560861062
154,15,LSC,0.683,0.0152479506819768
504,50,LSC,0.683,0.0148323969741913
1004,100,LSC,0.683,0.0148323969741913
1504,150,LSC,0.682,0.0130384048104052
1994,199,LSC,0.682,0.0135092560861062
155,15,N1,0.681,0.0129421791055447
505,50,N1,0.682,0.0148323969741912
1005,100,N1,0.683,0.0135092560861062
1505,150,N1,0.6839999999999999,0.015165750888103
1995,199,N1,0.683,0.0135092560861062
156,15,N2,0.686,0.0147478812037525
506,50,N2,0.6839999999999999,0.0143178210632763
1006,100,N2,0.685,0.0209165006633518
1506,150,N2,0.6880000000000001,0.0272946881279123
1996,199,N2,0.6839999999999999,0.015165750888103
157,15,TD_U,0.678,0.0160468065358811
507,50,TD_U,0.682,0.0225277606521375
1007,100,TD_U,0.68,0.0231840462387392
1507,150,TD_U,0.683,0.0216794833886787
1997,199,TD_U,0.686,0.0281513765205184
158,15,Uniform,0.685,0.0122474487139158
508,50,Uniform,0.683,0.0125499003980111
1008,100,Uniform,0.685,0.0093541434669347
1508,150,Uniform,0.6839999999999999,0.0096176920308355
1998,199,Uniform,0.6839999999999999,0.0096176920308356
159,15,kDN,0.683,0.0135092560861062
509,50,kDN,0.682,0.0130384048104052
1009,100,kDN,0.683,0.0135092560861062
1509,150,kDN,0.683,0.0135092560861062
1999,199,kDN,0.683,0.0135092560861062
