,RANKING,,,,,,,,,RANKING classes,,,,,
,,,,,,,,,,,,,,,
,n_ensemble,15,50,100,150,159,,,,n_ensemble,15,50,100,150,159
Uniform,,,,,,,,,Uniform,,,,,,
,accuracy_mean,0.879,0.884,0.884,0.885,0.885,,,,accuracy_mean,,,,,
,accuracy_std,0.011,0.010,0.013,0.011,0.012,,,,accuracy_std,,,,,
CLD,,,,,,,,,CLD,,,,,,
,accuracy_mean,0.886,0.883,0.884,0.883,0.883,,,,accuracy_mean,,,,,
,accuracy_std,0.007,0.005,0.008,0.007,0.006,,,,accuracy_std,,,,,
DCP,,,,,,,,,DCP,,,,,,
,accuracy_mean,0.889,0.890,0.890,0.890,0.890,,,,accuracy_mean,,,,,
,accuracy_std,0.011,0.013,0.013,0.015,0.015,,,,accuracy_std,,,,,
F1,,,,,,,,,F1,,,,,,
,accuracy_mean,0.881,0.881,0.884,0.888,0.887,,,,accuracy_mean,,,,,
,accuracy_std,0.009,0.013,0.008,0.009,0.010,,,,accuracy_std,,,,,
Hostility,,,,,,,,,Hostility,,,,,,
,accuracy_mean,0.898,0.895,0.896,0.895,0.895,,,,accuracy_mean,,,,,
,accuracy_std,0.011,0.009,0.012,0.010,0.011,,,,accuracy_std,,,,,
LSC,,,,,,,,,LSC,,,,,,
,accuracy_mean,0.893,0.895,0.896,0.897,0.897,,,,accuracy_mean,,,,,
,accuracy_std,0.009,0.009,0.009,0.009,0.009,,,,accuracy_std,,,,,
N1,,,,,,,,,N1,,,,,,
,accuracy_mean,0.894,0.896,0.894,0.895,0.894,,,,accuracy_mean,,,,,
,accuracy_std,0.012,0.009,0.009,0.008,0.009,,,,accuracy_std,,,,,
N2,,,,,,,,,N2,,,,,,
,accuracy_mean,0.895,0.895,0.895,0.894,0.894,,,,accuracy_mean,,,,,
,accuracy_std,0.010,0.011,0.011,0.010,0.011,,,,accuracy_std,,,,,
TD_U,,,,,,,,,TD_U,,,,,,
,accuracy_mean,0.883,0.888,0.888,0.889,0.891,,,,accuracy_mean,,,,,
,accuracy_std,0.008,0.008,0.014,0.015,0.014,,,,accuracy_std,,,,,
kDN,,,,,,,,,kDN,,,,,,
,accuracy_mean,0.895,0.896,0.896,0.896,0.896,,,,accuracy_mean,,,,,
,accuracy_std,0.007,0.007,0.007,0.007,0.007,,,,accuracy_std,,,,,
