,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,,,0.9259154929577464,0.0120206804810458,0.920241448692153,0.021592359190834,0.9259154929577464,0.0212277932957476,0.9060764587525152,0.0407859043578993,0.9059959758551308,0.035806240901864,0.9145271629778672,0.0335073196025368,0.9173843058350102,0.0274530307007379
500,50,CLD,,,0.9258752515090544,0.0276067043453808,0.9145674044265594,0.0172179799478277,0.9258752515090544,0.0236230500181539,0.9173843058350102,0.025527006842345,0.9230181086519116,0.0218532742346746,0.9145271629778672,0.0349968753358507,0.9201609657947688,0.0194081048566387
1000,100,CLD,,,0.9258752515090544,0.0188140070029523,0.9116700201207244,0.0212366596409799,0.9202012072434608,0.0192836963349369,0.9258752515090544,0.0236230500181539,0.9144869215291752,0.0203850842544486,0.9174245472837022,0.0183101908122172,0.9230583501006036,0.0163823970595081
1500,150,CLD,,,0.9287726358148892,0.0175021390336638,0.9145271629778672,0.0267315768640839,0.9287323943661971,0.0227174472587188,0.9259154929577464,0.0212277932957476,0.9230181086519116,0.0165373505170216,0.920241448692153,0.0161909957313605,0.917344064386318,0.0158382183133827
1990,199,CLD,,,0.9287726358148892,0.0175021390336638,0.9145271629778672,0.0267315768640839,0.9344064386317908,0.0297409217461118,0.923098591549296,0.0215523859911291,0.9202012072434608,0.0192836963349369,0.9173843058350102,0.0118921821671414,0.9145271629778672,0.0142959127028592
151,15,DCP,,,0.9003621730382294,0.0262501820584761,0.8917505030181087,0.0161624657612325,0.88897384305835,0.0228081523614786,0.8917505030181087,0.0075593430157622,0.8832595573440644,0.0305634398887811,0.8975855130784709,0.0438234734360749,0.894728370221328,0.0286638768450354
501,50,DCP,,,0.8889336016096581,0.0151668092917849,0.8832595573440644,0.0179409854767222,0.8917907444668007,0.0157433578719919,0.9003621730382294,0.0195690983216793,0.8946881287726358,0.0208045760038171,0.8975050301810865,0.0206483143604323,0.9003621730382294,0.0220224981655144
1001,100,DCP,,,0.886076458752515,0.0138492861850648,0.8917907444668008,0.0120752847071645,0.8975050301810865,0.0149087643107727,0.88897384305835,0.0228081523614786,0.8975452716297786,0.0226183254589621,0.8975050301810865,0.0206483143604322,0.8975050301810865,0.0149087643107727
1501,150,DCP,,,0.8832193158953722,0.0183642811175945,0.886076458752515,0.0138492861850648,0.8975050301810865,0.0149087643107727,0.8918309859154929,0.0182664708021109,0.8946881287726358,0.0208045760038171,0.8946881287726358,0.0208045760038171,0.8975050301810865,0.0206483143604323
1991,199,DCP,,,0.8889336016096578,0.0113133234624862,0.8917907444668008,0.0187054573163059,0.8975050301810865,0.0149087643107727,0.8918309859154929,0.0182664708021109,0.8946881287726358,0.0208045760038171,0.8946881287726358,0.0208045760038171,0.8917907444668007,0.0157433578719919
152,15,F1,,,0.8889336016096578,0.0338880428917361,0.9060362173038228,0.0187554941028051,0.9003219315895372,0.0095426128130115,0.9003621730382294,0.0346305665523364,0.9173843058350102,0.0185877817221296,0.8917907444668008,0.0187054573163059,0.9088531187122736,0.0125549128031967
502,50,F1,,,0.8975050301810865,0.0322272832222391,0.9003219315895372,0.0138961244822282,0.9060362173038228,0.0158027764242182,0.8975050301810865,0.0288879932019058,0.920281690140845,0.0188058283096093,0.9060764587525152,0.0232602883623541,0.9088531187122736,0.0125549128031967
1002,100,F1,,,0.8975050301810865,0.0322272832222391,0.9088531187122736,0.0215348156359757,0.9060362173038228,0.0213028020543516,0.8975050301810865,0.0337733415612513,0.9117102615694164,0.0184197511505726,0.9061167002012072,0.0336989397491246,0.8974647887323943,0.0056689047316895
1502,150,F1,,,0.8946478873239437,0.0292832932705959,0.9088531187122736,0.0215348156359757,0.9088933601609656,0.0256045210200486,0.9032193158953724,0.0269685267369334,0.9145674044265594,0.0139433861438773,0.9032595573440644,0.0334377745393158,0.903138832997988,0.0062610702578114
1992,199,F1,,,0.8946478873239437,0.0292832932705959,0.9088531187122736,0.0215348156359757,0.90317907444668,0.0182663599857467,0.9061167002012072,0.03052108955398,0.9117102615694164,0.0116277942790522,0.9060764587525152,0.0232602883623541,0.9088128772635814,0.0164026484701235
