,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.735650623885918,0.0364610409612121
500,50,CLD,0.7317460317460317,0.0320501124792743
1000,100,CLD,0.7356591121297004,0.0361164125073665
1500,150,CLD,0.7356591121297004,0.0361164125073665
1990,199,CLD,0.738256514727103,0.0375521981897873
151,15,DCP,0.7160852219675748,0.0250644163335584
501,50,DCP,0.7265342500636618,0.028783949437683
1001,100,DCP,0.7265342500636618,0.028783949437683
1501,150,DCP,0.7265342500636618,0.028783949437683
1991,199,DCP,0.7265342500636618,0.028783949437683
152,15,F1,0.7317460317460317,0.0320501124792743
502,50,F1,0.731729055258467,0.0325171895550359
1002,100,F1,0.734334946099652,0.0331601828725686
1502,150,F1,0.7330277565571683,0.0320974972735799
1992,199,F1,0.7330277565571683,0.0333853348701177
153,15,Hostility,0.7278329513623631,0.0286053091319236
503,50,Hostility,0.731729055258467,0.0328397690285535
1003,100,Hostility,0.733044733044733,0.0356947178013109
1503,150,Hostility,0.7304303539597657,0.0318907651109041
1993,199,Hostility,0.7330362448009506,0.0336297507478725
154,15,LSC,0.731729055258467,0.0308537445070304
504,50,LSC,0.7252355487649605,0.0285213674984307
1004,100,LSC,0.7356421356421357,0.0344388381054979
1504,150,LSC,0.734334946099652,0.0331601828725686
1994,199,LSC,0.7252355487649605,0.0299633051772157
155,15,N1,0.7343604108309991,0.0183575321086832
505,50,N1,0.7343264578558697,0.0335471513393063
1005,100,N1,0.731729055258467,0.0334756038994064
1505,150,N1,0.7330362448009506,0.0345573230334158
1995,199,N1,0.734334946099652,0.0364898434408652
156,15,N2,0.7278329513623631,0.0300432182646157
506,50,N2,0.7239368474662593,0.0274233271776176
1006,100,N2,0.7278329513623631,0.0300432182646157
1506,150,N2,0.7278329513623631,0.0293330758208907
1996,199,N2,0.7330617095322978,0.0361697877382575
157,15,TD_U,0.7265257618198795,0.0273683443242967
507,50,TD_U,0.7199898141074612,0.0264823785795951
1007,100,TD_U,0.7252015957898311,0.027387075543489
1507,150,TD_U,0.7291316526610644,0.0301530956889942
1997,199,TD_U,0.7278244631185807,0.0290553929940927
158,15,Uniform,0.7239368474662593,0.0274233271776176
508,50,Uniform,0.7330277565571683,0.0340109719204128
1008,100,Uniform,0.7330362448009506,0.0336297507478725
1508,150,Uniform,0.7330277565571683,0.0340109719204128
1998,199,Uniform,0.731729055258467,0.0334756038994064
159,15,kDN,0.7304303539597657,0.0291265925407352
509,50,kDN,0.7291316526610644,0.0290854042392027
1009,100,kDN,0.731729055258467,0.0325171895550359
1509,150,kDN,0.7343434343434343,0.0349519684591543
1999,199,kDN,0.731729055258467,0.0325171895550359
