,n_ensemble,weights,accuracy_mean,accuracy_std
150,15,CLD,0.7484399788471708,0.0331767054884829
500,50,CLD,0.7386567953463776,0.0409065993231694
1000,100,CLD,0.7354309888947647,0.0411137287115111
1500,150,CLD,0.7387096774193549,0.0403528680973305
1990,199,CLD,0.7387096774193549,0.0403528680973305
151,15,DCP,0.7257006874669487,0.0401945501463984
501,50,DCP,0.7191433104177685,0.0331106817087662
1001,100,DCP,0.7224219989423586,0.034173645980827
1501,150,DCP,0.7224219989423586,0.034173645980827
1991,199,DCP,0.7224219989423586,0.034173645980827
152,15,F1,0.7418826017979905,0.0368415781270783
502,50,F1,0.7484399788471708,0.0331767054884829
1002,100,F1,0.7451612903225807,0.0332875742660408
1502,150,F1,0.7451612903225807,0.0332875742660408
1992,199,F1,0.7451612903225807,0.0332875742660408
153,15,Hostility,0.7190375462718139,0.030418456056344
503,50,Hostility,0.7485457429931254,0.0410398617682831
1003,100,Hostility,0.7485457429931254,0.0410398617682831
1503,150,Hostility,0.748492860920148,0.0325377340134391
1993,199,Hostility,0.751718667371761,0.028243681001008
154,15,LSC,0.7289264939185616,0.0318405416217946
504,50,LSC,0.7289793759915388,0.0451274987919404
1004,100,LSC,0.7257006874669487,0.0418326946536716
1504,150,LSC,0.722316234796404,0.0180501474205776
1994,199,LSC,0.7387096774193548,0.0350033787245257
155,15,N1,0.7485457429931254,0.0456879381840301
505,50,N1,0.7418826017979905,0.0261808990738222
1005,100,N1,0.7418826017979905,0.0261808990738222
1505,150,N1,0.7451612903225807,0.0332875742660408
1995,199,N1,0.7451612903225807,0.0332875742660408
156,15,N2,0.7386039132734004,0.0252796221798294
506,50,N2,0.7255949233209942,0.0252995265265217
1006,100,N2,0.7255949233209942,0.0224876313103489
1506,150,N2,0.7354309888947647,0.0339536267061381
1996,199,N2,0.7354309888947647,0.0339536267061381
157,15,TD_U,0.7452141723955579,0.0462761953051399
507,50,TD_U,0.7255949233209942,0.0192696933404295
1007,100,TD_U,0.7387096774193548,0.0350033787245257
1507,150,TD_U,0.7549973558963512,0.0317069814372897
1997,199,TD_U,0.7451612903225806,0.0265508033582642
158,15,Uniform,0.7321523003701745,0.028015023714639
508,50,Uniform,0.7289793759915388,0.0520418442197866
1008,100,Uniform,0.7420941300898996,0.0564141681506837
1508,150,Uniform,0.741988365943945,0.0409129224476835
1998,199,Uniform,0.741988365943945,0.0409129224476835
159,15,kDN,0.7517715494447382,0.0411811822091576
509,50,kDN,0.751718667371761,0.028243681001008
1009,100,kDN,0.7549973558963512,0.0317069814372897
1509,150,kDN,0.7517186673717611,0.0326565533625133
1999,199,kDN,0.751718667371761,0.028243681001008
