,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.749953314659197,0.0466198060757475,0.7448009506833035,0.0279928394190012,0.7460911637382226,0.0375948188460629,0.7448009506833035,0.0367809056112589,0.7395806807571514,0.0255818649710859,0.746031746031746,0.0410670059202524,0.7630082335964689,0.0369974007815145,0.7551905610729139,0.0308336317069577
500,50,CLD,0.7577370342076224,0.045421785354674,0.7487055428231899,0.0387960333393227,0.7590866649690179,0.0358787431626995,0.7604193192428486,0.0365297367532354,0.7473559120617944,0.0374814525375048,0.7538663950428657,0.0354801558802392,0.756480774127833,0.0371479287928686,0.7578304048892284,0.0293534190563092
1000,100,CLD,0.7681860623037093,0.0418181817664935,0.7552075375604788,0.0366377051732317,0.7655801714625243,0.0319366097364333,0.7617010440539852,0.0337663895330429,0.7486376368729311,0.0398999106294147,0.7538579067990833,0.0334374941765417,0.7551990493166963,0.0349229988185814,0.7565147271029624,0.0360065033059396
1500,150,CLD,0.7668873610050081,0.03859346450369,0.7565062388591801,0.0405118097184434,0.7642729819200407,0.037014259351706,0.7552160258042611,0.0302479463409226,0.7525507172565996,0.0383238049692401,0.7538918597742128,0.0340370426014391,0.749978779390544,0.0431887836925677,0.7552245140480435,0.0376154514399046
1990,199,CLD,0.7694847636024107,0.0408230764985394,0.7578134284016637,0.0417174794962637,0.7629827688651218,0.0391918242018629,0.7617349970291147,0.0344068085000703,0.7538494185553009,0.0400702807144147,0.759112129700365,0.0408336625600741,0.7408369408369408,0.0443052643555754,0.7539173245055598,0.0378803796882575
151,15,DCP,0.7460402342755283,0.0380882499728646,0.747321959086665,0.0449464390858724,0.7447669977081742,0.0298135349994617,0.7447415329768271,0.0381503665898378,0.7525931584755113,0.0409069243197373,0.7486121721415839,0.0379850853490307,0.7395721925133689,0.0344794536431795,0.7395467277820219,0.0338227811103981
501,50,DCP,0.7395297512944572,0.0391731576900445,0.7421271538918598,0.0399260790217487,0.7564722858840506,0.0372252920611173,0.746031746031746,0.0358675132766519,0.7526101349630762,0.0320995090516798,0.7525422290128173,0.0405583818907083,0.7538663950428657,0.0377530399297579,0.7499618029029793,0.032397103518182
1001,100,DCP,0.7421526186232069,0.038370941482393,0.7473304473304474,0.0432156927453438,0.7486461251167134,0.0379319875012171,0.747347423818012,0.0346391074462883,0.753874883286648,0.0332208949412011,0.7525507172565996,0.0366476005552083,0.7486291486291486,0.0483411948288927,0.7525761819879466,0.0310889156488729
1501,150,DCP,0.7434343434343434,0.0359937369391056,0.74471606824548,0.0452163436123355,0.7486291486291486,0.041805003494612,0.7538409303115186,0.0362866216786335,0.7486546133604957,0.0337191731564289,0.7577624989389695,0.0381289723444023,0.7473389355742297,0.0423860349155867,0.7512774806892454,0.0350031055150293
1991,199,DCP,0.7447585094643918,0.0302561541577168,0.7421101774042951,0.0471372610178785,0.7473304473304474,0.0412181221446965,0.7486376368729311,0.0354253348402626,0.7564553093964859,0.0368149454149693,0.7525422290128173,0.0405583818907083,0.747321959086665,0.0496278295475709,0.7538579067990833,0.0386553843665747
